# Phase-15 ray-filtered receipt radial analysis -- >=3 rings NOT extractable by 1D profile
# receipt=pyr_w9_e3_x26_4M.png ring_snr_centre=(783,441) rmax=341 detrend_noise=1.508 outer_rings=[(211, 4.6)]
# r_px	contrast_profile	detrend_snr
0	0.501	-2.88
1	0.583	-3.07
2	0.537	-3.13
3	0.540	-3.23
4	0.731	-3.42
5	0.884	-3.57
6	1.035	-3.87
7	1.255	-3.97
8	1.590	-4.06
9	3.305	-3.83
10	2.173	-3.80
11	4.785	-3.86
12	4.309	-3.96
13	3.939	-3.91
14	6.105	-3.90
15	6.212	-3.70
16	7.105	-2.87
17	7.993	-2.39
18	10.585	-2.03
19	10.096	-1.45
20	11.806	-1.34
21	14.323	-1.72
22	12.481	-1.23
23	11.343	-0.54
24	15.821	-0.44
25	19.017	0.00
26	18.398	0.00
27	19.161	0.00
28	20.173	0.00
29	19.090	0.00
30	21.156	0.00
31	22.280	0.00
32	21.868	0.00
33	21.055	0.16
34	22.203	0.03
35	23.129	-0.03
36	21.647	0.03
37	21.636	0.05
38	21.547	-0.16
39	22.596	-0.09
40	21.915	0.00
41	22.194	0.00
42	24.767	0.00
43	26.848	0.00
44	25.581	0.00
45	27.158	0.00
46	31.074	0.00
47	31.640	0.00
48	32.349	0.00
49	35.746	0.32
50	36.347	1.11
51	37.524	2.01
52	37.841	2.44
53	39.398	3.17
54	39.620	3.50
55	41.891	3.57
56	40.026	3.71
57	38.333	3.19
58	40.463	2.90
59	35.690	2.41
60	39.687	2.05
61	36.351	1.59
62	35.781	1.48
63	37.070	1.49
64	34.808	1.44
65	39.916	1.38
66	36.046	0.85
67	35.275	0.61
68	33.100	-0.20
69	32.952	-0.03
70	33.808	-0.22
71	37.347	-0.18
72	34.227	0.07
73	33.378	0.06
74	34.881	-0.08
75	33.793	0.00
76	36.280	-0.05
77	34.818	-0.07
78	32.954	-0.16
79	34.507	-0.48
80	33.085	-0.86
81	33.901	-0.68
82	31.959	-0.62
83	34.289	-0.39
84	34.954	-0.32
85	34.784	0.04
86	34.465	0.03
87	34.637	-0.10
88	34.225	0.06
89	34.010	-0.19
90	35.973	-0.32
91	32.570	-0.21
92	33.672	-0.43
93	35.062	-0.41
94	32.372	-0.09
95	36.082	0.05
96	35.005	-0.04
97	34.951	0.28
98	34.444	0.22
99	34.777	-0.03
100	35.606	-0.26
101	33.115	-0.22
102	33.419	-0.58
103	34.933	-0.32
104	33.305	0.00
105	38.081	0.54
106	36.313	0.85
107	37.744	1.71
108	37.261	1.73
109	39.807	1.98
110	38.223	2.43
111	38.683	2.72
112	41.175	2.59
113	39.443	2.63
114	39.030	2.39
115	38.843	2.13
116	36.869	2.12
117	39.256	2.14
118	39.326	2.00
119	39.182	2.07
120	37.848	1.67
121	37.342	1.38
122	36.286	0.91
123	37.121	0.90
124	35.604	0.87
125	37.766	0.87
126	37.170	0.87
127	36.250	0.74
128	37.132	0.26
129	34.600	-0.07
130	34.171	-0.14
131	34.670	-0.37
132	35.736	-0.31
133	35.102	-0.20
134	34.826	0.07
135	34.935	0.06
136	36.434	0.05
137	35.450	0.28
138	34.854	0.38
139	35.728	0.25
140	34.896	-0.02
141	35.201	0.02
142	33.410	0.00
143	34.967	0.00
144	33.446	-0.26
145	34.643	-0.16
146	32.558	-0.12
147	33.863	-0.01
148	34.496	-0.17
149	33.817	0.00
150	33.392	-0.14
151	33.697	-0.07
152	32.682	-0.06
153	34.948	0.12
154	33.841	0.22
155	34.778	0.31
156	34.434	0.06
157	33.003	-0.10
158	32.993	-0.23
159	32.598	-0.39
160	33.345	-0.07
161	33.174	0.01
162	35.273	0.17
163	33.488	0.25
164	33.358	0.37
165	33.771	0.27
166	33.259	0.00
167	33.292	0.00
168	31.367	0.00
169	32.339	0.00
170	33.258	0.00
171	30.645	0.00
172	31.063	0.00
173	30.450	0.00
174	29.753	-0.18
175	28.074	-0.31
176	29.285	-0.22
177	30.104	-0.34
178	31.097	-0.20
179	28.893	-0.18
180	29.061	-0.13
181	29.470	-0.25
182	30.509	-0.14
183	30.171	-0.18
184	29.695	-0.21
185	28.767	-0.48
186	29.278	-0.73
187	28.456	-0.72
188	28.300	-0.59
189	29.781	-0.57
190	29.724	-0.50
191	29.462	-0.38
192	28.937	-0.47
193	29.219	-0.51
194	29.130	-0.62
195	29.417	-0.56
196	28.628	-0.41
197	29.405	-0.18
198	30.341	-0.01
199	30.828	0.42
200	30.695	0.63
201	31.826	0.59
202	30.977	0.63
203	30.027	0.53
204	31.131	0.45
205	29.916	0.32
206	31.237	0.54
207	30.004	1.26
208	31.715	2.46
209	36.508	3.24
210	38.998	4.03
211	37.096	4.60
212	35.996	4.59
213	35.976	3.99
214	36.426	3.63
215	34.478	3.39
216	34.370	3.02
217	34.224	2.58
218	33.194	2.32
219	33.112	1.75
220	32.474	1.32
221	30.084	1.02
222	31.013	0.52
223	30.870	0.09
224	29.341	0.00
225	29.249	0.00
226	27.719	0.00
227	28.452	0.00
228	27.591	0.00
229	28.530	0.00
230	25.432	0.00
231	25.903	0.00
232	23.781	0.00
233	23.308	0.00
234	24.254	0.00
235	23.356	0.00
236	22.344	0.00
237	22.913	0.00
238	21.617	0.00
239	21.380	0.00
240	22.329	0.00
241	20.562	0.00
