# pyramidal receipt radial analysis -- rings NOT resolvable
# receipt=pyramidal_h18_6M_bw.png centre=(944,393) rmax=377 detrend_noise=10.464
# r_px	profile	detrend_snr
0	45.00	-2.26
1	90.00	-1.14
2	67.50	0.14
3	56.67	0.71
4	66.59	0.25
5	74.12	0.28
6	63.76	0.36
7	66.40	0.35
8	60.54	0.21
9	65.61	0.31
10	66.56	0.34
11	68.93	0.45
12	67.55	0.46
13	65.68	0.45
14	65.95	0.27
15	65.66	0.17
16	59.29	0.16
17	62.18	0.07
18	64.72	0.04
19	60.94	0.07
20	63.07	0.05
21	59.87	-0.07
22	60.67	-0.03
23	58.65	-0.07
24	62.56	-0.09
25	60.39	-0.06
26	58.40	0.02
27	61.76	0.04
28	62.82	0.11
29	63.35	0.17
30	63.30	0.18
31	60.97	0.10
32	61.34	0.06
33	57.95	-0.00
34	60.42	-0.03
35	59.61	-0.04
36	59.41	0.00
37	60.67	-0.08
38	60.27	-0.10
39	56.39	-0.06
40	58.62	-0.09
41	61.54	-0.09
42	58.98	-0.04
43	59.99	-0.02
44	59.02	-0.01
45	59.76	-0.05
46	62.34	-0.10
47	56.61	-0.15
48	57.28	-0.18
49	56.58	-0.32
50	58.01	-0.33
51	55.27	-0.32
52	55.74	-0.27
53	58.12	-0.24
54	59.15	-0.21
55	59.56	-0.40
56	57.00	-0.59
57	45.72	-0.53
58	47.57	-0.05
59	62.32	0.67
60	83.94	1.59
61	94.01	2.56
62	93.60	3.15
63	98.37	3.27
64	92.42	3.30
65	90.17	3.31
66	95.67	3.20
67	94.44	3.19
68	92.36	3.33
69	92.14	3.26
70	96.05	3.04
71	91.40	2.89
72	82.05	2.61
73	82.19	2.19
74	75.88	1.75
75	72.79	1.42
76	67.86	1.04
77	64.69	0.77
78	62.26	0.51
79	61.91	0.31
80	58.98	0.29
81	57.40	0.21
82	59.49	0.09
83	57.96	0.00
84	55.39	0.00
85	54.38	0.00
86	54.61	0.00
87	54.69	0.00
88	53.09	0.00
89	55.16	-0.03
90	53.27	-0.03
91	52.95	-0.04
92	54.87	-0.06
93	52.67	-0.06
94	53.78	-0.06
95	53.65	-0.11
96	52.47	-0.06
97	52.71	-0.06
98	55.02	-0.06
99	54.08	-0.03
100	53.45	-0.02
101	54.08	-0.05
102	52.97	-0.05
103	53.64	-0.03
104	53.98	-0.03
105	54.38	-0.04
106	54.13	-0.02
107	52.85	-0.03
108	54.54	-0.07
109	53.41	-0.08
110	52.45	-0.06
111	53.38	-0.09
112	54.01	-0.09
113	52.68	-0.03
114	53.44	0.00
115	55.96	0.05
116	62.92	-0.05
117	56.49	0.00
118	49.94	0.00
119	60.72	0.00
120	76.20	0.00
121	89.03	0.00
122	93.61	0.18
123	95.53	0.51
124	93.76	0.62
125	93.24	0.51
126	94.76	0.37
127	87.82	0.58
128	88.59	1.16
129	104.50	1.90
130	123.52	2.77
131	133.71	3.46
132	133.23	3.92
133	134.02	4.02
134	134.93	3.85
135	132.44	3.67
136	130.63	3.53
137	125.18	3.15
138	126.71	2.71
139	118.89	2.13
140	111.30	1.78
141	105.38	1.47
142	107.29	1.32
143	110.91	1.14
144	110.99	0.86
145	102.08	0.31
146	91.06	-0.29
147	78.80	-0.77
148	80.80	-0.98
149	85.87	-1.17
150	90.99	-1.27
151	81.19	-1.51
152	73.56	-1.71
153	68.39	-1.80
154	75.16	-1.51
155	86.15	-1.00
156	96.17	-0.44
157	99.30	0.01
158	97.49	0.25
159	98.39	0.22
160	98.67	0.16
161	94.51	0.10
162	95.93	0.04
163	94.11	0.03
164	95.46	0.01
165	97.23	0.04
166	93.15	0.06
167	96.57	0.11
168	94.40	0.14
169	95.63	0.27
170	97.24	0.29
171	95.73	0.29
172	96.17	0.33
173	94.36	0.30
174	95.40	0.27
175	95.61	0.29
176	93.97	0.25
177	97.21	0.23
178	92.12	0.19
179	94.52	0.15
180	93.65	0.07
181	91.96	0.04
182	92.97	0.00
183	90.61	0.00
184	92.21	0.00
185	93.50	0.00
186	90.68	0.00
187	89.46	0.00
188	86.81	0.00
189	88.32	0.00
190	87.06	0.00
191	87.70	0.00
192	84.31	0.00
193	84.36	-0.16
194	83.58	-0.28
195	78.94	-0.41
196	81.05	-0.52
197	77.69	-0.66
198	78.48	-0.69
199	76.22	-0.74
200	77.24	-0.78
201	78.54	-0.83
202	75.69	-0.94
203	75.72	-1.04
204	70.73	-1.20
205	71.70	-1.28
206	70.41	-1.35
207	71.50	-1.31
208	71.88	-1.35
209	68.05	-1.37
210	68.96	-1.32
211	67.03	-1.35
212	67.44	-1.17
213	69.99	-0.95
214	71.23	-0.65
215	77.07	-0.32
216	81.07	0.16
217	83.63	0.56
218	87.95	0.91
219	91.81	1.22
220	93.69	1.46
221	94.71	1.57
222	94.18	1.64
223	93.43	1.68
224	93.39	1.70
225	94.93	1.69
226	92.06	1.72
227	92.42	1.65
228	90.71	1.61
229	88.82	1.53
230	88.67	1.37
231	86.17	1.22
232	83.89	1.06
233	82.91	0.86
234	80.60	0.68
235	78.46	0.49
236	76.38	0.36
237	74.21	0.23
238	75.94	0.12
239	73.98	0.03
240	72.79	0.00
241	71.32	0.00
242	69.06	0.00
243	68.32	0.00
244	65.72	0.00
245	66.31	0.00
246	64.60	0.00
247	63.84	-0.05
248	63.33	-0.14
249	63.12	-0.21
250	61.75	-0.27
251	60.54	-0.34
252	60.85	-0.40
253	59.85	-0.46
254	59.74	-0.49
255	58.65	-0.54
256	59.02	-0.59
257	58.36	-0.63
258	57.19	-0.66
259	57.79	-0.72
260	57.14	-0.76
261	55.83	-0.75
262	56.19	-0.78
263	55.78	-0.82
264	55.27	-0.76
265	55.15	-0.75
266	55.36	-0.67
267	56.04	-0.48
268	59.09	-0.28
269	62.49	-0.03
270	64.71	0.13
271	65.51	0.27
272	64.28	0.34
273	65.09	0.37
274	65.24	0.39
275	65.35	0.42
276	64.68	0.46
277	64.41	0.52
278	65.81	0.57
279	66.40	0.62
280	67.30	0.66
281	66.65	0.68
282	66.09	0.65
283	66.72	0.63
284	65.10	0.58
285	65.97	0.53
286	64.38	0.45
287	63.19	0.38
288	62.51	0.30
289	61.40	0.23
290	61.69	0.18
291	60.73	0.13
292	60.79	0.07
293	59.65	0.02
294	58.60	0.00
295	59.10	0.00
296	58.07	0.00
297	58.42	0.00
298	58.32	0.00
299	56.74	0.00
300	57.91	0.00
301	56.08	0.00
302	55.94	0.00
303	56.51	0.00
304	55.91	0.00
305	54.41	0.00
306	54.54	0.00
307	53.84	0.00
308	54.43	0.00
309	54.00	0.00
310	54.31	0.00
311	52.97	0.00
312	52.73	0.00
313	52.99	0.00
314	52.83	0.00
315	53.24	0.00
316	52.89	0.00
317	52.36	0.00
318	52.23	-0.01
319	52.60	-0.02
320	51.97	-0.02
321	52.48	-0.02
322	52.25	-0.03
323	52.05	-0.04
324	52.11	-0.06
325	51.59	-0.06
326	51.58	-0.06
327	52.23	-0.07
328	51.93	-0.08
329	51.49	-0.07
330	51.20	-0.08
331	51.81	-0.07
332	51.82	-0.06
333	52.46	-0.04
334	52.00	-0.02
335	52.26	-0.01
336	52.77	-0.02
337	52.43	-0.00
338	52.21	0.00
339	52.60	-0.01
340	52.47	-0.02
341	52.09	-0.02
342	51.87	-0.02
343	52.59	-0.01
344	52.43	0.00
345	53.06	0.00
346	53.31	0.00
347	52.53	0.00
348	53.02	0.00
349	52.82	0.00
350	53.92	0.00
351	53.42	0.00
352	53.37	0.02
353	52.85	0.01
354	53.84	0.02
355	53.75	0.04
356	53.62	0.06
357	54.71	0.09
358	54.54	0.12
359	55.59	0.17
360	55.18	0.20
361	56.23	0.24
362	56.48	0.27
363	57.32	0.33
364	57.61	0.43
365	59.33	0.56
366	62.03	0.69
