# pyramidal 14E receipt radial analysis — rings NOT resolvable at 1M rays
# centre=(864,457) rmax=313 detrend_noise=0.862
# r_px	profile	detrend_snr
0	55.67	-22.17
1	45.00	-10.94
2	55.00	0.03
3	49.36	-1.41
4	47.37	-0.99
5	49.57	-3.00
6	48.90	-4.11
7	48.40	-5.07
8	48.49	-6.14
9	47.17	-7.69
10	49.43	-7.94
11	46.75	-8.29
12	49.57	-8.80
13	49.19	-9.57
14	49.77	-8.39
15	50.88	-7.58
16	52.76	-5.85
17	53.95	-3.84
18	57.01	-3.10
19	58.76	-1.19
20	55.37	-0.65
21	62.30	0.00
22	56.48	-0.96
23	59.98	0.00
24	55.05	-0.89
25	59.96	0.00
26	61.04	0.00
27	62.89	0.00
28	64.82	0.00
29	64.07	0.00
30	68.08	0.00
31	68.44	0.00
32	67.57	0.00
33	66.65	0.00
34	69.82	0.00
35	74.01	0.00
36	68.73	0.00
37	70.74	0.00
38	72.88	0.00
39	74.42	0.00
40	79.04	0.00
41	83.78	0.23
42	83.37	2.11
43	80.94	3.17
44	83.53	1.04
45	84.10	0.00
46	75.18	-0.42
47	79.91	0.00
48	79.34	-0.77
49	85.35	-0.29
50	80.79	0.88
51	77.25	2.05
52	84.95	0.91
53	84.38	1.58
54	80.45	2.95
55	83.65	3.05
56	83.16	2.73
57	85.39	2.87
58	82.99	3.94
59	81.05	5.16
60	88.28	5.38
61	88.42	5.10
62	86.34	5.96
63	81.76	4.76
64	84.77	4.10
65	83.11	3.37
66	85.57	3.15
67	83.22	2.84
68	80.80	2.54
69	83.42	1.66
70	81.61	1.23
71	81.12	0.44
72	81.01	0.09
73	77.38	0.00
74	81.89	0.10
75	80.78	-0.36
76	81.57	0.36
77	77.97	0.00
78	78.94	-0.42
79	79.23	0.19
80	77.91	0.23
81	83.38	0.00
82	77.14	0.00
83	74.77	0.00
84	76.25	0.00
85	74.11	0.00
86	74.21	-0.15
87	73.15	0.15
88	72.48	0.00
89	76.91	0.00
90	71.75	0.00
91	72.92	0.00
92	72.26	0.00
93	71.48	-0.13
94	71.33	0.13
95	69.28	0.00
