task_id,split,status,primary_prior,secondary_priors,inclusion_basis,exclusion_reason,predicted_boundary,inventory_row_hash,manual_inspection,notes,expansion_batch,selection_order_rank
e9b4f6fc,training,include,color_role,objectness,grids 4x4..13x13; 9 colors; up to 10 components; symmetries: reflect_h; 4 train shape-change(s); density 0.1183..1,,gauge-breaking ambiguity (color permutation as gauge),d418281cc0ed170f87abb70d6af55bfa04166cc3996f00ca378190de5ac1b101,y,fiber expansion manual inspection: recolor framed object interior per marker key,fiber_context_expansion_v1,13
50aad11f,training,include,color_role,objectness,grids 4x4..18x18; 8 colors; up to 6 components; 3 train shape-change(s); density 0.1071..0.5417,,gauge-breaking ambiguity (color permutation as gauge),1b9d7d937b5477b5c890535e2436bf15d6e0c5f7ce1ab4b52f87c2572f60be04,y,fiber expansion manual inspection: recolor shapes per nearby marker colors,fiber_context_expansion_v1,95
b94a9452,training,include,color_role,,grids 3x3..14x13; 7 colors; up to 2 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.0682..1,,gauge-breaking ambiguity (color permutation as gauge),ab416bd8b4589a3a8883a80fa3f93c7abd36f8100828af1858a21613f761bddd,y,fiber expansion manual inspection: swap object border and interior colors,fiber_context_expansion_v1,96
2a5f8217,training,include,color_role,,grids 6x6..13x13; 9 colors; up to 10 components; symmetries: rot180; density 0.2479..0.2778,,gauge-breaking ambiguity (color permutation as gauge),be94aaeb19351c121ff6c7325e57537d20e10260dc3648033f49df95b7ace93e,y,fiber expansion manual inspection: recolor placeholder shapes to reference colors,fiber_context_expansion_v1,107
7e4d4f7c,training,include,color_role,,grids 3x5..12x13; 8 colors; up to 12 components; 4 train shape-change(s); density 0.1458..1,,gauge-breaking ambiguity (color permutation as gauge),9709ab0c7762137489423a0c34874a9f817fcc0f2d13def245e176790f1e96e4,y,fiber expansion manual inspection: append recolored copy of key row,fiber_context_expansion_v1,119
a5f85a15,training,include,color_role,,grids 3x3..12x12; 6 colors; up to 23 components; symmetries: rot180; density 0.1563..0.3333,,gauge-breaking ambiguity (color permutation as gauge),1189d1fddd147b7d9a176d5840b9f9e39222cc0d3121cd8a5bcd9216db555c0f,y,fiber expansion manual inspection: recolor alternating cells on diagonal lines,fiber_context_expansion_v1,123
82819916,training,include,color_role,,grids 6x8..14x10; 8 colors; up to 40 components; symmetries: reflect_h; density 0.1458..0.3571,,gauge-breaking ambiguity (color permutation as gauge),b0f3f633c7d806720f45fc020da5655ff2443c2030699e6c5c9207265ad00a88,y,fiber expansion manual inspection: apply key on/off template recolored per marker,fiber_context_expansion_v1,135
817e6c09,training,include,color_role,objectness,grids 7x5..7x17; 3 colors; up to 9 components; symmetries: rot180; density 0.2286..0.3025,,gauge-breaking ambiguity (color permutation as gauge),475588008bf42308bcce471c5755d9d5a102e6007555d37ba0005932a479d377,y,fiber expansion manual inspection: recolor object subset by symmetry pairing,fiber_context_expansion_v1,150
6df30ad6,training,include,color_role,,grids 10x10..10x10; 9 colors; up to 15 components; symmetries: reflect_h; density 0.04..0.25,,gauge-breaking ambiguity (color permutation as gauge),2df20beac6e36e5cfc496b215b44b1411ef7ade65c977b93f1b641e2be3170d0,y,fiber expansion manual inspection: recolor central shape by surrounding color,fiber_context_expansion_v1,158
e7dd8335,training,include,color_role,,grids 7x7..9x11; 3 colors; up to 10 components; symmetries: reflect_h; density 0.202..0.449,,gauge-breaking ambiguity (color permutation as gauge),e8a83659bdb16410a044aefc748232bee72b615f062b56836171edb3c6cdf419,y,fiber expansion manual inspection: recolor lower half of box outline,fiber_context_expansion_v1,173
