task_id,split,status,primary_prior,secondary_priors,inclusion_basis,exclusion_reason,predicted_boundary,inventory_row_hash,manual_inspection,notes,expansion_batch,selection_order_rank
00576224,training,include,spatial_transform,color_role;counting;objectness,grids 2x2..6x6; 7 colors; up to 36 components; 2 train shape-change(s); density 1..1,,capacity pressure (shape change carries structural info),ec29614b9b72cada897342ef322cb8d753eb5289b8498e757f4f134cdb5c8c5c,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
007bbfb7,training,include,symmetry,color_role;counting;local_completion;objectness;spatial_transform,grids 3x3..9x9; 5 colors; up to 9 components; symmetries: reflect_h;reflect_v; 5 train shape-change(s); density 0.1111..0.7778,,gauge-breaking ambiguity (symmetry as gauge),bcddde75c0fe0311cf8fc8d855e48706139a87d05af9009064b1c1e9438c1b65,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
009d5c81,training,include,counting,color_role;local_completion;objectness,grids 14x14..14x14; 6 colors; up to 10 components; density 0.0714..0.1888,,capacity pressure (count is high-entropy),7e7e2781c3b161b2a2409cb239515df3b294ead1033759317bf1c93e735519f3,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
00d62c1b,training,include,symmetry,color_role;counting;local_completion;objectness,grids 6x6..20x20; 3 colors; up to 23 components; symmetries: rot180; density 0.15..0.35,,gauge-breaking ambiguity (symmetry as gauge),534e5b3b17b6ea2a98de103004286a1f1cb1e66bcc56b7491a1737b0461e0d4b,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
00dbd492,training,include,counting,color_role;local_completion;objectness,grids 7x7..20x20; 5 colors; up to 12 components; density 0.2222..0.6049,,capacity pressure (count is high-entropy),e144a9d24efd32aca1681e84af9baae7d026a62da8490b93c37e26615a34dc68,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
017c7c7b,training,include,symmetry,color_role;counting;objectness;spatial_transform,grids 6x3..9x3; 3 colors; up to 13 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.4444..0.5556,,gauge-breaking ambiguity (symmetry as gauge),64024bf3ce23a6ed5f69890b72eb66581c4df5560ab26342fa63886fe21e5127,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
025d127b,training,include,counting,color_role;local_completion;objectness,grids 8x9..14x10; 5 colors; up to 8 components; density 0.1587..0.2222,,capacity pressure (count is high-entropy),2d04168bfcb5ff89d67b20bf916230e05d4667006834d857214dafee85f2f00f,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
03560426,training,include,local_completion,color_role;counting;objectness,grids 10x10..10x10; 8 colors; up to 4 components; density 0.14..0.22,,non-local information (global context required to fill),3de02c5f4b1d9b85e20af9f3633e70d427a79a4f76fb354f19680257244e0a8b,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
045e512c,training,include,counting,color_role;local_completion;objectness,grids 21x21..21x21; 8 colors; up to 12 components; density 0.0181..0.1315,,capacity pressure (count is high-entropy),ecb4765b6653847930258662646459958f4b411954cbd0717a24333b7e86dfba,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0520fde7,training,include,symmetry,color_role;counting;local_completion;objectness;spatial_transform,grids 3x3..3x7; 4 colors; up to 9 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.1111..0.619,,gauge-breaking ambiguity (symmetry as gauge),961aaad2691b3f69974705d573b060270ddd3cc776845b78dccb00eb06c41aa3,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
05269061,training,include,counting,color_role;local_completion;objectness,grids 7x7..7x7; 6 colors; up to 49 components; density 0.1224..1,,capacity pressure (count is high-entropy),fe5f4ce6e172c146ad864fde09ba24defcbbc65467f5e11db38e331e386775b3,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
05a7bcf2,training,include,counting,color_role;local_completion;objectness,grids 30x30..30x30; 5 colors; up to 19 components; density 0.1044..0.4889,,capacity pressure (count is high-entropy),c975f2f1ed416f177b331d264af0fe8dc54708e4d0b983f7eadadfe34ec72894,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
05f2a901,training,include,local_completion,color_role;objectness,grids 9x9..14x10; 3 colors; up to 2 components; density 0.0794..0.1444,,non-local information (global context required to fill),57229a27235d2a09bd61c761f2197898bfaf36f3dc7c3340bc6dedb12e1bef59,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0692e18c,training,include,symmetry,color_role;counting;local_completion;objectness;spatial_transform,grids 3x3..9x9; 5 colors; up to 12 components; symmetries: reflect_h;reflect_v;rot180; 3 train shape-change(s); density 0.2222..0.5556,,gauge-breaking ambiguity (symmetry as gauge),347a17fae007961cdd01967025dae64d13868135c6863552938e5a7db125d13b,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
08ed6ac7,training,include,color_role,counting;local_completion;objectness,grids 9x9..9x9; 6 colors; up to 4 components; density 0.2346..0.321,,gauge-breaking ambiguity (color permutation as gauge),88e7a56be0351a5d9578623a046c1ae866ba2d17b93abd473b0cacebf5e3acc6,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0a1d4ef5,training,include,spatial_transform,color_role;counting;objectness,grids 2x3..30x30; 10 colors; up to 209 components; 3 train shape-change(s); density 0.53..1,,capacity pressure (shape change carries structural info),9ef4940f63189f8dcecafa7c07ed098dd44a21ab4c3684e4d9b90a2ca521f8ae,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0a2355a6,training,include,color_role,counting;local_completion;objectness,grids 9x11..15x17; 6 colors; up to 4 components; density 0.2806..0.3701,,gauge-breaking ambiguity (color permutation as gauge),8900bbb5b4750e18f2b1b2efc4890a96ab6ff27edd2e030061a36361d89a4a57,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0a938d79,training,include,symmetry,color_role;counting;local_completion;objectness,grids 7x8..24x27; 6 colors; up to 10 components; symmetries: reflect_h;reflect_v; density 0.0067..0.4091,,gauge-breaking ambiguity (symmetry as gauge),f2197a6a414930c5f263ada5884bfa604ffa4dd7851ca874f2c198f5b7063f28,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0b148d64,training,include,spatial_transform,color_role;counting;objectness,grids 6x6..21x21; 6 colors; up to 18 components; 3 train shape-change(s); density 0.3713..0.7778,,capacity pressure (shape change carries structural info),ca8d4441cff6a68afa36cc2d6aaee538e18e90433d65f0b3a97fe1ed6eb110eb,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0b17323b,training,include,local_completion,color_role;counting;objectness,grids 15x15..15x15; 3 colors; up to 7 components; density 0.0133..0.0311,,non-local information (global context required to fill),2c69f3a212849c2b7cc05af45aa05d65d902dd5547f17e9747890e9b8b6afe5a,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
0bb8deee,training,include,spatial_transform,color_role;counting;local_completion;objectness,grids 6x6..16x13; 8 colors; up to 12 components; 3 train shape-change(s); density 0.2359..0.5833,,capacity pressure (shape change carries structural info),1899ec5ff9ca86d5ade001000f083b323e4d7478f8a1b156419f496d3b287863,y,DRAFT auto-selected by arc-phase0-draft-register.mjs; refine after inspecting grids.,p0_original,
