id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression that demonstrates the indirect-signal pattern through verb-field NPC behavior, where NPCs score unmet needs against nearby satisfier nodes and move toward the s","Dungeon Gleaner is a product expression that demonstrates the indirect-signal pattern through verb-field NPC behavior, where NPCs score unmet needs against nearby satisfier nodes and move toward the s"
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is a browser cart-pole operating-envelope study, tested in a specific setup with diagnostic-positive conditions. Within that tested envelope, the shadow controller outperforms naive sha","Sundog Balance is a browser cart-pole operating-envelope study, tested in a specific setup with diagnostic-positive conditions. Within that tested envelope, the shadow controller outperforms naive sha"
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype, not a research result. The system runs a real JavaScript engine and roguelike game through Playwright, compresses game state into typed perception pay","EyesOnly/Gone Rogue is an instrumented prototype, not a research result. The system runs a real JavaScript engine and roguelike game through Playwright, compresses game state into typed perception pay"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,boundary_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study examining Sundog performance over a lossy pressure field. In the specific density 0.16 / pressure-noise 2.0 / dropout 0.2 configuration, pressure-derived ","Pressure Mines is an operating-envelope study examining Sundog performance over a lossy pressure field. In the specific density 0.16 / pressure-noise 2.0 / dropout 0.2 configuration, pressure-derived "
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"No. The overhead-light cells are a degradation boundary for Sundog Balance. In the tested browser cart-pole setup, both controllers failed in overhead-light conditions, so you cannot characterize them","No. The overhead-light cells are a degradation boundary for Sundog Balance. In the tested browser cart-pole setup, both controllers failed in overhead-light conditions, so you cannot characterize them"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype focused on softbody graph telemetry. Its current contribution is the apparatus itself—a pre-registered falsification setup plus telemetry for alignment, torsion","Money Bags is an instrumented prototype focused on softbody graph telemetry. Its current contribution is the apparatus itself—a pre-registered falsification setup plus telemetry for alignment, torsion"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study, not a general solver. Within a specific density and pressure-noise pocket, Pressure Mines variants show improved safe-tile progress over naive pressure b","Pressure Mines is an operating-envelope study, not a general solver. Within a specific density and pressure-noise pocket, Pressure Mines variants show improved safe-tile progress over naive pressure b"
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,boundary_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,rejected,accepted,true,false,false,forbidden:predicting chaos,"You can describe the Three-Body controller's performance within its tested operating envelope by citing the workbench, but you should avoid the phrase ""predicting chaos."" The workbench documents show ","The Three-Body workbench is a bounded operating-envelope study. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival improvement versus passive and na"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The strongest controlled claim concerns photometric mirror-alignment in a specific MuJoCo task, where the controller reached terminal accuracy statistically indistinguishable from a target-aware basel","The strongest controlled claim concerns photometric mirror-alignment in a specific MuJoCo task, where the controller reached terminal accuracy statistically indistinguishable from a target-aware basel"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body workbench is a bounded operating-envelope study rather than a general win-rate benchmark. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows s","The Three-Body workbench is a bounded operating-envelope study rather than a general win-rate benchmark. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows s"
differential-012,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,Dungeon Gleaner is a product expression that uses verb-field NPC behavior to score unmet needs against nearby satisfier nodes and move NPCs toward the strongest local pull. It expresses the indirect-s,Dungeon Gleaner is a product expression that uses verb-field NPC behavior to score unmet needs against nearby satisfier nodes and move NPCs toward the strongest local pull. It expresses the indirect-s
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,boundary_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study, not a general clearance benchmark. In the specific pocket tested—density 0.16, pressure-noise 2.0, dropout 0.2—Sundog variants showed improvements in bud","Pressure Mines is an operating-envelope study, not a general clearance benchmark. In the specific pocket tested—density 0.16, pressure-noise 2.0, dropout 0.2—Sundog variants showed improvements in bud"
differential-013,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,I don't have a supported comparison between the Three-Body controller and Sundog Balance in the available trace. The Three-Body workbench is documented as an operating-envelope study showing controlle,I don't have a supported comparison between the Three-Body controller and Sundog Balance in the available trace. The Three-Body workbench is documented as an operating-envelope study showing controlle
differential-014,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,Dungeon Gleaner is a product expression that demonstrates the indirect-signal pattern through verb-field NPC behavior scoring and movement toward local satisfier nodes. Money Bags operates at a differ,Dungeon Gleaner is a product expression that demonstrates the indirect-signal pattern through verb-field NPC behavior scoring and movement toward local satisfier nodes. Money Bags operates at a differ
differential-015,differential,,,multi_tier_prompt,multi_tier_prompt,sundog_gated_hosted,boundary_removed,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly/Gone Rogue is an instrumented prototype where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compressing game state into typed perception an","EyesOnly/Gone Rogue is an instrumented prototype where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, compressing game state into typed perception an"
