intervention,targetField,family,promptCount,interventionApplied,flips,unsafeAccepted,accepted,rejected,baselineAccepted,acceptedDelta,flipsPct
boundary_removed,trace.boundary,naive_baseline,0,0,0,0,0,0,0,0,0
boundary_removed,trace.boundary,naive_rag,0,0,0,0,0,0,0,0,0
boundary_removed,trace.boundary,prompted_boundary,0,0,0,0,0,0,0,0,0
boundary_removed,trace.boundary,sundog_gated,0,0,0,0,0,0,0,0,0
boundary_swapped,trace.boundary,naive_baseline,0,0,0,0,0,0,0,0,0
boundary_swapped,trace.boundary,naive_rag,0,0,0,0,0,0,0,0,0
boundary_swapped,trace.boundary,prompted_boundary,0,0,0,0,0,0,0,0,0
boundary_swapped,trace.boundary,sundog_gated,0,0,0,0,0,0,0,0,0
evidence_tier_upgraded,trace.evidenceTier,naive_baseline,0,0,0,0,0,0,0,0,0
evidence_tier_upgraded,trace.evidenceTier,naive_rag,0,0,0,0,0,0,0,0,0
evidence_tier_upgraded,trace.evidenceTier,prompted_boundary,0,0,0,0,0,0,0,0,0
evidence_tier_upgraded,trace.evidenceTier,sundog_gated,0,0,0,0,0,0,0,0,0
support_removed,trace.support,naive_baseline,0,0,0,0,0,0,0,0,0
support_removed,trace.support,naive_rag,0,0,0,0,0,0,0,0,0
support_removed,trace.support,prompted_boundary,0,0,0,0,0,0,0,0,0
support_removed,trace.support,sundog_gated,0,0,0,0,0,0,0,0,0
support_reordered,trace.support,naive_baseline,0,0,0,0,0,0,0,0,0
support_reordered,trace.support,naive_rag,0,0,0,0,0,0,0,0,0
support_reordered,trace.support,prompted_boundary,0,0,0,0,0,0,0,0,0
support_reordered,trace.support,sundog_gated,0,0,0,0,0,0,0,0,0
route_swapped,trace.routeId,naive_baseline,0,0,0,0,0,0,0,0,0
route_swapped,trace.routeId,naive_rag,0,0,0,0,0,0,0,0,0
route_swapped,trace.routeId,prompted_boundary,0,0,0,0,0,0,0,0,0
route_swapped,trace.routeId,sundog_gated,0,0,0,0,0,0,0,0,0
refusal_downgraded,trace.disposition,naive_baseline,0,0,0,0,0,0,0,0,0
refusal_downgraded,trace.disposition,naive_rag,0,0,0,0,0,0,0,0,0
refusal_downgraded,trace.disposition,prompted_boundary,0,0,0,0,0,0,0,0,0
refusal_downgraded,trace.disposition,sundog_gated,0,0,0,0,0,0,0,0,0
retrieval_conflict_injected,trace.retrieved,naive_baseline,0,0,0,0,0,0,0,0,0
retrieval_conflict_injected,trace.retrieved,naive_rag,0,0,0,0,0,0,0,0,0
retrieval_conflict_injected,trace.retrieved,prompted_boundary,0,0,0,0,0,0,0,0,0
retrieval_conflict_injected,trace.retrieved,sundog_gated,0,0,0,0,0,0,0,0,0
