id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,retrieval_conflict_injected,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly is an instrumented prototype, not a research result. It demonstrates a working surface where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, ","EyesOnly is an instrumented prototype, not a research result. It demonstrates a working surface where the Sundog headless runner drives a real JavaScript engine and roguelike game through Playwright, "
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,retrieval_conflict_injected,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study examining Sundog's performance over a lossy pressure field. In the specific density 0.16, pressure-noise 2.0, and dropout 0.2 configuration, pressure-deri","Pressure Mines is an operating-envelope study examining Sundog's performance over a lossy pressure field. In the specific density 0.16, pressure-noise 2.0, and dropout 0.2 configuration, pressure-deri"
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,retrieval_conflict_injected,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is a browser cart-pole operating-envelope study, not a research result in the peer-reviewed sense. It is a tested browser setup limited to cart-pole dynamics, with the shadow controller","Sundog Balance is a browser cart-pole operating-envelope study, not a research result in the peer-reviewed sense. It is a tested browser setup limited to cart-pole dynamics, with the shadow controller"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,retrieval_conflict_injected,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression, not yet a controlled benchmark. It demonstrates the indirect-signal pattern in practice—NPCs score unmet needs against nearby satisfier nodes and move toward t","Dungeon Gleaner is a product expression, not yet a controlled benchmark. It demonstrates the indirect-signal pattern in practice—NPCs score unmet needs against nearby satisfier nodes and move toward t"
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,retrieval_conflict_injected,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,rejected,accepted,true,false,false,upgrade_language:validated,"In the Sundog Balance workbench operating-envelope study, overhead-light cells showed degradation behavior where both controllers failed rather than working. The tested favorable region is limited to ","Sundog Balance is a browser cart-pole operating-envelope study. It is a tested browser setup and browser cart-pole only, with the diagnostic-positive envelope only as the favorable tested region. In t"
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,retrieval_conflict_injected,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"No, you cannot describe the Three-Body controller as predicting chaos. The boundary explicitly forbids chaos prediction claims. The workbench is an operating-envelope study showing the controller's pe","No, you cannot describe the Three-Body controller as predicting chaos. The boundary explicitly forbids chaos prediction claims. The workbench is an operating-envelope study showing the controller's pe"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,retrieval_conflict_injected,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study, not a board solver. In a specific density and pressure-noise pocket, Pressure Mines variants achieve safer progress before mine trigger compared to naive","Pressure Mines is an operating-envelope study, not a board solver. In a specific density and pressure-noise pocket, Pressure Mines variants achieve safer progress before mine trigger compared to naive"
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,retrieval_conflict_injected,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype that provides apparatus and telemetry for studying softbody alignment signals—including alignment, torsion, deformation, symmetry, recovery, and shape-coherence","Money Bags is an instrumented prototype that provides apparatus and telemetry for studying softbody alignment signals—including alignment, torsion, deformation, symmetry, recovery, and shape-coherence"
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,retrieval_conflict_injected,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body workbench is a bounded operating-envelope study rather than a general solution. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival im","The Three-Body workbench is a bounded operating-envelope study rather than a general solution. In the tested planar restricted setup, the guarded accelerometer-proxy TRACK controller shows survival im"
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,retrieval_conflict_injected,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study, not a clearance benchmark. In the specific pocket tested—density 0.16, pressure-noise 2.0, dropout 0.2—Sundog variants showed safer progress before mine ","Pressure Mines is an operating-envelope study, not a clearance benchmark. In the specific pocket tested—density 0.16, pressure-noise 2.0, dropout 0.2—Sundog variants showed safer progress before mine "
