id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,current_controlled_result,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,name_and_source_confusion,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,licensing_and_attribution,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,team_and_attribution,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,framework_pattern,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,rejected,error,rejected,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,mesa_roadmap_status,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,rejected,error,rejected,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,application_tier_summary,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,eyesonly_gone_rogue_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype around softbody graph telemetry, with its current contribution being apparatus and telemetry for various signals. The strongest evidence is the apparatus itself","Money Bags is an instrumented prototype around softbody graph telemetry, with its current contribution being apparatus and telemetry for various signals. The strongest evidence is the apparatus itself"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,route_swapped,true,,licensing_and_attribution,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,route_swapped,true,,eyesonly_gone_rogue_prototype,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
