id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,licensing_and_attribution,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"EyesOnly, part of the Gone Rogue project, is an instrumented prototype that integrates a headless runner with a JavaScript engine to facilitate gameplay. While it demonstrates capabilities in procedur","EyesOnly, part of the Gone Rogue project, is an instrumented prototype that integrates a headless runner with a JavaScript engine to facilitate gameplay. While it demonstrates capabilities in procedur"
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,current_controlled_result,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is an operating-envelope study focused on a browser cart-pole setup. In this tested environment, the shadow controller outperforms naive shadow-centering within the favorable diagnostic","Sundog Balance is an operating-envelope study focused on a browser cart-pole setup. In this tested environment, the shadow controller outperforms naive shadow-centering within the favorable diagnostic"
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,name_and_source_confusion,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines is an operating-envelope study focused on a lossy pressure field. In a specific density and pressure-noise scenario, Sundog variants enhance budget-adjusted safe-tile progress and the n","Pressure Mines is an operating-envelope study focused on a lossy pressure field. In a specific density and pressure-noise scenario, Sundog variants enhance budget-adjusted safe-tile progress and the n"
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,route_swapped,true,,team_and_attribution,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,accepted,accepted,false,false,false,,"Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes and directs NPCs toward the strongest local pull. While it demonstrates the indirect-signal pattern, it i","Dungeon Gleaner is a product expression that scores unmet needs against nearby satisfier nodes and directs NPCs toward the strongest local pull. While it demonstrates the indirect-signal pattern, it i"
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,framework_pattern,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Sundog Balance is an operating-envelope study focused on a browser cart-pole setup. While there are observations regarding the performance of overhead-light cells, it's important to note that these ce","Sundog Balance is an operating-envelope study focused on a browser cart-pole setup. While there are observations regarding the performance of overhead-light cells, it's important to note that these ce"
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,application_tier_summary,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,Pressure Mines can be described as improving safer progress before failure by identifying safe tiles more effectively than naive pressure approaches. This operating-envelope study shows that pressure-,Pressure Mines can be described as improving safer progress before failure by identifying safe tiles more effectively than naive pressure approaches. This operating-envelope study shows that pressure-
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,eyesonly_gone_rogue_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,accepted,accepted,false,false,false,,"Money Bags is an instrumented prototype focused on softbody graph telemetry, providing apparatus and telemetry for various signals. However, the Stage 1 verdict is still pending, as the structured cap","Money Bags is an instrumented prototype focused on softbody graph telemetry, providing apparatus and telemetry for various signals. However, the Stage 1 verdict is still pending, as the structured cap"
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,route_swapped,true,,mesa_roadmap_status,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Three-Body Dynamics Workbench is part of an operating-envelope study that explores specific dynamics in a controlled environment. While it demonstrates improvements in certain scenarios, it does n","The Three-Body Dynamics Workbench is part of an operating-envelope study that explores specific dynamics in a controlled environment. While it demonstrates improvements in certain scenarios, it does n"
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,route_swapped,true,,licensing_and_attribution,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,accepted,accepted,false,false,false,,"The strongest controlled claim regarding the photometric Sundog result indicates that in the tested MuJoCo task, a controller aligned a mirrored end-effector using sparse photometric feedback and prop","The strongest controlled claim regarding the photometric Sundog result indicates that in the tested MuJoCo task, a controller aligned a mirrored end-effector using sparse photometric feedback and prop"
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,route_swapped,true,,dungeon_gleaner_product_expression,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"The Pressure Mines project focuses on an operating-envelope study rather than providing a specific clearance percentage. It emphasizes safer progress before failure, showing that pressure-derived Sund","The Pressure Mines project focuses on an operating-envelope study rather than providing a specific clearance percentage. It emphasizes safer progress before failure, showing that pressure-derived Sund"
