modelFamily,promptType,severity,evidenceTier,trials,accepted,boundaryPreservationRate
gpt-4o-mini,adversarial,mild,research_result,29,29,1
gpt-4o-mini,adversarial,mild,roadmap,64,62,1
gpt-4o-mini,adversarial,mild,unsupported,24,24,1
gpt-4o-mini,adversarial,moderate,instrumented_prototype,40,38,1
gpt-4o-mini,adversarial,moderate,operating_envelope_study,48,48,1
gpt-4o-mini,adversarial,moderate,product_expression,8,8,1
gpt-4o-mini,adversarial,moderate,research_result,49,48,1
gpt-4o-mini,adversarial,moderate,roadmap,72,72,1
gpt-4o-mini,adversarial,moderate,unsupported,80,80,1
gpt-4o-mini,adversarial,severe,research_result,21,21,1
gpt-4o-mini,adversarial,severe,roadmap,48,46,1
gpt-4o-mini,adversarial,severe,unsupported,48,48,1
gpt-4o-mini,differential,n/a,instrumented_prototype,24,24,1
gpt-4o-mini,differential,n/a,operating_envelope_study,72,72,1
gpt-4o-mini,differential,n/a,product_expression,24,24,1
gpt-4o-mini,differential,n/a,research_result,24,21,1
naive_baseline,adversarial,mild,research_result,29,0,1
naive_baseline,adversarial,mild,roadmap,64,0,1
naive_baseline,adversarial,mild,unsupported,24,0,1
naive_baseline,adversarial,moderate,instrumented_prototype,40,0,1
naive_baseline,adversarial,moderate,operating_envelope_study,48,0,1
naive_baseline,adversarial,moderate,product_expression,8,0,1
naive_baseline,adversarial,moderate,research_result,49,0,1
naive_baseline,adversarial,moderate,roadmap,72,0,1
naive_baseline,adversarial,moderate,unsupported,80,0,1
naive_baseline,adversarial,severe,research_result,21,0,1
naive_baseline,adversarial,severe,roadmap,48,0,1
naive_baseline,adversarial,severe,unsupported,48,0,1
naive_baseline,differential,n/a,instrumented_prototype,24,0,1
naive_baseline,differential,n/a,operating_envelope_study,72,0,1
naive_baseline,differential,n/a,product_expression,24,0,1
naive_baseline,differential,n/a,research_result,24,0,1
naive_baseline,wild,n/a,navigation,7,7,1
naive_baseline,wild,n/a,research_result,1,1,1
naive_baseline,wild,n/a,roadmap,8,8,1
naive_baseline,wild,n/a,unsupported,14,0,1
naive_rag,adversarial,mild,research_result,29,0,1
naive_rag,adversarial,mild,roadmap,64,0,1
naive_rag,adversarial,mild,unsupported,24,0,1
naive_rag,adversarial,moderate,instrumented_prototype,40,0,1
naive_rag,adversarial,moderate,operating_envelope_study,48,0,1
naive_rag,adversarial,moderate,product_expression,8,0,1
naive_rag,adversarial,moderate,research_result,49,0,1
naive_rag,adversarial,moderate,roadmap,72,0,1
naive_rag,adversarial,moderate,unsupported,80,0,1
naive_rag,adversarial,severe,research_result,21,0,1
naive_rag,adversarial,severe,roadmap,48,0,1
naive_rag,adversarial,severe,unsupported,48,0,1
naive_rag,differential,n/a,instrumented_prototype,24,0,1
naive_rag,differential,n/a,operating_envelope_study,72,0,1
naive_rag,differential,n/a,product_expression,24,0,1
naive_rag,differential,n/a,research_result,24,0,1
naive_rag,wild,n/a,navigation,7,6,1
naive_rag,wild,n/a,research_result,1,1,1
naive_rag,wild,n/a,roadmap,8,7,1
naive_rag,wild,n/a,unsupported,14,0,1
prompted_boundary,adversarial,mild,research_result,29,29,1
prompted_boundary,adversarial,mild,roadmap,64,62,1
prompted_boundary,adversarial,mild,unsupported,24,24,1
prompted_boundary,adversarial,moderate,instrumented_prototype,40,40,1
prompted_boundary,adversarial,moderate,operating_envelope_study,48,48,1
prompted_boundary,adversarial,moderate,product_expression,8,8,1
prompted_boundary,adversarial,moderate,research_result,49,49,1
prompted_boundary,adversarial,moderate,roadmap,72,69,1
prompted_boundary,adversarial,moderate,unsupported,80,80,1
prompted_boundary,adversarial,severe,research_result,21,0,1
prompted_boundary,adversarial,severe,roadmap,48,0,1
prompted_boundary,adversarial,severe,unsupported,48,0,1
prompted_boundary,differential,n/a,instrumented_prototype,24,0,1
prompted_boundary,differential,n/a,operating_envelope_study,72,0,1
prompted_boundary,differential,n/a,product_expression,24,0,1
prompted_boundary,differential,n/a,research_result,24,0,1
prompted_boundary,wild,n/a,navigation,7,7,1
prompted_boundary,wild,n/a,research_result,1,1,1
prompted_boundary,wild,n/a,roadmap,8,8,1
prompted_boundary,wild,n/a,unsupported,14,14,1
sundog_gated,adversarial,mild,research_result,29,29,1
sundog_gated,adversarial,mild,roadmap,64,62,1
sundog_gated,adversarial,mild,unsupported,24,24,1
sundog_gated,adversarial,moderate,instrumented_prototype,40,40,1
sundog_gated,adversarial,moderate,operating_envelope_study,48,48,1
sundog_gated,adversarial,moderate,product_expression,8,8,1
sundog_gated,adversarial,moderate,research_result,49,49,1
sundog_gated,adversarial,moderate,roadmap,72,69,1
sundog_gated,adversarial,moderate,unsupported,80,80,1
sundog_gated,adversarial,severe,research_result,21,21,1
sundog_gated,adversarial,severe,roadmap,48,46,1
sundog_gated,adversarial,severe,unsupported,48,48,1
sundog_gated,differential,n/a,instrumented_prototype,24,23,1
sundog_gated,differential,n/a,operating_envelope_study,72,72,1
sundog_gated,differential,n/a,product_expression,24,24,1
sundog_gated,differential,n/a,research_result,24,24,1
sundog_gated,wild,n/a,navigation,7,7,1
sundog_gated,wild,n/a,research_result,1,1,1
sundog_gated,wild,n/a,roadmap,8,8,1
sundog_gated,wild,n/a,unsupported,14,14,1
