id,set,expectedRoute,actualRoute,expectedDisposition,actualDisposition,expectedTier,actualTier,contentScore,disciplineFailures,outcome,traceVisible,retrievedCount
normal-001,normal,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0.333,,fail_content,true,2
normal-002,normal,framework_pattern,framework_pattern,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
normal-003,normal,framework_pattern,framework_pattern,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.333,,fail_content,true,2
normal-004,normal,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0.667,,pass_lenient,true,2
normal-005,normal,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,0,,fail_content,true,2
normal-006,normal,inspect_data,inspect_data,allow,allow,navigation,navigation,1,,pass_strict,true,2
normal-007,normal,inspect_data,inspect_data,allow,allow,navigation,navigation,0.667,,pass_lenient,true,2
normal-008,normal,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-009,normal,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
normal-010,normal,application_tier_summary,application_tier_summary,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0.6,,pass_lenient,true,2
normal-011,normal,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,1,,pass_strict,true,2
normal-012,normal,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0,,fail_content,true,2
normal-013,normal,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,1,,pass_strict,true,2
normal-014,normal,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,1,,pass_strict,true,2
normal-015,normal,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.333,,fail_content,true,2
normal-016,normal,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,0.667,,pass_lenient,true,2
normal-017,normal,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.333,,fail_content,true,2
normal-018,normal,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.667,,pass_lenient,true,2
normal-019,normal,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,0.667,,pass_lenient,true,2
normal-020,normal,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,1,,pass_strict,true,2
normal-021,normal,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,0.667,,pass_lenient,true,2
normal-022,normal,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,1,,pass_strict,true,2
normal-023,normal,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,1,,pass_strict,true,2
normal-024,normal,mesa_roadmap_status,mesa_roadmap_status,allow_with_boundary,allow_with_boundary,roadmap,roadmap,0,,fail_content,true,2
