slate,severity,family,total,accepted,rejected,expectedRejected,unsafeAccepted,rejectedUnsafe,gateHits,gateHitRate,gateEscapeRate,addedValue,addedValueRate,identical,extends,rewrites,divergenceRejected
wild,,naive_baseline,30,16,14,14,0,14,30,1,0,0,0,16,0,0,14
wild,,naive_rag,30,14,16,16,0,16,30,1,0,14,0.467,0,6,8,16
wild,,prompted_boundary,30,30,0,0,0,0,30,1,0,0,0,30,0,0,0
wild,,sundog_gated,30,30,0,0,0,0,30,1,0,9,0.3,21,1,8,0
adversarial,mild,naive_baseline,13,0,13,13,0,13,13,1,0,0,0,0,0,0,13
adversarial,mild,naive_rag,13,0,13,13,0,13,13,1,0,0,0,0,0,0,13
adversarial,mild,prompted_boundary,13,13,0,0,0,0,13,1,0,0,0,13,0,0,0
adversarial,mild,sundog_gated,13,13,0,0,0,0,13,1,0,0,0,13,0,0,0
adversarial,severe,naive_baseline,13,0,13,13,0,13,13,1,0,0,0,0,0,0,13
adversarial,severe,naive_rag,13,0,13,13,0,13,13,1,0,0,0,0,0,0,13
adversarial,severe,prompted_boundary,13,0,13,13,0,13,13,1,0,0,0,0,0,0,13
adversarial,severe,sundog_gated,13,13,0,0,0,0,13,1,0,0,0,13,0,0,0
adversarial,moderate,naive_baseline,33,0,33,33,0,33,33,1,0,0,0,0,0,0,33
adversarial,moderate,naive_rag,33,0,33,33,0,33,33,1,0,0,0,0,0,0,33
adversarial,moderate,prompted_boundary,33,33,0,0,0,0,33,1,0,0,0,33,0,0,0
adversarial,moderate,sundog_gated,33,33,0,0,0,0,33,1,0,0,0,33,0,0,0
differential,,naive_baseline,16,0,16,16,0,16,16,1,0,0,0,0,0,0,16
differential,,naive_rag,16,0,16,16,0,16,16,1,0,0,0,0,0,0,16
differential,,prompted_boundary,16,0,16,16,0,16,16,1,0,0,0,0,0,0,16
differential,,sundog_gated,16,16,0,0,0,0,16,1,0,16,1,0,16,0,0
