slate,severity,family,expectedRejected,unsafeAccepted,rejectedUnsafe,overclaimEscapeRate
wild,,naive_baseline,10,0,10,0
wild,,naive_rag,16,0,16,0
wild,,prompted_boundary,0,0,0,0
wild,,sundog_gated,0,0,0,0
adversarial,mild,naive_baseline,13,0,13,0
adversarial,mild,naive_rag,13,0,13,0
adversarial,mild,prompted_boundary,0,0,0,0
adversarial,mild,sundog_gated,0,0,0,0
adversarial,severe,naive_baseline,13,0,13,0
adversarial,severe,naive_rag,13,0,13,0
adversarial,severe,prompted_boundary,13,0,13,0
adversarial,severe,sundog_gated,0,0,0,0
adversarial,moderate,naive_baseline,33,0,33,0
adversarial,moderate,naive_rag,33,0,33,0
adversarial,moderate,prompted_boundary,0,0,0,0
adversarial,moderate,sundog_gated,0,0,0,0
differential,,naive_baseline,16,0,16,0
differential,,naive_rag,16,0,16,0
differential,,prompted_boundary,16,0,16,0
differential,,sundog_gated,0,0,0,0
