seed,k,S,func_held,state_held
0,1,0,0.5099,0.0078
0,1,1,0.5237,0.0188
0,1,2,0.5089,0.003
0,1,3,0.5148,0.0143
0,1,4,0.509,0.0049
0,1,5,0.5289,0.0125
0,1,6,0.5049,0.0065
0,1,7,0.5152,0.0037
0,2,01,0.536,0.0274
0,2,02,0.508,0.0072
0,2,03,0.5244,0.0252
0,2,04,0.5268,0.0164
0,2,05,0.5322,0.0229
0,2,06,0.513,0.0094
0,2,07,0.5191,0.0159
0,2,12,0.5314,0.0264
0,2,13,0.5254,0.0137
0,2,14,0.5229,0.025
0,2,15,0.5456,0.0247
0,2,16,0.5241,0.0259
0,2,17,0.5383,0.0251
0,2,23,0.5203,0.0224
0,2,24,0.5221,0.0109
0,2,25,0.539,0.0203
0,2,26,0.5173,0.0123
0,2,27,0.5186,0.0076
0,2,34,0.5158,0.0169
0,2,35,0.5277,0.0231
0,2,36,0.5226,0.0246
0,2,37,0.5212,0.0252
0,2,45,0.5322,0.0212
0,2,46,0.5166,0.0129
0,2,47,0.5223,0.0118
0,2,56,0.5322,0.0246
0,2,57,0.528,0.012
0,2,67,0.5182,0.0116
0,3,012,0.5381,0.0316
0,3,013,0.5308,0.024
0,3,014,0.5393,0.0367
0,3,015,0.5511,0.0356
0,3,016,0.5391,0.0289
0,3,017,0.5489,0.038
0,3,023,0.5259,0.0284
0,3,024,0.5239,0.017
0,3,025,0.5391,0.0253
0,3,026,0.5159,0.0093
0,3,027,0.5211,0.0151
0,3,034,0.5275,0.0304
0,3,035,0.5381,0.0359
0,3,036,0.5271,0.0301
0,3,037,0.5332,0.0402
0,3,045,0.5432,0.0351
0,3,046,0.5265,0.0176
0,3,047,0.5307,0.0278
0,3,056,0.5347,0.028
0,3,057,0.5335,0.025
0,3,067,0.5255,0.0159
0,3,123,0.5296,0.022
0,3,124,0.5271,0.0344
0,3,125,0.5541,0.0347
0,3,126,0.528,0.0363
0,3,127,0.5439,0.0341
0,3,134,0.5243,0.0157
0,3,135,0.5389,0.0159
0,3,136,0.5267,0.0211
0,3,137,0.538,0.0254
0,3,145,0.5424,0.0298
0,3,146,0.5253,0.0333
0,3,147,0.5372,0.0336
0,3,156,0.5437,0.0337
0,3,157,0.5528,0.0258
0,3,167,0.5417,0.0309
0,3,234,0.5207,0.0265
0,3,235,0.5388,0.0347
0,3,236,0.5281,0.0357
0,3,237,0.528,0.035
0,3,245,0.5447,0.0322
0,3,246,0.5199,0.0207
0,3,247,0.5295,0.018
0,3,256,0.5465,0.0359
0,3,257,0.5361,0.0185
0,3,267,0.5247,0.0166
0,3,345,0.5224,0.0237
0,3,346,0.5209,0.0278
0,3,347,0.5192,0.0302
0,3,356,0.5336,0.0373
0,3,357,0.53,0.0273
0,3,367,0.5287,0.0361
0,3,456,0.534,0.0351
0,3,457,0.5371,0.0224
0,3,467,0.5268,0.0203
0,3,567,0.5389,0.0241
0,4,0123,0.5298,0.0281
0,4,0124,0.5415,0.0428
0,4,0125,0.5553,0.0416
0,4,0126,0.5365,0.0349
0,4,0127,0.5522,0.0447
0,4,0134,0.5275,0.029
0,4,0135,0.5493,0.0281
0,4,0136,0.5328,0.0254
0,4,0137,0.5497,0.0413
0,4,0145,0.553,0.0447
0,4,0146,0.5452,0.0391
0,4,0147,0.5463,0.052
0,4,0156,0.554,0.0375
0,4,0157,0.5587,0.0405
0,4,0167,0.5488,0.0366
0,4,0234,0.5223,0.0351
0,4,0235,0.5403,0.0424
0,4,0236,0.5283,0.0358
0,4,0237,0.5365,0.0462
0,4,0245,0.5425,0.0405
0,4,0246,0.5223,0.0189
0,4,0247,0.5345,0.0294
