q,kind,k,size,dirsWithLine,fixedBest,adaptive,gap,highAmbPoints,maxAmb,control_mean_gap,control_max_gap
5,k1-dir-union,1,5,1,5,5,0,0,1,0,0
5,k2-dir-union,2,9,2,5,9,4,1,2,0,0
5,k3-dir-union,3,13,3,5,13,8,1,3,0.495,4
5,k4-dir-union,4,17,4,5,17,12,1,4,6.385,12
5,k5-dir-union,5,21,6,20,21,1,21,5,6.55,11
5,k6-dir-union,6,21,6,20,21,1,21,5,6.8,11
5,whole-plane,,25,6,25,25,0,25,6,0,0
7,k1-dir-union,1,7,1,7,7,0,0,1,0,0
7,k2-dir-union,2,13,2,7,13,6,1,2,0,0
7,k3-dir-union,3,19,3,7,19,12,1,3,0,0
7,k4-dir-union,4,25,4,7,25,18,1,4,0.3,6
7,k5-dir-union,5,31,5,7,31,24,1,5,4.065,16
7,k6-dir-union,6,37,6,7,37,30,1,6,17.43,25
7,k7-dir-union,7,43,8,42,43,1,43,7,16.33,22
7,k8-dir-union,8,43,8,42,43,1,43,7,16.61,22
7,whole-plane,,49,8,49,49,0,49,8,0,0
