q,quadruple,lambda,orbit_six_set,orbit_label,j_invariant,body_size,completion,ex,nodes
5,0 1 2 3,3,"2,3,4",harmonic,3,17,19,2,10
5,0 1 2 4,4,"2,3,4",harmonic,3,17,19,2,10
5,0 1 2 inf,2,"2,3,4",harmonic,3,17,19,2,10
5,0 1 3 4,3,"2,3,4",harmonic,3,17,19,2,10
5,0 1 3 inf,4,"2,3,4",harmonic,3,17,19,2,10
5,0 1 4 inf,3,"2,3,4",harmonic,3,17,19,2,10
5,0 2 3 4,4,"2,3,4",harmonic,3,17,19,2,10
5,0 2 3 inf,3,"2,3,4",harmonic,3,17,19,2,10
5,0 2 4 inf,2,"2,3,4",harmonic,3,17,19,2,10
5,0 3 4 inf,4,"2,3,4",harmonic,3,17,19,2,10
5,1 2 3 4,3,"2,3,4",harmonic,3,17,19,2,10
5,1 2 3 inf,2,"2,3,4",harmonic,3,17,19,2,10
5,1 2 4 inf,4,"2,3,4",harmonic,3,17,19,2,10
5,1 3 4 inf,3,"2,3,4",harmonic,3,17,19,2,10
5,2 3 4 inf,2,"2,3,4",harmonic,3,17,19,2,10
7,0 1 2 3,6,"2,4,6",harmonic,6,25,33,2,224
7,0 1 2 4,5,"3,5",equianharmonic,0,25,34,3,364
7,0 1 2 5,3,"3,5",equianharmonic,0,25,34,3,364
7,0 1 2 6,4,"2,4,6",harmonic,6,25,33,2,224
7,0 1 2 inf,2,"2,4,6",harmonic,6,25,33,2,147
7,0 1 3 4,2,"2,4,6",harmonic,6,25,33,2,224
7,0 1 3 5,4,"2,4,6",harmonic,6,25,33,2,224
7,0 1 3 6,3,"3,5",equianharmonic,0,25,34,3,364
7,0 1 3 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,0 1 4 5,2,"2,4,6",harmonic,6,25,33,2,140
7,0 1 4 6,5,"3,5",equianharmonic,0,25,34,3,364
7,0 1 4 inf,6,"2,4,6",harmonic,6,25,33,2,224
7,0 1 5 6,6,"2,4,6",harmonic,6,25,33,2,224
7,0 1 5 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,0 1 6 inf,4,"2,4,6",harmonic,6,25,33,2,147
7,0 2 3 4,5,"3,5",equianharmonic,0,25,34,3,364
7,0 2 3 5,6,"2,4,6",harmonic,6,25,33,2,140
7,0 2 3 6,2,"2,4,6",harmonic,6,25,33,2,224
7,0 2 3 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,0 2 4 5,4,"2,4,6",harmonic,6,25,33,2,224
7,0 2 4 6,6,"2,4,6",harmonic,6,25,33,2,224
7,0 2 4 inf,2,"2,4,6",harmonic,6,25,33,2,224
7,0 2 5 6,5,"3,5",equianharmonic,0,25,34,3,364
7,0 2 5 inf,4,"2,4,6",harmonic,6,25,33,2,147
7,0 2 6 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,0 3 4 5,3,"3,5",equianharmonic,0,25,34,3,364
7,0 3 4 6,2,"2,4,6",harmonic,6,25,33,2,140
7,0 3 4 inf,4,"2,4,6",harmonic,6,25,33,2,224
7,0 3 5 6,3,"3,5",equianharmonic,0,25,34,3,364
7,0 3 5 inf,6,"2,4,6",harmonic,6,25,33,2,224
7,0 3 6 inf,2,"2,4,6",harmonic,6,25,33,2,224
7,0 4 5 6,4,"2,4,6",harmonic,6,25,33,2,224
7,0 4 5 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,0 4 6 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,0 5 6 inf,6,"2,4,6",harmonic,6,25,33,2,147
7,1 2 3 4,6,"2,4,6",harmonic,6,25,33,2,140
7,1 2 3 5,5,"3,5",equianharmonic,0,25,34,3,364
7,1 2 3 6,3,"3,5",equianharmonic,0,25,34,3,364
7,1 2 3 inf,2,"2,4,6",harmonic,6,25,33,2,224
7,1 2 4 5,2,"2,4,6",harmonic,6,25,33,2,224
7,1 2 4 6,4,"2,4,6",harmonic,6,25,33,2,140
7,1 2 4 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,1 2 5 6,2,"2,4,6",harmonic,6,25,33,2,224
7,1 2 5 inf,6,"2,4,6",harmonic,6,25,33,2,224
7,1 2 6 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,1 3 4 5,5,"3,5",equianharmonic,0,25,34,3,364
7,1 3 4 6,6,"2,4,6",harmonic,6,25,33,2,224
7,1 3 4 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,1 3 5 6,4,"2,4,6",harmonic,6,25,33,2,224
7,1 3 5 inf,2,"2,4,6",harmonic,6,25,33,2,147
7,1 3 6 inf,4,"2,4,6",harmonic,6,25,33,2,224
7,1 4 5 6,3,"3,5",equianharmonic,0,25,34,3,364
7,1 4 5 inf,4,"2,4,6",harmonic,6,25,33,2,224
7,1 4 6 inf,6,"2,4,6",harmonic,6,25,33,2,147
7,1 5 6 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,2 3 4 5,6,"2,4,6",harmonic,6,25,33,2,224
7,2 3 4 6,5,"3,5",equianharmonic,0,25,34,3,364
7,2 3 4 inf,2,"2,4,6",harmonic,6,25,33,2,147
7,2 3 5 6,2,"2,4,6",harmonic,6,25,33,2,140
7,2 3 5 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,2 3 6 inf,6,"2,4,6",harmonic,6,25,33,2,224
7,2 4 5 6,5,"3,5",equianharmonic,0,25,34,3,364
7,2 4 5 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,2 4 6 inf,2,"2,4,6",harmonic,6,25,33,2,224
7,2 5 6 inf,4,"2,4,6",harmonic,6,25,33,2,224
7,3 4 5 6,6,"2,4,6",harmonic,6,25,33,2,224
7,3 4 5 inf,2,"2,4,6",harmonic,6,25,33,2,224
7,3 4 6 inf,5,"3,5",equianharmonic,0,25,34,3,364
7,3 5 6 inf,3,"3,5",equianharmonic,0,25,34,3,364
7,4 5 6 inf,2,"2,4,6",harmonic,6,25,33,2,147
11,0 1 2 3,5,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,0 1 2 4,7,"3,4,5,7,8,9",generic,2,41,75,4,140371
11,0 1 2 5,6,"2,6,10",harmonic,1,41,75,4,148456
11,0 1 2 6,9,"3,4,5,7,8,9",generic,2,41,75,4,150953
11,0 1 2 7,8,"3,4,5,7,8,9",generic,2,41,75,4,159984
11,0 1 2 8,10,"2,6,10",harmonic,1,41,75,4,150084
11,0 1 2 9,3,"3,4,5,7,8,9",generic,2,41,75,4,145948
11,0 1 2 10,4,"3,4,5,7,8,9",generic,2,41,75,4,137995
11,0 1 2 inf,2,"2,6,10",harmonic,1,41,75,4,152218
11,0 1 3 4,8,"3,4,5,7,8,9",generic,2,41,75,4,141746
11,0 1 3 5,10,"2,6,10",harmonic,1,41,75,4,148379
11,0 1 3 6,4,"3,4,5,7,8,9",generic,2,41,75,4,147840
11,0 1 3 7,6,"2,6,10",harmonic,1,41,75,4,152416
11,0 1 3 8,2,"2,6,10",harmonic,1,41,75,4,155936
11,0 1 3 9,5,"3,4,5,7,8,9",generic,2,41,75,4,154693
11,0 1 3 10,3,"3,4,5,7,8,9",generic,2,41,75,4,140371
11,0 1 3 inf,7,"3,4,5,7,8,9",generic,2,41,75,4,154198
11,0 1 4 5,4,"3,4,5,7,8,9",generic,2,41,75,4,155485
11,0 1 4 6,6,"2,6,10",harmonic,1,41,75,4,159489
11,0 1 4 7,9,"3,4,5,7,8,9",generic,2,41,75,4,139172
11,0 1 4 8,3,"3,4,5,7,8,9",generic,2,41,75,4,157102
11,0 1 4 9,2,"2,6,10",harmonic,1,41,75,4,151778
11,0 1 4 10,10,"2,6,10",harmonic,1,41,75,4,148456
11,0 1 4 inf,5,"3,4,5,7,8,9",generic,2,41,75,4,157454
11,0 1 5 6,7,"3,4,5,7,8,9",generic,2,41,75,4,152075
11,0 1 5 7,5,"3,4,5,7,8,9",generic,2,41,75,4,149996
11,0 1 5 8,9,"3,4,5,7,8,9",generic,2,41,75,4,161183
11,0 1 5 9,6,"2,6,10",harmonic,1,41,75,4,151877
11,0 1 5 10,8,"3,4,5,7,8,9",generic,2,41,75,4,150953
11,0 1 5 inf,4,"3,4,5,7,8,9",generic,2,41,75,4,157696
11,0 1 6 7,7,"3,4,5,7,8,9",generic,2,41,75,4,136081
11,0 1 6 8,6,"2,6,10",harmonic,1,41,75,4,150227
11,0 1 6 9,4,"3,4,5,7,8,9",generic,2,41,75,4,138204
11,0 1 6 10,9,"3,4,5,7,8,9",generic,2,41,75,4,159984
11,0 1 6 inf,10,"2,6,10",harmonic,1,41,75,4,147312
