q,body,body_size,direction,lit,activation_cost,witness_intercept,add_points
5,empty,0,0,false,5,0,0 1 2 3 4
5,empty,0,1,false,5,0,0 6 12 18 24
5,empty,0,2,false,5,0,0 8 11 19 22
5,empty,0,3,false,5,0,0 7 14 16 23
5,empty,0,4,false,5,0,0 9 13 17 21
5,empty,0,inf,false,5,0,0 5 10 15 20
5,single-line,5,0,true,0,0,
5,single-line,5,1,false,4,0,6 12 18 24
5,single-line,5,2,false,4,0,8 11 19 22
5,single-line,5,3,false,4,0,7 14 16 23
5,single-line,5,4,false,4,0,9 13 17 21
5,single-line,5,inf,false,4,0,5 10 15 20
5,line-plus-1,6,0,true,0,0,
5,line-plus-1,6,1,false,3,1,11 17 23
5,line-plus-1,6,2,false,3,1,13 16 24
5,line-plus-1,6,3,false,3,1,12 19 21
5,line-plus-1,6,4,false,3,1,14 18 22
5,line-plus-1,6,inf,false,3,0,10 15 20
5,line-plus-safe,8,0,true,0,0,
5,line-plus-safe,8,1,false,3,0,12 18 24
5,line-plus-safe,8,2,false,3,1,13 16 24
5,line-plus-safe,8,3,false,3,0,14 16 23
5,line-plus-safe,8,4,false,3,1,14 18 22
5,line-plus-safe,8,inf,false,3,0,10 15 20
5,threshold-cross,9,0,true,0,0,
5,threshold-cross,9,1,true,0,1,
5,threshold-cross,9,2,false,3,0,8 19 22
5,threshold-cross,9,3,false,3,0,7 14 16
5,threshold-cross,9,4,false,3,0,9 13 21
5,threshold-cross,9,inf,false,3,0,10 15 20
5,star-k2,9,0,true,0,0,
5,star-k2,9,1,true,0,0,
5,star-k2,9,2,false,3,1,5 13 16
5,star-k2,9,3,false,3,1,5 19 21
5,star-k2,9,4,false,3,1,5 14 22
5,star-k2,9,inf,false,3,1,11 16 21
5,star-k3,13,0,true,0,0,
5,star-k3,13,1,true,0,0,
5,star-k3,13,2,true,0,0,
5,star-k3,13,3,false,2,1,5 21
5,star-k3,13,4,false,2,1,5 14
5,star-k3,13,inf,false,2,1,16 21
5,star-k4,17,0,true,0,0,
5,star-k4,17,1,true,0,0,
5,star-k4,17,2,true,0,0,
5,star-k4,17,3,true,0,0,
5,star-k4,17,4,false,1,1,5
5,star-k4,17,inf,false,1,1,21
5,pencil-minus-one,21,0,true,0,0,
5,pencil-minus-one,21,1,true,0,0,
5,pencil-minus-one,21,2,true,0,0,
5,pencil-minus-one,21,3,true,0,0,
5,pencil-minus-one,21,4,true,0,0,
5,pencil-minus-one,21,inf,true,0,1,
5,whole-plane,25,0,true,0,0,
5,whole-plane,25,1,true,0,0,
5,whole-plane,25,2,true,0,0,
5,whole-plane,25,3,true,0,0,
5,whole-plane,25,4,true,0,0,
5,whole-plane,25,inf,true,0,0,
5,greedy-cover,17,0,true,0,0,
5,greedy-cover,17,1,true,0,0,
5,greedy-cover,17,2,true,0,1,
5,greedy-cover,17,3,true,0,1,
5,greedy-cover,17,4,true,0,0,
5,greedy-cover,17,inf,true,0,1,
5,random-third,8,0,false,3,0,0 1 4
5,random-third,8,1,false,2,3,8 14
5,random-third,8,2,false,2,1,5 24
5,random-third,8,3,false,2,1,5 19
5,random-third,8,4,false,2,3,11 24
5,random-third,8,inf,false,2,2,17 22
5,random-half,12,0,false,1,3,16
5,random-half,12,1,false,2,1,4 11
5,random-half,12,2,false,2,2,4 21
5,random-half,12,3,false,2,0,14 16
5,random-half,12,4,false,1,2,6
5,random-half,12,inf,true,0,0,
7,empty,0,0,false,7,0,0 1 2 3 4 5 6
7,empty,0,1,false,7,0,0 8 16 24 32 40 48
7,empty,0,2,false,7,0,0 11 15 26 30 41 45
7,empty,0,3,false,7,0,0 12 17 22 34 39 44
7,empty,0,4,false,7,0,0 9 18 27 29 38 47
7,empty,0,5,false,7,0,0 10 20 23 33 36 46
7,empty,0,6,false,7,0,0 13 19 25 31 37 43
7,empty,0,inf,false,7,0,0 7 14 21 28 35 42
7,single-line,7,0,true,0,0,
7,single-line,7,1,false,6,0,8 16 24 32 40 48
7,single-line,7,2,false,6,0,11 15 26 30 41 45
7,single-line,7,3,false,6,0,12 17 22 34 39 44
7,single-line,7,4,false,6,0,9 18 27 29 38 47
7,single-line,7,5,false,6,0,10 20 23 33 36 46
7,single-line,7,6,false,6,0,13 19 25 31 37 43
7,single-line,7,inf,false,6,0,7 14 21 28 35 42
7,line-plus-1,8,0,true,0,0,
7,line-plus-1,8,1,false,5,1,15 23 31 39 47
7,line-plus-1,8,2,false,5,1,18 22 33 37 48
7,line-plus-1,8,3,false,5,1,19 24 29 41 46
7,line-plus-1,8,4,false,5,1,16 25 34 36 45
7,line-plus-1,8,5,false,5,1,17 27 30 40 43
7,line-plus-1,8,6,false,5,1,20 26 32 38 44
7,line-plus-1,8,inf,false,5,0,14 21 28 35 42
7,line-plus-safe,12,0,true,0,0,
7,line-plus-safe,12,1,false,5,0,16 24 32 40 48
7,line-plus-safe,12,2,false,5,0,15 26 30 41 45
7,line-plus-safe,12,3,false,5,1,19 24 29 41 46
7,line-plus-safe,12,4,false,5,0,18 27 29 38 47
7,line-plus-safe,12,5,false,5,0,20 23 33 36 46
7,line-plus-safe,12,6,false,5,1,20 26 32 38 44
7,line-plus-safe,12,inf,false,5,0,14 21 28 35 42
7,threshold-cross,13,0,true,0,0,
7,threshold-cross,13,1,true,0,1,
7,threshold-cross,13,2,false,5,0,11 26 30 41 45
7,threshold-cross,13,3,false,5,0,12 17 22 34 44
7,threshold-cross,13,4,false,5,0,9 18 27 29 38
7,threshold-cross,13,5,false,5,0,10 20 33 36 46
7,threshold-cross,13,6,false,5,0,13 19 25 37 43
7,threshold-cross,13,inf,false,5,0,14 21 28 35 42
7,star-k2,13,0,true,0,0,
7,star-k2,13,1,true,0,0,
7,star-k2,13,2,false,5,1,7 18 22 33 37
7,star-k2,13,3,false,5,1,7 19 29 41 46
7,star-k2,13,4,false,5,1,7 25 34 36 45
7,star-k2,13,5,false,5,1,7 17 27 30 43
7,star-k2,13,6,false,5,1,7 20 26 38 44
7,star-k2,13,inf,false,5,1,15 22 29 36 43
7,star-k3,19,0,true,0,0,
7,star-k3,19,1,true,0,0,
7,star-k3,19,2,true,0,0,
7,star-k3,19,3,false,4,1,7 19 29 46
7,star-k3,19,4,false,4,1,7 25 34 36
7,star-k3,19,5,false,4,1,7 17 27 43
7,star-k3,19,6,false,4,1,7 20 38 44
7,star-k3,19,inf,false,4,1,22 29 36 43
7,star-k6,37,0,true,0,0,
7,star-k6,37,1,true,0,0,
7,star-k6,37,2,true,0,0,
7,star-k6,37,3,true,0,0,
7,star-k6,37,4,true,0,0,
7,star-k6,37,5,true,0,0,
7,star-k6,37,6,false,1,1,7
7,star-k6,37,inf,false,1,1,43
7,pencil-minus-one,43,0,true,0,0,
7,pencil-minus-one,43,1,true,0,0,
7,pencil-minus-one,43,2,true,0,0,
7,pencil-minus-one,43,3,true,0,0,
7,pencil-minus-one,43,4,true,0,0,
7,pencil-minus-one,43,5,true,0,0,
7,pencil-minus-one,43,6,true,0,0,
7,pencil-minus-one,43,inf,true,0,1,
7,whole-plane,49,0,true,0,0,
7,whole-plane,49,1,true,0,0,
7,whole-plane,49,2,true,0,0,
7,whole-plane,49,3,true,0,0,
7,whole-plane,49,4,true,0,0,
7,whole-plane,49,5,true,0,0,
7,whole-plane,49,6,true,0,0,
7,whole-plane,49,inf,true,0,0,
7,greedy-cover,31,0,true,0,0,
7,greedy-cover,31,1,true,0,0,
7,greedy-cover,31,2,true,0,1,
7,greedy-cover,31,3,true,0,1,
7,greedy-cover,31,4,true,0,4,
7,greedy-cover,31,5,true,0,1,
7,greedy-cover,31,6,true,0,4,
7,greedy-cover,31,inf,true,0,5,
7,random-third,16,0,false,3,4,31 33 34
7,random-third,16,1,false,4,2,14 22 38 46
7,random-third,16,2,false,2,4,24 39
7,random-third,16,3,false,2,6,10 15
7,random-third,16,4,false,3,4,8 17 46
7,random-third,16,5,false,3,6,3 16 39
7,random-third,16,6,false,3,0,0 19 31
7,random-third,16,inf,false,3,2,16 23 44
7,random-half,24,0,true,0,4,
7,random-half,24,1,false,2,2,13 22
7,random-half,24,2,false,2,1,18 22
7,random-half,24,3,false,2,2,9 36
7,random-half,24,4,false,3,1,16 25 36
7,random-half,24,5,false,2,2,1 47
7,random-half,24,6,false,2,5,17 23
7,random-half,24,inf,false,1,3,17
11,empty,0,0,false,11,0,0 1 2 3 4 5 6 7 8 9 10
11,empty,0,1,false,11,0,0 12 24 36 48 60 72 84 96 108 120
11,empty,0,2,false,11,0,0 17 23 40 46 63 69 86 92 109 115
11,empty,0,3,false,11,0,0 15 30 34 49 64 68 83 98 102 117
11,empty,0,4,false,11,0,0 14 28 42 45 59 73 87 90 104 118
11,empty,0,5,false,11,0,0 20 29 38 47 56 76 85 94 103 112
11,empty,0,6,false,11,0,0 13 26 39 52 65 67 80 93 106 119
11,empty,0,7,false,11,0,0 19 27 35 54 62 70 78 97 105 113
11,empty,0,8,false,11,0,0 18 25 43 50 57 75 82 89 107 114
11,empty,0,9,false,11,0,0 16 32 37 53 58 74 79 95 100 116
11,empty,0,10,false,11,0,0 21 31 41 51 61 71 81 91 101 111
11,empty,0,inf,false,11,0,0 11 22 33 44 55 66 77 88 99 110
11,single-line,11,0,true,0,0,
11,single-line,11,1,false,10,0,12 24 36 48 60 72 84 96 108 120
11,single-line,11,2,false,10,0,17 23 40 46 63 69 86 92 109 115
11,single-line,11,3,false,10,0,15 30 34 49 64 68 83 98 102 117
11,single-line,11,4,false,10,0,14 28 42 45 59 73 87 90 104 118
11,single-line,11,5,false,10,0,20 29 38 47 56 76 85 94 103 112
11,single-line,11,6,false,10,0,13 26 39 52 65 67 80 93 106 119
11,single-line,11,7,false,10,0,19 27 35 54 62 70 78 97 105 113
11,single-line,11,8,false,10,0,18 25 43 50 57 75 82 89 107 114
11,single-line,11,9,false,10,0,16 32 37 53 58 74 79 95 100 116
11,single-line,11,10,false,10,0,21 31 41 51 61 71 81 91 101 111
11,single-line,11,inf,false,10,0,11 22 33 44 55 66 77 88 99 110
11,line-plus-1,12,0,true,0,0,
11,line-plus-1,12,1,false,9,1,23 35 47 59 71 83 95 107 119
11,line-plus-1,12,2,false,9,1,28 34 51 57 74 80 97 103 120
11,line-plus-1,12,3,false,9,1,26 41 45 60 75 79 94 109 113
11,line-plus-1,12,4,false,9,1,25 39 53 56 70 84 98 101 115
11,line-plus-1,12,5,false,9,1,31 40 49 58 67 87 96 105 114
11,line-plus-1,12,6,false,9,1,24 37 50 63 76 78 91 104 117
11,line-plus-1,12,7,false,9,1,30 38 46 65 73 81 89 108 116
11,line-plus-1,12,8,false,9,1,29 36 54 61 68 86 93 100 118
11,line-plus-1,12,9,false,9,1,27 43 48 64 69 85 90 106 111
11,line-plus-1,12,10,false,9,1,32 42 52 62 72 82 92 102 112
11,line-plus-1,12,inf,false,9,0,22 33 44 55 66 77 88 99 110
11,line-plus-safe,20,0,true,0,0,
11,line-plus-safe,20,1,false,9,0,24 36 48 60 72 84 96 108 120
