q,quadruple,orbit,six_set,completion,ex,nodes,status
7,0 1 2 3,harmonic,"2,4,6",33,2,224,exact
7,0 1 2 6,harmonic,"2,4,6",33,2,224,exact
7,0 1 2 inf,harmonic,"2,4,6",33,2,147,exact
7,0 1 3 4,harmonic,"2,4,6",33,2,224,exact
7,2 5 6 inf,harmonic,"2,4,6",33,2,224,exact
7,3 4 5 6,harmonic,"2,4,6",33,2,224,exact
7,3 4 5 inf,harmonic,"2,4,6",33,2,224,exact
7,4 5 6 inf,harmonic,"2,4,6",33,2,147,exact
7,0 1 2 4,equianharmonic,"3,5",34,3,364,exact
7,0 1 2 5,equianharmonic,"3,5",34,3,364,exact
7,0 1 3 6,equianharmonic,"3,5",34,3,364,exact
7,0 1 3 inf,equianharmonic,"3,5",34,3,364,exact
7,2 4 5 6,equianharmonic,"3,5",34,3,364,exact
7,2 4 5 inf,equianharmonic,"3,5",34,3,364,exact
7,3 4 6 inf,equianharmonic,"3,5",34,3,364,exact
7,3 5 6 inf,equianharmonic,"3,5",34,3,364,exact
11,0 1 2 3,generic,"3,4,5,7,8,9",75,4,137995,exact
11,0 1 2 4,generic,"3,4,5,7,8,9",75,4,140371,exact
11,0 1 2 6,generic,"3,4,5,7,8,9",75,4,150953,exact
11,0 1 2 7,generic,"3,4,5,7,8,9",75,4,159984,exact
11,6 9 10 inf,generic,"3,4,5,7,8,9",75,4,151085,exact
11,7 8 9 10,generic,"3,4,5,7,8,9",75,4,137995,exact
11,7 8 10 inf,generic,"3,4,5,7,8,9",75,4,142362,exact
11,7 9 10 inf,generic,"3,4,5,7,8,9",75,4,152559,exact
11,0 1 2 5,harmonic,"2,6,10",75,4,148456,exact
11,0 1 2 8,harmonic,"2,6,10",75,4,150084,exact
11,0 1 2 inf,harmonic,"2,6,10",75,4,152218,exact
11,0 1 3 5,harmonic,"2,6,10",75,4,148379,exact
11,6 7 8 inf,harmonic,"2,6,10",75,4,154308,exact
11,6 8 10 inf,harmonic,"2,6,10",75,4,147213,exact
11,7 8 9 inf,harmonic,"2,6,10",75,4,148137,exact
11,8 9 10 inf,harmonic,"2,6,10",75,4,152218,exact
13,0 1 2 3,equianharmonic,"4,10",102,5,4748939,exact
13,0 1 2 12,equianharmonic,"4,10",102,5,4748939,exact
13,0 1 3 9,equianharmonic,"4,10",102,5,4736719,exact
13,0 1 4 6,equianharmonic,"4,10",102,5,4690582,exact
13,8 9 10 11,equianharmonic,"4,10",102,5,3935685,exact
13,8 9 12 inf,equianharmonic,"4,10",102,5,4758065,exact
13,8 11 12 inf,equianharmonic,"4,10",102,5,3637140,exact
13,9 10 11 12,equianharmonic,"4,10",102,5,4748939,exact
13,0 1 2 4,generic,"3,5,6,8,9,11",102,5,4741932,exact
13,0 1 2 6,generic,"3,5,6,8,9,11",102,5,4057911,exact
13,0 1 2 7,generic,"3,5,6,8,9,11",102,5,4793113,exact
13,0 1 2 8,generic,"3,5,6,8,9,11",102,5,4228445,exact
13,8 10 11 12,generic,"3,5,6,8,9,11",102,5,3993899,exact
13,8 10 11 inf,generic,"3,5,6,8,9,11",102,5,4781673,exact
13,9 10 12 inf,generic,"3,5,6,8,9,11",102,5,4879667,exact
13,9 11 12 inf,generic,"3,5,6,8,9,11",102,5,4005612,exact
13,0 1 2 5,harmonic,"2,7,12",103,6,8431605,exact
13,0 1 2 10,harmonic,"2,7,12",103,6,8493706,exact
13,0 1 2 inf,harmonic,"2,7,12",103,6,8222396,exact
13,0 1 3 8,harmonic,"2,7,12",103,6,8171020,exact
13,8 9 10 inf,harmonic,"2,7,12",103,6,8243781,exact
13,8 10 12 inf,harmonic,"2,7,12",103,6,8956233,exact
13,9 10 11 inf,harmonic,"2,7,12",103,6,8283821,exact
13,10 11 12 inf,harmonic,"2,7,12",103,6,8222396,exact
