q,kind,k,size,gap_or_excess,note
5,structured,1,5,0,gap=0
5,structured,2,9,4,gap=4
5,broken-decoy,2,9,0,built=true
7,structured,1,7,0,gap=0
7,structured,2,13,6,gap=6
7,structured,3,19,12,gap=12
7,broken-decoy,2,13,0,built=true
7,broken-decoy,3,19,0,built=true
11,structured,1,11,0,gap=0
11,structured,2,21,10,gap=10
11,structured,3,31,20,gap=20
11,structured,4,41,30,gap=30
11,structured,5,51,40,gap=40
11,broken-decoy,2,21,0,built=true
11,broken-decoy,3,31,0,built=true
11,broken-decoy,4,41,0,built=true
11,broken-decoy,5,51,0,built=true
