q,quadruple,orbit,six_set,completion,ex,nodes,status
7,0 1 2 3,harmonic,"2,4,6",33,2,44,exact
7,0 1 2 6,harmonic,"2,4,6",33,2,44,exact
7,0 1 2 inf,harmonic,"2,4,6",33,2,30,exact
7,0 1 3 4,harmonic,"2,4,6",33,2,44,exact
7,2 5 6 inf,harmonic,"2,4,6",33,2,44,exact
7,3 4 5 6,harmonic,"2,4,6",33,2,44,exact
7,3 4 5 inf,harmonic,"2,4,6",33,2,44,exact
7,4 5 6 inf,harmonic,"2,4,6",33,2,30,exact
7,0 1 2 4,equianharmonic,"3,5",34,3,58,exact
7,0 1 2 5,equianharmonic,"3,5",34,3,58,exact
7,0 1 3 6,equianharmonic,"3,5",34,3,58,exact
7,0 1 3 inf,equianharmonic,"3,5",34,3,58,exact
7,2 4 5 6,equianharmonic,"3,5",34,3,58,exact
7,2 4 5 inf,equianharmonic,"3,5",34,3,58,exact
7,3 4 6 inf,equianharmonic,"3,5",34,3,58,exact
7,3 5 6 inf,equianharmonic,"3,5",34,3,58,exact
11,0 1 2 5,harmonic,"2,6,10",75,4,15479,exact
11,0 1 2 8,harmonic,"2,6,10",75,4,15138,exact
11,0 1 2 inf,harmonic,"2,6,10",75,4,15369,exact
11,0 1 3 5,harmonic,"2,6,10",75,4,16590,exact
11,6 7 8 inf,harmonic,"2,6,10",75,4,19593,exact
11,6 8 10 inf,harmonic,"2,6,10",75,4,16821,exact
11,7 8 9 inf,harmonic,"2,6,10",75,4,15809,exact
11,8 9 10 inf,harmonic,"2,6,10",75,4,15369,exact
11,0 1 2 3,generic,"3,4,5,7,8,9",75,4,15721,exact
11,0 1 2 4,generic,"3,4,5,7,8,9",75,4,16073,exact
11,0 1 2 6,generic,"3,4,5,7,8,9",75,4,17250,exact
11,0 1 2 7,generic,"3,4,5,7,8,9",75,4,17514,exact
11,6 9 10 inf,generic,"3,4,5,7,8,9",75,4,15127,exact
11,7 8 9 10,generic,"3,4,5,7,8,9",75,4,15721,exact
11,7 8 10 inf,generic,"3,4,5,7,8,9",75,4,16084,exact
11,7 9 10 inf,generic,"3,4,5,7,8,9",75,4,15644,exact
13,0 1 2 5,harmonic,"2,7,12",103,6,884366,exact
13,0 1 2 10,harmonic,"2,7,12",103,6,876592,exact
13,0 1 2 inf,harmonic,"2,7,12",103,6,870417,exact
13,0 1 3 8,harmonic,"2,7,12",103,6,864814,exact
13,8 9 10 inf,harmonic,"2,7,12",103,6,851450,exact
13,8 10 12 inf,harmonic,"2,7,12",103,6,866556,exact
13,9 10 11 inf,harmonic,"2,7,12",103,6,854752,exact
13,10 11 12 inf,harmonic,"2,7,12",103,6,870417,exact
13,0 1 2 4,generic,"3,5,6,8,9,11",102,5,380343,exact
13,0 1 2 6,generic,"3,5,6,8,9,11",102,5,409541,exact
13,0 1 2 7,generic,"3,5,6,8,9,11",102,5,404107,exact
13,0 1 2 8,generic,"3,5,6,8,9,11",102,5,547731,exact
13,8 10 11 12,generic,"3,5,6,8,9,11",102,5,387636,exact
13,8 10 11 inf,generic,"3,5,6,8,9,11",102,5,505195,exact
13,9 10 12 inf,generic,"3,5,6,8,9,11",102,5,388871,exact
13,9 11 12 inf,generic,"3,5,6,8,9,11",102,5,461164,exact
13,0 1 2 3,equianharmonic,"4,10",102,5,367928,exact
13,0 1 2 12,equianharmonic,"4,10",102,5,367928,exact
13,0 1 3 9,equianharmonic,"4,10",102,5,383268,exact
13,0 1 4 6,equianharmonic,"4,10",102,5,370710,exact
13,8 9 10 11,equianharmonic,"4,10",102,5,375195,exact
13,8 9 12 inf,equianharmonic,"4,10",102,5,381981,exact
13,8 11 12 inf,equianharmonic,"4,10",102,5,370840,exact
13,9 10 11 12,equianharmonic,"4,10",102,5,367928,exact
