bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
-11;30;-13;146;-32;2;-31;-11;164;6;0;-3;20;99;-17;11;-12;20;31;101;-1;41;-4;0;3;1;17;9;3;-2;-2;1;1;-1;-1;-3;0;-3;0;0;24;2;-2;2;0;-2;2;-1;-1;-1;0;2;0;3;2;-1;0;-1;0;2;2;4;0;-1;0;12;4;3;3;1;1;-1,1,1,0,no_op,0.0,False,False
-13;-22;-23;118;-3;31;-4;15;174;4;9;-4;21;75;-14;-7;-8;-10;29;75;-6;30;-3;13;-1;0;13;3;0;0;-2;0;1;7;2;2;1;1;-3;-4;23;-1;-3;-1;1;2;2;0;0;-1;1;2;1;2;1;-1;0;-1;0;2;1;3;-1;-2;0;11;3;2;3;0;1;1,1,1,0,no_op,0.0,False,False
-13;-24;-21;117;-7;30;0;19;173;5;10;-2;20;73;-14;-8;-9;-11;30;73;-6;29;-2;14;-1;0;15;3;1;-1;-1;-1;1;6;2;3;1;1;-2;-4;23;-1;-3;-1;1;2;2;0;0;-1;0;2;1;2;1;-1;1;0;0;2;1;3;0;-1;0;10;3;2;3;0;0;1,1,1,0,no_op,0.0,False,False
-13;-53;-3;103;1;34;1;8;175;5;23;9;21;71;-11;-1;-2;-1;30;71;-2;32;1;14;0;0;20;9;-2;1;-1;2;4;4;2;3;-1;4;2;-1;22;-1;-3;-1;-1;1;2;0;0;-1;0;4;1;3;1;-1;1;0;1;2;2;4;0;0;0;11;2;2;3;1;0;-1,1,1,0,no_op,0.0,False,False
-13;46;-13;150;15;-15;4;2;181;-4;23;3;17;89;-8;-8;1;12;32;90;-2;36;-1;6;-1;0;25;2;-2;-2;1;-5;-1;-4;2;-2;0;-3;0;2;23;1;-3;2;0;-2;1;-2;-1;0;2;2;1;2;1;-1;0;0;1;1;2;3;0;0;0;11;2;4;3;0;0;-1,1,1,0,no_op,0.0,False,False
-15;-22;-23;119;0;32;-8;12;173;3;9;-5;23;76;-13;-6;-7;-7;28;77;-6;32;-4;13;0;0;12;4;0;1;-2;1;-1;8;1;2;1;2;-2;-4;23;-1;-3;-1;1;2;2;0;0;-1;1;2;1;2;0;-2;0;-1;0;2;1;3;-1;-2;0;11;3;2;3;0;1;1,1,1,0,no_op,0.0,False,False
-16;-27;-17;117;-10;30;3;22;171;6;10;0;19;71;-13;-8;-9;-12;30;71;-5;28;0;13;0;-1;16;3;1;-1;-1;-1;1;4;2;3;1;2;-1;-3;22;-1;-3;-1;1;2;1;0;0;-1;0;2;1;2;2;-1;1;0;0;2;1;3;0;-1;0;11;3;2;3;0;0;1,1,1,0,no_op,0.0,False,False
-17;-13;-18;121;-21;3;-50;6;163;-1;-7;-2;15;76;-23;-9;-2;-2;30;76;-2;33;-12;14;1;0;14;3;4;1;-2;-1;-5;5;-1;1;2;2;1;1;27;-4;-2;0;1;1;2;0;-1;-1;0;2;-1;2;2;0;1;-1;1;1;1;2;0;0;-1;13;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-17;-14;-20;121;-18;6;-49;5;165;-1;-5;0;16;77;-21;-8;-3;-3;27;76;-2;33;-11;14;0;0;12;3;4;1;-3;-1;-6;5;0;0;2;2;1;0;27;-5;-3;0;1;1;2;0;-1;-1;0;2;0;2;2;0;1;-2;1;2;1;2;1;0;-1;13;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-17;-52;-1;104;-2;34;1;12;174;5;20;10;21;69;-12;-3;0;-2;29;70;-1;32;2;14;0;0;18;8;-1;1;-1;1;4;2;3;2;-1;4;1;-1;22;0;-3;0;-1;1;2;0;0;-1;0;3;1;2;1;-1;1;0;0;2;2;3;0;0;0;11;2;2;4;1;0;0,1,1,0,no_op,0.0,False,False
-17;33;-8;147;-32;3;-34;-12;164;6;-2;1;20;100;-17;10;-11;21;31;103;1;40;-2;1;4;2;17;8;3;-2;0;1;1;-1;-1;-3;0;-3;1;0;23;1;-3;1;0;-1;2;0;-1;0;0;2;0;3;2;-1;1;-1;0;2;2;4;0;-1;0;12;3;4;3;1;0;0,1,1,0,no_op,0.0,False,False
-18;-24;-22;120;2;33;-12;11;171;4;8;-6;23;75;-13;-4;-5;-6;28;78;-5;33;-4;12;0;0;12;6;0;0;-2;3;-2;7;1;2;1;2;-2;-3;23;-1;-3;-1;1;2;1;0;0;-1;0;2;1;2;0;-1;0;-1;0;2;1;3;-1;-1;0;11;3;2;3;0;1;1,1,1,0,no_op,0.0,False,False
-18;-33;-12;116;-12;30;4;24;169;6;10;2;19;68;-13;-8;-7;-12;30;70;-3;29;2;13;0;-2;16;4;2;-1;0;-1;1;3;2;3;1;3;0;-2;22;0;-3;0;0;2;1;0;0;-1;0;2;0;3;2;-1;1;0;0;2;1;3;0;0;0;11;3;2;3;0;0;1,1,1,0,no_op,0.0,False,False
-18;46;-10;151;13;-15;1;-2;181;-2;23;0;17;91;-11;-7;3;11;31;92;-1;37;-1;4;-1;1;23;1;-1;-2;1;-3;1;-4;2;-2;0;-3;0;2;23;0;-3;1;0;-2;1;-1;-1;0;1;2;1;2;0;-1;0;0;1;1;2;3;0;0;0;11;2;4;4;0;0;-1,1,1,0,no_op,0.0,False,False
-19;-12;-14;121;-25;2;-51;8;161;-1;-10;-4;14;76;-23;-9;-2;-2;32;75;-1;34;-11;14;2;0;16;4;4;1;-1;-1;-5;5;-2;1;2;1;1;1;26;-4;-2;0;1;1;2;0;-1;-1;0;2;-1;2;2;0;1;-1;1;1;1;2;0;0;-1;12;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-19;-15;-21;122;-15;8;-48;3;166;-1;-2;1;17;78;-20;-7;-2;-3;25;77;-3;33;-10;13;0;0;11;3;4;1;-3;0;-7;6;0;0;3;2;1;0;26;-4;-3;0;1;1;2;0;-1;-1;0;2;0;2;2;0;1;-2;1;2;1;2;1;0;-1;13;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-1;41;-11;125;-3;-45;-10;-13;162;1;25;-3;20;87;-9;-2;2;28;36;88;-8;35;-1;9;0;2;18;2;1;1;0;-8;-1;-2;1;-3;1;-4;-1;0;22;0;-1;3;1;-2;0;-2;0;0;0;2;1;2;1;-2;0;-1;-1;2;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-1;41;-11;126;-2;-45;-9;-13;162;1;25;-3;20;88;-10;-2;1;28;37;89;-8;35;0;9;0;2;19;2;1;1;0;-8;-1;-2;1;-3;1;-4;-1;0;22;0;-1;3;1;-2;0;-2;0;0;0;2;1;2;1;-1;0;-1;-1;2;2;4;0;0;0;11;4;4;4;1;1;0,1,1,0,no_op,0.0,False,False
-1;44;-9;133;0;-45;-5;-14;163;0;27;-1;20;89;-9;-2;1;27;38;89;-7;36;0;8;0;2;20;3;0;1;0;-7;0;-2;1;-3;1;-5;0;1;22;0;-1;3;1;-3;0;-1;0;0;1;2;1;2;1;-1;0;-1;0;1;2;3;0;0;0;11;4;4;4;1;0;0,1,1,0,no_op,0.0,False,False
-20;-50;0;106;-5;34;1;16;173;5;17;10;21;68;-12;-5;0;-4;28;69;0;32;3;14;1;0;17;7;-1;1;-1;0;3;1;3;2;-1;4;1;0;22;0;-3;0;-1;1;1;-1;0;-1;-1;3;0;2;2;-1;0;0;1;2;2;3;0;0;0;10;2;2;4;1;0;0,1,1,0,no_op,0.0,False,False
-21;-38;-7;114;-12;31;4;24;169;6;11;5;19;67;-13;-8;-5;-10;29;69;-2;30;3;13;1;-2;17;4;2;0;0;-1;1;1;2;2;0;3;0;-1;22;0;-3;0;-1;2;1;-1;0;-1;0;2;0;2;2;-1;1;0;0;2;1;3;0;0;0;11;2;2;3;0;0;0,1,1,0,no_op,0.0,False,False
-22;-26;-20;122;3;32;-15;11;169;5;6;-6;22;75;-13;-2;-3;-5;28;77;-4;34;-4;12;0;0;13;8;0;1;-1;3;-4;6;1;2;2;2;-1;-3;22;-1;-4;-1;1;2;1;0;-1;-1;0;2;0;2;0;-1;0;-1;0;2;1;3;0;-1;0;11;2;2;3;0;1;1,1,1,0,no_op,0.0,False,False
-22;-43;-4;111;-11;33;4;23;170;6;12;8;20;66;-13;-8;-3;-9;28;69;-1;30;4;13;1;-2;17;5;1;1;0;-1;1;1;3;2;-1;4;0;-1;22;-1;-3;0;-1;2;1;-1;0;-1;0;2;0;2;2;-1;1;0;0;2;2;3;0;0;-1;11;2;2;4;0;0;0,1,1,0,no_op,0.0,False,False
-22;-47;-1;109;-8;34;2;20;171;5;14;10;21;67;-13;-7;-1;-7;28;69;0;31;4;14;1;-1;17;6;0;1;0;0;2;0;3;2;-1;4;1;0;22;-1;-3;0;-1;2;1;-1;0;-1;-1;3;0;2;2;-1;0;0;0;2;2;3;0;0;-1;11;2;2;4;1;0;0,1,1,0,no_op,0.0,False,False
-23;-12;-10;122;-26;0;-52;9;159;-1;-13;-6;14;75;-22;-8;-1;-2;33;75;1;34;-10;14;3;0;17;4;4;1;0;-1;-5;4;-2;1;2;1;1;1;25;-3;-3;0;1;0;2;-1;-2;-1;0;2;-1;2;2;0;1;-1;1;2;1;2;0;0;0;12;3;3;2;0;0;-1,1,0,1,damp_low_band,0.0,False,False
-23;-17;-21;123;-15;10;-47;2;165;-2;0;2;17;78;-19;-7;-1;-3;23;77;-3;33;-8;11;0;0;12;4;3;1;-3;0;-8;5;0;0;3;2;1;0;25;-4;-4;0;1;1;2;0;-1;-1;0;2;0;2;2;-1;1;-2;0;1;1;2;1;0;-1;13;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-23;45;-8;152;10;-15;-1;-5;180;-1;21;-3;17;93;-13;-5;6;11;29;92;-1;37;0;3;0;1;22;0;-1;-2;0;-2;2;-3;2;-1;0;-3;0;2;23;0;-3;1;0;-2;2;-1;-1;0;1;1;1;2;1;0;0;0;1;1;2;3;0;0;0;11;2;4;4;0;0;-1,1,1,0,no_op,0.0,False,False
-24;-18;-19;160;-7;28;-41;1;164;1;-2;-2;17;84;-21;6;5;-6;28;85;-3;42;-7;1;0;0;17;15;2;0;0;4;-8;0;0;2;4;0;0;0;24;1;-2;-3;2;-1;0;2;-1;-1;0;2;0;2;1;-1;2;-1;0;2;0;3;0;-1;0;12;3;3;2;0;1;-1,1,0,1,damp_low_band,0.0,False,False
-24;-19;-19;158;-9;26;-40;2;164;1;-2;-2;16;82;-21;6;4;-8;29;83;-4;41;-8;2;0;0;17;14;3;0;0;3;-8;1;0;2;3;0;0;0;24;1;-2;-3;2;0;0;2;-1;-1;0;2;0;2;1;-1;1;-1;0;1;0;3;0;-1;0;12;3;3;2;0;1;-1,1,0,1,damp_low_band,0.0,False,False
-24;-21;-18;156;-12;25;-39;4;164;1;-2;-2;16;81;-22;6;4;-10;31;81;-4;40;-7;3;1;0;17;13;3;0;-1;3;-7;2;-1;2;3;0;0;0;24;1;-2;-3;2;0;1;2;-1;-1;0;2;0;2;2;-1;1;-1;0;1;0;3;0;-1;0;12;3;3;2;0;1;-1,1,0,1,damp_low_band,0.0,False,False
-24;34;-3;149;-30;4;-37;-12;165;6;-4;4;20;101;-16;8;-10;22;30;104;2;39;-2;2;4;2;17;7;2;-3;1;1;0;-2;0;-2;0;-3;1;0;23;0;-4;0;0;-1;2;0;-1;0;0;2;0;4;2;-1;0;-1;0;2;2;4;0;-1;0;12;3;4;3;1;0;0,1,1,0,no_op,0.0,False,False
-25;-17;-18;162;-5;29;-41;0;164;2;-3;-2;18;85;-20;7;5;-4;27;86;-3;43;-7;1;0;0;19;15;2;0;1;4;-9;-1;0;2;4;0;0;0;24;1;-2;-3;2;-1;0;2;-1;-1;-1;2;0;3;1;0;2;-1;0;2;0;3;0;-1;0;12;3;3;2;0;1;-1,1,0,1,damp_low_band,0.0,False,False
-25;-20;-20;124;-15;12;-45;2;164;-2;0;2;17;78;-19;-6;1;-4;24;77;-4;33;-7;11;0;0;13;6;3;1;-2;1;-9;5;0;0;3;3;1;0;24;-3;-4;-1;1;1;2;0;-1;-1;1;2;0;2;2;-1;1;-2;0;1;1;2;1;0;0;12;3;3;2;-1;1;0,1,0,1,damp_low_band,0.0,False,False
-25;19;-18;138;2;-8;-9;-10;178;0;0;7;18;90;-16;-1;-1;21;29;92;-3;38;-4;5;-1;1;16;2;1;0;-1;0;-3;-4;1;-1;1;-1;-2;2;23;0;-3;1;2;-2;2;-1;-1;0;0;2;1;2;1;0;0;0;1;1;1;3;-1;0;0;11;3;4;2;1;1;-2,1,1,0,no_op,0.0,False,False
-26;-24;-17;153;-13;24;-39;5;163;0;-2;-2;15;79;-22;5;4;-11;31;79;-3;39;-7;4;1;0;17;13;3;0;0;2;-6;2;-1;2;3;1;0;0;24;0;-2;-3;2;0;1;2;-1;-1;0;2;0;2;2;-1;1;-1;0;1;0;3;0;-1;0;12;3;3;2;0;1;-1,1,0,1,damp_low_band,0.0,False,False
-26;-27;-18;125;2;31;-17;12;168;6;5;-6;20;74;-14;-1;-2;-6;28;76;-4;34;-5;11;0;0;15;9;0;1;0;2;-4;5;1;2;2;2;-1;-3;22;-1;-4;-1;1;2;1;0;-1;-1;0;2;0;2;0;-1;0;0;0;2;1;3;0;-1;0;11;2;2;3;0;0;1,1,1,0,no_op,0.0,False,False
-26;17;-18;136;4;-6;-13;-7;176;2;0;8;19;90;-16;-2;0;20;28;90;-3;38;-5;6;-1;1;16;1;1;-1;-1;0;-5;-3;1;0;2;-1;-2;2;24;0;-3;1;2;-2;2;-1;-1;0;0;3;1;2;1;0;0;0;1;1;1;3;0;0;0;11;2;4;2;1;1;-2,1,1,0,no_op,0.0,False,False
-26;22;-17;139;-1;-9;-6;-13;178;-2;1;6;17;90;-17;0;0;23;30;93;-4;39;-3;5;-1;1;17;3;1;0;-1;0;-2;-3;2;-1;2;-1;-2;2;23;0;-3;1;2;-2;1;-1;-1;0;0;2;1;2;1;0;0;0;1;1;1;3;0;0;1;11;3;4;2;1;1;-2,1,1,0,no_op,0.0,False,False
-26;44;-6;152;7;-15;-2;-9;179;-1;17;-5;16;95;-15;-3;7;13;28;92;0;38;1;2;0;1;20;0;0;-2;0;0;2;-1;2;-1;0;-3;0;1;23;0;-3;0;0;-2;2;0;-1;0;0;1;1;2;1;0;0;0;1;1;2;3;0;0;0;11;2;4;3;1;0;-1,1,1,0,no_op,0.0,False,False
-27;-11;-5;122;-27;0;-54;9;157;-1;-15;-7;13;75;-20;-7;0;-1;33;75;2;34;-8;13;4;0;19;5;4;1;0;-1;-4;4;-2;1;2;1;1;1;24;-2;-4;1;1;0;2;-1;-2;-1;0;2;-1;2;2;0;1;-1;1;2;1;2;0;0;0;12;3;3;2;0;0;-1,1,0,1,damp_low_band,0.0,False,False
-27;-16;-16;164;-3;30;-42;0;163;3;-3;-2;18;86;-19;8;5;-2;27;88;-2;43;-6;1;0;0;20;14;2;-1;1;3;-9;-2;0;2;4;-1;0;0;23;1;-2;-3;2;-1;0;2;-1;-1;-1;2;0;3;1;0;2;0;0;2;0;3;0;-1;-1;12;3;3;2;1;1;-1,1,0,1,damp_low_band,0.0,False,False
-27;-22;-19;126;-15;14;-43;2;164;-3;-1;1;16;77;-20;-6;2;-5;25;77;-4;34;-6;10;0;0;14;7;3;1;-1;1;-8;5;0;0;3;3;1;0;23;-3;-4;-1;1;1;2;0;-1;-1;1;2;0;2;2;-1;1;-2;0;1;1;2;0;0;0;12;3;3;2;-1;1;0,1,0,1,damp_low_band,0.0,False,False
-27;1;-13;122;-15;0;-50;5;163;1;-12;-4;13;81;-23;-5;4;7;29;82;0;34;-10;12;1;1;18;3;4;1;-1;-1;-9;4;-1;0;3;1;1;0;25;-1;-4;1;1;0;2;-1;-1;0;0;2;-1;2;2;0;2;-1;1;2;0;3;0;0;-1;11;3;3;2;0;1;0,1,0,1,damp_low_band,0.0,False,False
-27;25;-14;141;-3;-10;-4;-15;177;-4;2;4;15;92;-16;1;1;23;31;93;-3;40;-1;5;-1;2;17;4;1;1;0;1;-1;-2;2;-1;2;-2;-1;2;22;0;-3;1;1;-2;1;0;-1;0;0;2;1;2;1;0;0;-1;0;1;1;3;0;0;0;11;3;4;3;1;1;-2,1,1,0,no_op,0.0,False,False
