sample_i,sample_j,signature_distance,high_mode_distance,high_distance_over_delta_h,sample_i_high_norm,sample_j_high_norm,action_i,action_j,action_agree
40,41,0.05325845724897816,0.04722133183468685,2.7012090915625317,0.25586723864169014,0.2531647882202432,0,0,True
41,42,0.0465838628718193,0.04776207410372971,2.7321412545613266,0.2531647882202432,0.25148909206963593,0,0,True
41,40,0.05325845724897816,0.04722133183468685,2.7012090915625317,0.2531647882202432,0.25586723864169014,0,0,True
42,43,0.04571475567336186,0.045376127744884975,2.5956575988471156,0.25148909206963593,0.2565605611238173,0,0,True
42,41,0.0465838628718193,0.04776207410372971,2.7321412545613266,0.25148909206963593,0.2531647882202432,0,0,True
43,42,0.04571475567336186,0.045376127744884975,2.5956575988471156,0.2565605611238173,0.25148909206963593,0,0,True
43,44,0.048619236037641136,0.03985609482216784,2.2798943084603085,0.2565605611238173,0.26521006949768017,0,0,True
44,45,0.04776148244210318,0.03827326121087904,2.189351234490857,0.26521006949768017,0.2707162610134113,0,0,True
44,43,0.048619236037641136,0.03985609482216784,2.2798943084603085,0.26521006949768017,0.2565605611238173,0,0,True
45,46,0.041772476430509846,0.040036044835583706,2.2901880166930075,0.2707162610134113,0.27369318553180433,0,0,True
45,44,0.04776148244210318,0.03827326121087904,2.189351234490857,0.2707162610134113,0.26521006949768017,0,0,True
46,47,0.03855340386041351,0.037508815951232746,2.1456225549909353,0.27369318553180433,0.27812487062449803,0,0,True
46,45,0.041772476430509846,0.040036044835583706,2.2901880166930075,0.27369318553180433,0.2707162610134113,0,0,True
47,46,0.03855340386041351,0.037508815951232746,2.1456225549909353,0.27812487062449803,0.27369318553180433,0,0,True
47,48,0.04200082181225904,0.032589968128073576,1.8642489481124833,0.27812487062449803,0.2819738497312922,0,0,True
48,47,0.04200082181225904,0.032589968128073576,1.8642489481124833,0.2819738497312922,0.27812487062449803,0,0,True
48,49,0.043205931039247386,0.03660862773994578,2.094128950597092,0.2819738497312922,0.28091024765178174,0,0,True
49,50,0.039127455882414196,0.04525294885260898,2.5886113777691215,0.28091024765178174,0.2760495570721823,0,0,True
49,48,0.043205931039247386,0.03660862773994578,2.094128950597092,0.28091024765178174,0.2819738497312922,0,0,True
50,51,0.035492127232931936,0.04858954447031091,2.779475168925128,0.2760495570721823,0.27164950437118257,0,0,True
50,49,0.039127455882414196,0.04525294885260898,2.5886113777691215,0.2760495570721823,0.28091024765178174,0,0,True
51,50,0.035492127232931936,0.04858954447031091,2.779475168925128,0.27164950437118257,0.2760495570721823,0,0,True
51,52,0.036115950292600264,0.04570154667502241,2.6142725878468136,0.27164950437118257,0.2698111573727504,0,0,True
52,51,0.036115950292600264,0.04570154667502241,2.6142725878468136,0.2698111573727504,0.27164950437118257,0,0,True
52,53,0.03899263224346546,0.03979677824751365,2.276501213337596,0.2698111573727504,0.2701012842546601,0,0,True
53,52,0.03899263224346546,0.03979677824751365,2.276501213337596,0.2701012842546601,0.2698111573727504,0,0,True
53,54,0.04064200678423447,0.03604675028668335,2.061987788411963,0.2701012842546601,0.2717031230272123,0,0,True
54,53,0.04064200678423447,0.03604675028668335,2.061987788411963,0.2717031230272123,0.2701012842546601,0,0,True
54,55,0.04101408572528844,0.03639189432368507,2.0817311157266496,0.2717031230272123,0.27354250643482025,0,0,True
55,54,0.04101408572528844,0.03639189432368507,2.0817311157266496,0.27354250643482025,0.2717031230272123,0,0,True
55,56,0.04239183771580918,0.036055193957012836,2.0624707929815926,0.27354250643482025,0.2729827112604213,0,0,True
56,55,0.04239183771580918,0.036055193957012836,2.0624707929815926,0.2729827112604213,0.27354250643482025,0,0,True
56,57,0.04346667782820859,0.03274769019627085,1.8732711477837254,0.2729827112604213,0.26717956350757827,0,0,True
57,58,0.041081187845006265,0.02988403981864969,1.70946131577461,0.26717956350757827,0.25663923675457717,0,0,True
57,56,0.04346667782820859,0.03274769019627085,1.8732711477837254,0.26717956350757827,0.2729827112604213,0,0,True
58,59,0.03533221905381732,0.029355375753644705,1.679220064134924,0.25663923675457717,0.24564600274983306,0,0,True
58,57,0.041081187845006265,0.02988403981864969,1.70946131577461,0.25663923675457717,0.26717956350757827,0,0,True
59,60,0.028234586091930046,0.02905271736279067,1.6619070497567046,0.24564600274983306,0.23781184248790177,0,0,True
59,58,0.03533221905381732,0.029355375753644705,1.679220064134924,0.24564600274983306,0.25663923675457717,0,0,True
59,61,0.04880251927220878,0.05384286363933101,3.0799815915291004,0.24564600274983306,0.23292444142147387,0,0,True
60,61,0.023078954426781123,0.02677384466781242,1.5315483452682572,0.23781184248790177,0.23292444142147387,0,0,True
60,59,0.028234586091930046,0.02905271736279067,1.6619070497567046,0.23781184248790177,0.24564600274983306,0,0,True
60,62,0.0436981557606704,0.04674556858868435,2.6739939335904466,0.23781184248790177,0.22926134112596702,0,0,True
61,60,0.023078954426781123,0.02677384466781242,1.5315483452682572,0.23292444142147387,0.23781184248790177,0,0,True
61,62,0.023244925840942666,0.021876686277093316,1.2514154423221515,0.23292444142147387,0.22926134112596702,0,0,True
61,63,0.04644428475705424,0.03696085157135434,2.114277264477704,0.23292444142147387,0.22697337372262125,0,0,True
61,59,0.04880251927220878,0.05384286363933101,3.0799815915291004,0.23292444142147387,0.24564600274983306,0,0,True
62,61,0.023244925840942666,0.021876686277093316,1.2514154423221515,0.22926134112596702,0.23292444142147387,0,0,True
62,63,0.024622265144937497,0.01762417874726228,1.0081586015000572,0.22926134112596702,0.22697337372262125,0,0,True
62,60,0.0436981557606704,0.04674556858868435,2.6739939335904466,0.22926134112596702,0.23781184248790177,0,0,True
62,64,0.046301080598422834,0.03298362091921825,1.8867671291346009,0.22926134112596702,0.2273517551178054,0,0,True
63,64,0.022722532053712666,0.0177466152515996,1.0151623556468676,0.22697337372262125,0.2273517551178054,0,0,True
63,62,0.024622265144937497,0.01762417874726228,1.0081586015000572,0.22697337372262125,0.22926134112596702,0,0,True
63,65,0.04137361533080889,0.03470284308634972,1.9851120585942164,0.22697337372262125,0.22967093667407376,0,0,True
63,61,0.04644428475705424,0.03696085157135434,2.114277264477704,0.22697337372262125,0.23292444142147387,0,0,True
63,66,0.0577341221763148,0.04829729776784168,2.7627577359553706,0.22697337372262125,0.2316558719063667,0,0,True
64,65,0.020150399866027627,0.01824167355447795,1.0434812517184566,0.2273517551178054,0.22967093667407376,0,0,True
64,63,0.022722532053712666,0.0177466152515996,1.0151623556468676,0.2273517551178054,0.22697337372262125,0,0,True
64,66,0.03922649759818622,0.03388168369747742,1.9381391520567846,0.2273517551178054,0.2316558719063667,0,0,True
64,62,0.046301080598422834,0.03298362091921825,1.8867671291346009,0.2273517551178054,0.22926134112596702,0,0,True
64,67,0.05824288179879401,0.04661164707485786,2.6663332006833285,0.2273517551178054,0.2327929895298102,0,0,True
65,64,0.020150399866027627,0.01824167355447795,1.0434812517184566,0.22967093667407376,0.2273517551178054,0,0,True
65,67,0.040910291196175785,0.03206470109460882,1.8342020173893046,0.22967093667407376,0.2327929895298102,0,0,True
65,63,0.04137361533080889,0.03470284308634972,1.9851120585942164,0.22967093667407376,0.22697337372262125,0,0,True
66,64,0.03922649759818622,0.03388168369747742,1.9381391520567846,0.2316558719063667,0.2273517551178054,0,0,True
66,68,0.04234354857174143,0.03281769549255688,1.8772756714902432,0.2316558719063667,0.2342878775449152,0,0,True
66,147477,0.05149969655758243,0.03749629420146922,2.1449062714176153,0.2316558719063667,0.2205043468555927,0,0,True
66,147478,0.053632314340811754,0.037926275068274624,2.1695025329266886,0.2316558719063667,0.22326948019900028,0,0,True
66,63,0.0577341221763148,0.04829729776784168,2.7627577359553706,0.2316558719063667,0.22697337372262125,0,0,True
67,65,0.040910291196175785,0.03206470109460882,1.8342020173893046,0.2327929895298102,0.22967093667407376,0,0,True
67,69,0.043009423342588456,0.03411407914088093,1.951432904269384,0.2327929895298102,0.2367594566431921,0,0,True
67,147478,0.0430166287286458,0.03287908946090152,1.8807876000830286,0.2327929895298102,0.22326948019900028,0,0,True
67,147479,0.05039093460031494,0.035935798340022355,2.0556409871803405,0.2327929895298102,0.22653420204443267,0,0,True
67,147477,0.05049389603145674,0.038361362413523475,2.1943909011058067,0.2327929895298102,0.2205043468555927,0,0,True
67,64,0.05824288179879401,0.04661164707485786,2.6663332006833285,0.2327929895298102,0.2273517551178054,0,0,True
68,69,0.021769208301664542,0.017508581099978722,1.0015460515427894,0.2342878775449152,0.2367594566431921,0,0,True
68,147479,0.03747402578324081,0.028606557014400322,1.6363852708796114,0.2342878775449152,0.22653420204443267,0,0,True
68,66,0.04234354857174143,0.03281769549255688,1.8772756714902432,0.2342878775449152,0.2316558719063667,0,0,True
68,147478,0.042520763850023534,0.033538088110028376,1.9184844009394861,0.2342878775449152,0.22326948019900028,0,0,True
68,70,0.04334336167268841,0.033914550317473334,1.9400192263641483,0.2342878775449152,0.2400052562918836,0,0,True
68,147480,0.0504507101559571,0.034891502120004726,1.995903950248148,0.2342878775449152,0.23083204062396406,0,0,True
69,68,0.021769208301664542,0.017508581099978722,1.0015460515427894,0.2367594566431921,0.2342878775449152,0,0,True
69,147480,0.03549199308545827,0.025890949543608814,1.481043959988654,0.2367594566431921,0.23083204062396406,0,0,True
69,147479,0.036385414694583056,0.02936656279776445,1.6798599983364784,0.2367594566431921,0.22653420204443267,0,0,True
69,67,0.043009423342588456,0.03411407914088093,1.951432904269384,0.2367594566431921,0.2327929895298102,0,0,True
69,71,0.043194200689033645,0.03241353949351747,1.8541566738550925,0.2367594566431921,0.24402952081481824,0,0,True
