i,dEdt,g,R
0,-0.006547406260396363,0.08373419893105813,-0.09028160519145449
1,-0.007151305641070416,0.08413456641217316,-0.09128587205324358
2,-0.006948034897085453,0.0855630342459057,-0.09251106914299115
3,-0.00617002394809503,0.08790488565974706,-0.0940749096078421
4,-0.005083252752210138,0.09089882447397377,-0.0959820772261839
5,-0.0038641462498332085,0.09420380172273365,-0.09806794797256686
6,-0.0025710865474746214,0.097491379132865,-0.10006246568033962
7,-0.001210899469778079,0.10049941338704718,-0.10171031285682526
8,0.00016816799700958285,0.1030158526157363,-0.10284768461872672
9,0.0014380803127931885,0.10483316990838869,-0.1033950895955955
10,0.002432276652594642,0.10574581650735292,-0.10331353985475827
11,0.003018157378388786,0.10561515016633204,-0.10259699278794325
12,0.0031375974616891233,0.10445272939063831,-0.10131513192894918
13,0.0028036040565469073,0.10244971361063553,-0.09964610955408862
14,0.0020894813134429147,0.09992036369539455,-0.09783088238195163
15,0.001135908005221578,0.09719084278220123,-0.09605493477697966
16,0.00015302841596008532,0.09450456355544495,-0.09435153513948487
17,-0.0006224255940401463,0.09200328446033508,-0.09262571005437523
18,-0.0010138359804253982,0.0897847028167317,-0.0907985387971571
19,-0.00098342148295677,0.08797935679415168,-0.08896277827710845
20,-0.0006485366067416204,0.08678032742132502,-0.08742886402806664
21,-0.00022241338858754178,0.08639927382079506,-0.0866216872093826
22,9.264147443163728e-05,0.08697430333866972,-0.08688166186423808
23,0.00021107981476388427,0.08848643103108003,-0.08827535121631615
24,0.0002132063073415763,0.0907390816371067,-0.09052587532976512
25,0.0002966535886951699,0.09341747218104855,-0.09312081859235338
26,0.0006467651202528707,0.09618768148976409,-0.09554091636951122
27,0.001313146776177318,0.09876353114274623,-0.09745038436656892
28,0.0021864086349374506,0.10090344122705167,-0.09871703259211421
29,0.0030851344437815703,0.10237400067488528,-0.09928886623110371
30,0.0038658414896969584,0.1029509444493444,-0.09908510295964744
31,0.004457486195037316,0.10248294475455763,-0.09802545855952031
32,0.004804668483223737,0.10097325675803132,-0.09616858827480758
33,0.004793750888009471,0.09861153707959823,-0.09381778619158876
34,0.004250502800866959,0.0957250378879512,-0.09147453508708424
35,0.003030547836909342,0.09267720574515162,-0.08964665790824228
36,0.0011405592880852772,0.08977813891234249,-0.08863757962425721
37,-0.0011974623709438414,0.08725756780912206,-0.0884550301800659
38,-0.003584182140629874,0.08529670512550763,-0.0888808872661375
