bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
13;71;40;70;23;48;51;58;174;11;30;10;25;67;32;14;24;10;36;67;15;26;22;21;6;2;21;13;4;5;14;7;14;8;4;3;4;6;6;5;20;3;6;6;1;3;0;2;1;0,4,0,4,damp_low_band,0.0,False,False
34;92;61;59;44;49;52;38;174;4;16;26;28;63;32;20;17;9;29;64;23;31;23;19;7;2;18;11;4;2;6;11;12;11;2;2;5;6;7;7;19;5;6;3;1;3;2;4;1;0,4,0,4,damp_low_band,0.0,False,False
11;73;109;202;31;42;54;39;176;9;30;16;45;102;34;22;17;9;12;100;20;29;24;15;6;3;26;6;2;3;7;5;7;10;2;5;3;5;2;5;24;4;7;4;4;2;3;0;1;0,3,0,3,damp_low_band,0.0,False,False
12;71;100;56;26;43;61;55;174;11;35;26;40;62;25;28;10;16;20;61;22;37;25;6;6;3;19;5;3;5;6;11;6;5;4;2;2;4;4;9;22;7;7;2;2;0;4;3;1;0,3,0,3,damp_low_band,0.0,False,False
12;71;124;65;28;42;64;52;174;11;29;30;47;64;18;27;10;23;13;62;19;42;19;3;6;3;23;5;3;5;5;7;5;9;3;2;2;3;2;7;24;5;5;1;4;1;4;1;1;0,3,0,3,damp_low_band,0.0,False,False
12;71;133;189;38;47;57;33;174;11;30;10;51;97;32;14;24;10;6;97;14;26;22;21;6;3;21;4;2;3;5;9;5;7;1;3;4;6;3;8;23;6;6;6;4;0;4;2;1;0,3,0,3,damp_low_band,0.0,False,False
12;71;139;184;38;46;58;33;174;11;28;9;52;95;31;12;26;11;5;95;13;26;20;22;6;3;20;5;2;3;6;10;5;6;1;3;4;5;3;9;23;6;6;6;3;0;4;3;1;0,3,0,3,damp_low_band,0.0,False,False
12;71;150;90;31;41;66;47;174;11;19;29;54;70;12;20;17;30;5;69;11;44;10;5;6;3;25;10;2;5;10;4;10;12;2;2;4;2;3;4;23;2;3;2;3;4;1;0;1;0,3,0,3,damp_low_band,0.0,False,False
13;71;162;132;36;42;66;39;174;11;15;18;57;81;16;9;28;26;0;80;5;36;7;16;6;2;19;12;2;4;13;9;14;6;2;2;5;3;7;6;19;4;2;5;0;3;0;3;1;0,3,0,3,damp_low_band,0.0,False,False
17;71;133;192;40;49;55;30;174;11;30;11;51;96;31;13;24;10;6;97;15;27;23;22;7;2;21;4;2;3;5;8;4;7;2;3;4;5;2;8;25;6;6;5;3;0;4;2;1;0,3,0,3,damp_low_band,0.0,False,False
19;72;8;131;25;54;41;54;174;11;16;18;18;84;14;11;27;27;42;85;5;36;6;15;7;2;23;4;4;3;6;6;4;9;3;4;5;3;1;7;26;5;3;4;4;1;4;1;1;0,3,0,3,damp_low_band,0.0,False,False
30;82;156;92;27;63;46;48;175;4;32;15;54;69;12;20;16;30;5;70;6;43;13;5;6;3;26;10;4;4;14;9;7;10;2;4;3;3;4;2;22;1;3;3;4;3;1;1;1;0,3,1,2,damp_low_band,0.33333333333333337,False,False
33;86;164;122;24;61;47;51;174;3;36;20;58;77;14;12;25;28;2;78;3;35;9;10;7;2;21;13;4;4;10;13;10;12;2;4;4;2;8;5;19;3;3;5;2;4;1;3;1;0,3,0,3,damp_low_band,0.0,False,False
33;87;138;188;16;50;54;54;174;3;22;30;54;96;31;12;26;11;7;95;18;25;17;21;7;2;20;4;3;5;8;3;10;4;4;4;6;5;2;9;24;7;6;4;2;0;4;1;1;0,3,0,3,damp_low_band,0.0,False,False
