bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
14;85;99;246;44;62;58;41;209;13;43;28;45;122;33;32;13;17;24;124;27;42;31;10;8;3;30;13;4;3;13;5;13;14;2;5;3;5;5;5;27;3;9;3;4;5;1;1;1;0;2;2;2;3;2;4;3;3;1;2;2;4;2;2;1;13;4;4;3;1;2;1,3,0,3,damp_low_band,0.0,False,False
16;85;39;220;39;67;49;49;209;13;28;37;29;116;17;29;16;33;41;118;18;53;17;3;8;3;21;12;5;3;14;14;14;5;3;6;4;3;8;9;24;7;5;2;1;2;2;5;1;0;4;3;2;3;3;4;1;2;1;2;2;4;2;0;2;14;3;4;4;1;0;2,3,0,3,damp_low_band,0.0,False,False
40;105;36;220;34;40;76;54;209;4;34;12;29;118;17;29;16;33;41;116;12;55;21;5;8;3;21;12;2;5;6;12;16;11;5;3;2;4;8;11;23;7;4;3;1;3;3;5;1;0;1;2;1;3;3;5;2;2;1;2;2;4;3;0;1;14;3;4;3;0;1;2,3,0,3,damp_low_band,0.0,False,False
12;86;102;67;33;59;68;64;210;12;41;25;44;73;35;33;14;15;29;74;27;40;30;12;8;3;20;8;4;6;11;15;10;5;4;2;3;6;6;11;25;7;9;3;1;0;3;5;1;0;2;3;1;3;2;4;3;3;1;2;2;4;2;2;1;12;4;4;4;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;86;110;245;43;58;61;42;210;12;42;24;48;122;36;31;15;14;21;123;27;39;31;13;8;3;31;11;3;3;11;5;11;14;2;6;3;6;4;5;28;4;9;3;4;4;2;0;1;0;2;3;2;3;2;4;3;3;1;2;2;4;2;2;1;12;4;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;86;129;70;32;56;72;64;210;12;39;32;51;74;27;35;11;22;21;74;27;46;27;7;8;3;24;5;4;6;7;12;7;7;4;2;2;5;4;11;27;7;7;2;4;0;5;3;1;0;2;2;1;3;3;3;3;2;1;2;2;4;1;1;0;13;4;4;3;1;2;2,2,0,2,damp_low_band,0.0,False,False
12;86;142;237;41;54;66;43;210;12;38;17;57;120;41;23;23;10;12;119;22;33;29;21;8;3;29;6;3;3;7;8;7;11;2;5;4;7;2;8;28;6;9;6;5;2;4;1;1;0;3;4;2;3;3;5;1;3;1;2;2;4;3;1;2;13;4;4;3;1;0;0,2,0,2,damp_low_band,0.0,False,False
12;86;14;153;37;63;53;59;210;12;19;22;21;98;20;10;34;31;50;100;6;44;11;19;8;3;28;6;6;4;6;8;7;11;5;5;7;4;2;9;28;6;3;6;5;1;4;1;1;0;2;3;1;3;2;4;3;3;1;2;2;4;2;2;1;12;3;4;3;1;2;1,2,0,2,damp_low_band,0.0,False,False
12;86;15;171;40;62;54;56;210;12;21;27;21;103;16;13;31;34;49;105;7;48;10;14;8;3;25;5;5;4;7;11;7;8;5;5;6;3;3;10;27;7;2;5;4;0;5;3;1;0;2;4;2;3;2;4;2;3;1;2;2;4;2;2;2;13;3;4;3;1;2;0,2,0,2,damp_low_band,0.0,False,False
12;86;162;224;41;54;69;43;210;12;33;14;62;116;39;16;30;12;7;115;16;32;25;24;8;3;25;5;2;4;7;12;7;8;2;5;5;7;3;10;27;7;8;7;4;0;5;3;1;0;4;3;2;3;3;4;1;2;1;2;2;4;2;0;2;14;3;4;3;1;0;1,2,0,2,damp_low_band,0.0,False,False
