bin_key,n,no_op_count,damp_low_band_count,majority_action,minority_fraction,evaluated,fiber_incompatible
21;57;90;110;12;33;32;32;108;2;16;19;34;58;18;6;17;8,7,0,7,damp_low_band,0.0,False,False
20;54;76;38;24;38;28;26;108;2;13;6;28;38;12;17;6;13,6,0,6,damp_low_band,0.0,False,False
20;58;24;45;24;28;36;27;109;3;14;17;14;42;20;8;15;5,6,0,6,damp_low_band,0.0,False,False
20;58;28;42;25;28;35;26;109;3;13;17;15;41;20;9;13;5,6,0,6,damp_low_band,0.0,False,False
21;56;34;124;14;23;38;30;108;2;12;6;19;63;13;17;6;13,6,0,6,damp_low_band,0.0,False,False
21;56;8;94;21;21;38;26;108;2;22;10;11;56;8;9;14;18,6,0,6,damp_low_band,0.0,False,False
8;44;11;61;15;32;28;34;108;7;12;6;12;46;15;5;18;11,6,6,0,no_op,0.0,False,False
8;44;60;34;16;26;38;35;108;7;22;15;24;38;16;17;6;9,6,6,0,no_op,0.0,False,False
8;44;87;114;24;29;36;20;108;7;17;6;32;59;19;7;16;7,6,6,0,no_op,0.0,False,False
9;44;24;118;20;35;25;24;108;7;16;19;16;61;10;16;7;16,6,6,0,no_op,0.0,False,False
10;44;101;89;24;26;40;22;108;7;10;9;35;52;11;5;18;14,5,5,0,no_op,0.0,False,False
10;44;19;114;19;35;24;26;108;7;14;19;15;60;9;15;8;17,5,5,0,no_op,0.0,False,False
10;44;82;119;25;30;34;19;108;7;19;6;31;60;19;8;15;6,5,5,0,no_op,0.0,False,False
10;47;98;62;14;34;34;28;110;4;16;14;35;44;6;10;12;19,5,5,0,no_op,0.0,False,False
11;44;15;110;18;35;24;27;108;7;13;18;14;59;8;14;9;18,5,5,0,no_op,0.0,False,False
11;44;85;44;19;24;42;30;108;7;15;19;30;41;10;16;7;16,5,5,0,no_op,0.0,False,False
11;44;95;106;25;28;37;19;108;7;14;6;34;56;16;5;18;10,5,5,0,no_op,0.0,False,False
12;45;85;118;25;30;34;18;108;7;18;7;32;59;19;7;16;7,5,5,0,no_op,0.0,False,False
20;53;5;83;24;22;37;24;108;2;22;13;10;53;9;7;16;17,5,0,5,damp_low_band,0.0,False,False
20;53;66;34;25;37;28;25;108;2;11;8;25;38;15;17;6;10,5,0,5,damp_low_band,0.0,False,False
20;53;79;122;10;29;35;33;108;2;12;17;32;61;20;9;14;6,5,0,5,damp_low_band,0.0,False,False
20;53;95;106;10;33;32;33;108;2;17;18;35;56;16;5;18;10,5,0,5,damp_low_band,0.0,False,False
20;53;96;57;18;39;28;29;108;2;20;8;34;43;7;12;10;18,5,0,5,damp_low_band,0.0,False,False
20;58;73;123;14;30;31;29;109;3;12;16;30;61;20;11;11;5,5,0,5,damp_low_band,0.0,False,False
20;58;98;94;16;34;31;28;109;3;20;16;36;53;13;4;19;12,5,0,5,damp_low_band,0.0,False,False
21;55;100;91;13;36;30;32;108;2;21;16;36;52;12;5;18;14,5,0,5,damp_low_band,0.0,False,False
21;55;32;38;28;30;32;22;108;2;11;17;16;40;20;10;13;6,5,0,5,damp_low_band,0.0,False,False
21;55;49;33;27;33;30;23;108;2;9;12;20;38;19;15;8;7,5,0,5,damp_low_band,0.0,False,False
21;55;76;123;10;29;35;33;108;2;11;17;31;61;20;10;13;6,5,0,5,damp_low_band,0.0,False,False
21;55;79;121;10;30;34;33;108;2;12;18;32;61;20;9;14;6,5,0,5,damp_low_band,0.0,False,False
21;55;91;110;11;33;32;33;108;2;16;19;35;57;17;6;17;8,5,0,5,damp_low_band,0.0,False,False
21;56;12;58;26;25;35;23;108;2;18;19;11;46;16;5;18;10,5,0,5,damp_low_band,0.0,False,False
21;56;17;51;27;26;34;23;108;2;16;19;12;44;18;6;17;8,5,0,5,damp_low_band,0.0,False,False
21;56;27;120;15;22;38;29;108;2;14;6;17;62;11;16;6;15,5,0,5,damp_low_band,0.0,False,False
21;56;35;37;28;30;32;23;108;2;10;16;17;39;20;11;11;6,5,0,5,damp_low_band,0.0,False,False
21;56;50;128;12;25;37;32;108;2;9;10;24;64;17;16;7;9,5,0,5,damp_low_band,0.0,False,False
