i,dEdt,g,R
0,-0.004847163524500847,0.041860945973781837,-0.046708109498282684
1,-0.005087961132997192,0.04175975691292908,-0.04684771804592627
2,-0.0047430813427339555,0.042823392355761644,-0.0475664736984956
3,-0.0038498379921307335,0.04496648870399508,-0.04881632669612582
4,-0.002568323918660506,0.04789952791793043,-0.050467851836590936
5,-0.0010761031333644117,0.05122571284141359,-0.052301815974778
6,0.0004942047383760251,0.05455689498433224,-0.05406269024595622
7,0.002025909769420055,0.05758009395966789,-0.05555418419024784
8,0.00336009142725021,0.06005064031742848,-0.05669054889017827
9,0.004296063668242429,0.061755335647158176,-0.057459271978915746
10,0.00466385330565728,0.06251344946360142,-0.05784959615794414
11,0.004405804516076688,0.062234725575491805,-0.05782892105941512
12,0.0035974367819722117,0.060985392498574424,-0.05738795571660221
13,0.0023926732670251846,0.05899754020640266,-0.056604866939377475
14,0.0009423143481261387,0.05660138663543409,-0.05565907228730795
15,-0.0006471969371972877,0.05411844100845235,-0.05476563794564964
16,-0.0022881010086032855,0.05178195579342662,-0.054070056802029906
17,-0.0038516332636352943,0.049729872222838166,-0.05358150548647346
18,-0.005132548648665594,0.04805926556818078,-0.05319181421684637
19,-0.005872227780706313,0.04688486111666269,-0.052757088897369006
20,-0.005834395697121922,0.04634556772798057,-0.05217996342510249
21,-0.004903395591937754,0.0465479750450458,-0.05145137063698355
22,-0.003163135145300623,0.047487455434605495,-0.05065059057990612
23,-0.000907973043078901,0.049009710346446377,-0.04991768338952528
24,0.0014419356525484789,0.05085243083984067,-0.049410495187292194
25,0.003486946099394997,0.05274860968545222,-0.04926166358605722
26,0.004967753628310652,0.054519181022041306,-0.049551427393730654
27,0.005789739153230014,0.056083953138058945,-0.05029421398482893
28,0.005968056222562419,0.05738899680100587,-0.05142094057844345
29,0.005569335725794114,0.0583267950823707,-0.05275745935657659
30,0.00469895106337357,0.05873123623936522,-0.05403228517599165
31,0.003516307827544196,0.05845432799147342,-0.05493802016392922
32,0.0022282332841936786,0.057454835501774104,-0.055226602217580426
33,0.0010308420444609667,0.055825015793249874,-0.05479417374878891
34,2.5357671930764658e-05,0.05374185253333711,-0.053716494861406346
35,-0.0008231027573371297,0.05139081976216378,-0.05221392251950091
36,-0.001638304839134505,0.048925575732523784,-0.05056388057165829
37,-0.0025268071261673394,0.04649170629463531,-0.04901851342080265
38,-0.003485795284796353,0.0442859991817091,-0.04777179446650545
39,-0.004375658255434477,0.04258839369110624,-0.046964051946540714
40,-0.0049681927386207095,0.04172023327075653,-0.04668842600937724
41,-0.0050524306829633145,0.04193764872442947,-0.04699007940739278
42,-0.004544619175105055,0.04331948570865787,-0.04786410488376293
43,-0.0035247579284880745,0.04571780584037143,-0.04924256376885951
44,-0.0021684892362991842,0.048801394730057075,-0.05096988396635626
45,-0.0006431315344172239,0.05216526187959201,-0.05280839341400923
46,0.0009291328225146944,0.05543873884603906,-0.054509606023524365
47,0.0024244470519364306,0.0583310709684454,-0.05590662391650897
48,0.003668587739724033,0.06060949411032818,-0.056940906370604144
49,0.004460215036252803,0.062066987434577725,-0.05760677239832492
50,0.004653972008408988,0.06254047253748331,-0.05788650052907432
51,0.004230666717863353,0.06197796460484678,-0.05774729788698343
52,0.0032955248845310675,0.06049426190335425,-0.057198737018823186
53,0.0020091414594338025,0.058358279259424925,-0.05634913779999112
54,0.0005112327631800473,0.05590860395174958,-0.055397371188569536
55,-0.0011019964136585736,0.05344754762944043,-0.054549544043099
56,-0.002737380075098335,0.0511792522612222,-0.05391663233632053
57,-0.004246242489664154,0.04922341592526979,-0.053469658414933945
58,-0.005403555047846342,0.04767759932530514,-0.05308115437315148
59,-0.00594768279554074,0.046665562549395335,-0.052613245344936076
60,-0.005665951993001003,0.046324956668025004,-0.05199090866102601
61,-0.00449223035831757,0.046738809921813354,-0.051231040280130924
62,-0.0025717458625215753,0.047861693580628875,-0.05043343944315045
63,-0.0002461599832499148,0.04950159942337147,-0.049747759406621385
64,0.002054705905026037,0.05138340081212898,-0.04932869490710294
65,0.0039615563726103364,0.053257773191166195,-0.04929621681855586
66,0.005262854612618786,0.05497633371195337,-0.04971347909933458
67,0.005901616721211998,0.05647560995439773,-0.05057399323318573
68,0.00591152133780895,0.057692697651058375,-0.051781176313249425
69,0.005369232328710609,0.05850012374293427,-0.05313089141422366
70,0.004393597732992721,0.05872694933642779,-0.05433335160343507
71,0.003159892031557726,0.05824758360405292,-0.05508769157249519
72,0.001879906191885522,0.05705878761839993,-0.055178881426514406
73,0.000731400085153433,0.05528364316740321,-0.05455224308224978
74,-0.00022157191583024177,0.05310863542929816,-0.0533302073451284
75,-0.0010470029306786643,0.05071175838500985,-0.05175876131568852
76,-0.0018752812156163368,0.04823955507773052,-0.05011483629334686
77,-0.002789628439581089,0.04584582482621408,-0.048635453265795166
78,-0.003748694858357944,0.043749917090279894,-0.04749861194863784
79,-0.004580399748288666,0.04225091830819927,-0.046831318056487936
80,-0.005049199895299505,0.04166435204869655,-0.046713551943996054
81,-0.004970170862701941,0.042206766689615,-0.04717693755231694
82,-0.004306067795312743,0.043895108625209664,-0.04820117642052241
83,-0.0031738538047482306,0.04652239581619073,-0.04969624962093896
84,-0.0017559686002600328,0.04972460198811562,-0.05148057058837565
85,-0.00020653888362918982,0.053097288067975874,-0.053303826951605064
86,0.0013584869120562629,0.056290820363966015,-0.05493233345190975
87,0.0028038214891792923,0.05903458518558548,-0.056230763696406186
88,0.003941833935279776,0.06110481194548835,-0.05716297801020857
89,0.004577439011533735,0.06230207471822521,-0.05772463570669147
90,0.004595701073423247,0.06248654467463488,-0.05789084360121163
91,0.0040157216574465,0.06164918342874374,-0.05763346177129724
92,0.0029667007610496843,0.05995239929694308,-0.05698569853589339
93,0.0016096164147155756,0.05769508754170247,-0.05608547112698689
94,7.129692625887363e-05,0.055215601726721415,-0.05514430480046254
95,-0.0015588614823940847,0.052792072534219026,-0.05435093401661311
96,-0.003177400035689615,0.05060077170281589,-0.053778171738505506
97,-0.004613988144538617,0.04874837748609267,-0.053362365630631285
98,-0.005626987659859979,0.0473369711655788,-0.05296395882543878
99,-0.00595855152709536,0.04649836668336513,-0.05245691821046049
100,-0.005427399053496984,0.046363340520421875,-0.05179073957391886
101,-0.004022231371325374,0.046985265186744965,-0.05100749655807034
102,-0.0019485611148362253,0.04827633548996184,-0.050224896604798064
103,0.0004133336882109345,0.050011956082365146,-0.04959862239415421
104,0.002636054788970117,0.05191311052501286,-0.04927705573604274
105,0.004388491451868211,0.05375434805693671,-0.0493658566050685
106,0.00550633994410632,0.0554165843724463,-0.04991024442833998
107,0.005964785823219292,0.05684596221014334,-0.05088117638692405
108,0.005812164577097184,0.05796511974795936,-0.05215295517086217
109,0.00513534477901631,0.05862839079213074,-0.05349304601311443
110,0.004068079468447859,0.05866740561631471,-0.054599326147866854
111,0.002800099108994411,0.057985318760304785,-0.055185219651310374
112,0.0015424497030462753,0.056617139145168686,-0.05507468944212241
113,0.00044790299429539604,0.05471153124472179,-0.054263628250426396
114,-0.000458259827397646,0.05245855484344997,-0.05291681467084761
115,-0.0012714316194289976,0.050026868876008226,-0.051298300495437224
116,-0.002119692035406434,0.04755916493564428,-0.04967885697105071
117,-0.00305673096516703,0.045222375832385614,-0.048279106797552644
