i,dEdt,g,R
0,0.005618770644237006,0.05565251586278341,-0.0500337452185464
1,0.005979036493363607,0.05704080480192893,-0.05106176830856532
2,0.005739394288305472,0.05810098383060866,-0.05236158954230319
3,0.004992641115058254,0.05867879636039238,-0.05368615524533413
4,0.003881125733523366,0.05861053298001334,-0.054729407246489975
5,0.0026014484670212334,0.0578173798737011,-0.055215931406679866
6,0.0013615050034548326,0.05635492898520283,-0.054993423981747995
7,0.0002977539276787927,0.05438351919872399,-0.054085765271045194
8,-0.0005858375595665238,0.05209298574126722,-0.052678823300833746
9,-0.0013967868728172114,0.049646616746013325,-0.051043403618830537
10,-0.002258163066118167,0.04718671277576091,-0.04944487584187908
11,-0.0032052278523972064,0.04488936099267133,-0.04809458884506854
12,-0.004136485737296858,0.04301091178566879,-0.04714739752296565
13,-0.0048405029562392995,0.04186958901584855,-0.04671009197208785
14,-0.005088656032277157,0.04175330091915553,-0.04684195695143269
15,-0.004751713129273062,0.04280150453501566,-0.04755321766428872
16,-0.0038647942516765663,0.04493192389584421,-0.048796718147520776
17,-0.002587083144381469,0.04785716041033551,-0.05044424355471698
18,-0.001096650599176345,0.05118088368495615,-0.052277534284132496
19,0.0004732649055887439,0.05451415411633083,-0.054040889210742085
20,0.002006304236959293,0.05754298624209108,-0.05553668200513179
21,0.0033444142025308016,0.060022220346069015,-0.05667780614353821
22,0.004287100650923574,0.06173845798740811,-0.057451357336484536
23,0.004663279333082249,0.06251020939415511,-0.05784693006107286
24,0.004413389058136291,0.06224540296345721,-0.05783201390532092
25,0.0036113828579541346,0.061007852050313144,-0.05739646919235901
26,0.0024107445147801485,0.05902771825598305,-0.0566169737412029
27,0.0009627937291104491,0.05663465888852021,-0.055671865159409764
28,-0.000625442155755343,0.0541510274108912,-0.05477646956664654
29,-0.0022663538317458584,0.05181150830707002,-0.05407786213881588
30,-0.0038321081643444416,0.04975501766304189,-0.05358712582738633
31,-0.005118498791995704,0.04807867373866387,-0.05319717253065957
32,-0.005867200937665851,0.04689672842761289,-0.05276392936527874
33,-0.005840944030192405,0.04634801792932807,-0.052188961959520476
34,-0.004921772832056359,0.04654013779325232,-0.05146191062530868
35,-0.0031906523289816566,0.047470420221355246,-0.0506610725503369
36,-0.0009395778030042781,0.048986524552824144,-0.04992610235582842
37,0.0014119398874209432,0.05082693265333009,-0.049414992765909146
38,0.003462993389321628,0.052723856317770296,-0.04926086292844867
39,0.0049520944046780035,0.054496705417036606,-0.0495446110123586
40,0.005782824393881378,0.056064406459318095,-0.05028158206543672
41,0.005969418180478539,0.05737344161870933,-0.05140402343823079
42,0.005577993641705546,0.05831731730802278,-0.052739323666317235
43,0.004713207802792073,0.058730253737397486,-0.054017045934605414
44,0.003533567084151208,0.058463229705052036,-0.05492966262090083
45,0.002245485549585584,0.05747313423305046,-0.05522764868346488
46,0.001045832054142909,0.055850634499484464,-0.054804802445341555
47,3.7633355718200145e-05,0.053772174105902605,-0.053734540750184405
