episode,cell_class,regret,signature_mode,bayes_mode
0,on,0.0,best_memoryless_phi,belief_optimal_same_info
1,on,0.0,best_memoryless_phi,belief_optimal_same_info
2,on,0.0,best_memoryless_phi,belief_optimal_same_info
3,on,0.0,best_memoryless_phi,belief_optimal_same_info
4,on,0.0,best_memoryless_phi,belief_optimal_same_info
5,on,0.0,best_memoryless_phi,belief_optimal_same_info
6,on,0.0,best_memoryless_phi,belief_optimal_same_info
7,on,0.0,best_memoryless_phi,belief_optimal_same_info
8,on,0.0,best_memoryless_phi,belief_optimal_same_info
9,on,0.0,best_memoryless_phi,belief_optimal_same_info
10,on,0.0,best_memoryless_phi,belief_optimal_same_info
11,on,0.0,best_memoryless_phi,belief_optimal_same_info
12,on,0.0,best_memoryless_phi,belief_optimal_same_info
13,on,0.0,best_memoryless_phi,belief_optimal_same_info
14,on,0.0,best_memoryless_phi,belief_optimal_same_info
15,on,0.0,best_memoryless_phi,belief_optimal_same_info
16,on,0.0,best_memoryless_phi,belief_optimal_same_info
17,on,0.0,best_memoryless_phi,belief_optimal_same_info
18,on,0.0,best_memoryless_phi,belief_optimal_same_info
19,on,0.0,best_memoryless_phi,belief_optimal_same_info
20,on,0.0,best_memoryless_phi,belief_optimal_same_info
21,on,0.0,best_memoryless_phi,belief_optimal_same_info
22,on,0.0,best_memoryless_phi,belief_optimal_same_info
23,on,0.0,best_memoryless_phi,belief_optimal_same_info
24,on,0.0,best_memoryless_phi,belief_optimal_same_info
25,on,0.0,best_memoryless_phi,belief_optimal_same_info
26,on,0.0,best_memoryless_phi,belief_optimal_same_info
27,on,0.0,best_memoryless_phi,belief_optimal_same_info
28,on,0.0,best_memoryless_phi,belief_optimal_same_info
29,on,0.0,best_memoryless_phi,belief_optimal_same_info
30,on,0.0,best_memoryless_phi,belief_optimal_same_info
31,on,0.0,best_memoryless_phi,belief_optimal_same_info
32,on,0.0,best_memoryless_phi,belief_optimal_same_info
33,on,0.0,best_memoryless_phi,belief_optimal_same_info
34,on,0.0,best_memoryless_phi,belief_optimal_same_info
35,on,0.0,best_memoryless_phi,belief_optimal_same_info
36,on,0.0,best_memoryless_phi,belief_optimal_same_info
37,on,0.0,best_memoryless_phi,belief_optimal_same_info
38,on,0.0,best_memoryless_phi,belief_optimal_same_info
39,on,0.0,best_memoryless_phi,belief_optimal_same_info
40,on,0.0,best_memoryless_phi,belief_optimal_same_info
41,on,0.0,best_memoryless_phi,belief_optimal_same_info
42,on,0.0,best_memoryless_phi,belief_optimal_same_info
43,on,0.0,best_memoryless_phi,belief_optimal_same_info
44,on,0.0,best_memoryless_phi,belief_optimal_same_info
45,on,0.0,best_memoryless_phi,belief_optimal_same_info
46,on,0.0,best_memoryless_phi,belief_optimal_same_info
47,on,0.0,best_memoryless_phi,belief_optimal_same_info
48,on,0.0,best_memoryless_phi,belief_optimal_same_info
49,on,0.0,best_memoryless_phi,belief_optimal_same_info
50,on,0.0,best_memoryless_phi,belief_optimal_same_info
51,on,0.0,best_memoryless_phi,belief_optimal_same_info
52,on,0.0,best_memoryless_phi,belief_optimal_same_info
53,on,0.0,best_memoryless_phi,belief_optimal_same_info
54,on,0.0,best_memoryless_phi,belief_optimal_same_info
55,on,0.0,best_memoryless_phi,belief_optimal_same_info
56,on,0.0,best_memoryless_phi,belief_optimal_same_info
57,on,0.0,best_memoryless_phi,belief_optimal_same_info
58,on,0.0,best_memoryless_phi,belief_optimal_same_info
59,on,0.0,best_memoryless_phi,belief_optimal_same_info
60,on,0.0,best_memoryless_phi,belief_optimal_same_info
61,on,0.0,best_memoryless_phi,belief_optimal_same_info
62,on,0.0,best_memoryless_phi,belief_optimal_same_info
63,on,0.0,best_memoryless_phi,belief_optimal_same_info
64,on,0.0,best_memoryless_phi,belief_optimal_same_info
65,on,0.0,best_memoryless_phi,belief_optimal_same_info
66,on,0.0,best_memoryless_phi,belief_optimal_same_info
67,on,0.0,best_memoryless_phi,belief_optimal_same_info
68,on,0.0,best_memoryless_phi,belief_optimal_same_info
69,on,0.0,best_memoryless_phi,belief_optimal_same_info
70,on,0.0,best_memoryless_phi,belief_optimal_same_info
71,on,0.0,best_memoryless_phi,belief_optimal_same_info
72,on,0.0,best_memoryless_phi,belief_optimal_same_info
73,on,0.0,best_memoryless_phi,belief_optimal_same_info
74,on,0.0,best_memoryless_phi,belief_optimal_same_info
75,on,0.0,best_memoryless_phi,belief_optimal_same_info
76,on,0.0,best_memoryless_phi,belief_optimal_same_info
77,on,0.0,best_memoryless_phi,belief_optimal_same_info
78,on,0.0,best_memoryless_phi,belief_optimal_same_info
79,on,0.0,best_memoryless_phi,belief_optimal_same_info
80,on,0.0,best_memoryless_phi,belief_optimal_same_info
81,on,0.0,best_memoryless_phi,belief_optimal_same_info
82,on,0.0,best_memoryless_phi,belief_optimal_same_info
83,on,0.0,best_memoryless_phi,belief_optimal_same_info
84,on,0.0,best_memoryless_phi,belief_optimal_same_info
85,on,0.0,best_memoryless_phi,belief_optimal_same_info
86,on,0.0,best_memoryless_phi,belief_optimal_same_info
87,on,0.0,best_memoryless_phi,belief_optimal_same_info
88,on,0.0,best_memoryless_phi,belief_optimal_same_info
89,on,0.0,best_memoryless_phi,belief_optimal_same_info
90,on,0.0,best_memoryless_phi,belief_optimal_same_info
91,on,0.0,best_memoryless_phi,belief_optimal_same_info
92,on,0.0,best_memoryless_phi,belief_optimal_same_info
93,on,0.0,best_memoryless_phi,belief_optimal_same_info
94,on,0.0,best_memoryless_phi,belief_optimal_same_info
95,on,0.0,best_memoryless_phi,belief_optimal_same_info
96,on,0.0,best_memoryless_phi,belief_optimal_same_info
97,on,0.0,best_memoryless_phi,belief_optimal_same_info
98,on,0.0,best_memoryless_phi,belief_optimal_same_info
99,on,0.0,best_memoryless_phi,belief_optimal_same_info
100,on,0.0,best_memoryless_phi,belief_optimal_same_info
101,on,0.0,best_memoryless_phi,belief_optimal_same_info
102,on,0.0,best_memoryless_phi,belief_optimal_same_info
103,on,0.0,best_memoryless_phi,belief_optimal_same_info
104,on,0.0,best_memoryless_phi,belief_optimal_same_info
105,on,0.0,best_memoryless_phi,belief_optimal_same_info
106,on,0.0,best_memoryless_phi,belief_optimal_same_info
107,on,0.0,best_memoryless_phi,belief_optimal_same_info
108,on,0.0,best_memoryless_phi,belief_optimal_same_info
109,on,0.0,best_memoryless_phi,belief_optimal_same_info
110,on,0.0,best_memoryless_phi,belief_optimal_same_info
111,on,0.0,best_memoryless_phi,belief_optimal_same_info
112,on,0.0,best_memoryless_phi,belief_optimal_same_info
113,on,0.0,best_memoryless_phi,belief_optimal_same_info
114,on,0.0,best_memoryless_phi,belief_optimal_same_info
115,on,0.0,best_memoryless_phi,belief_optimal_same_info
116,on,0.0,best_memoryless_phi,belief_optimal_same_info
117,on,0.0,best_memoryless_phi,belief_optimal_same_info
118,on,0.0,best_memoryless_phi,belief_optimal_same_info
119,on,0.0,best_memoryless_phi,belief_optimal_same_info
120,on,0.0,best_memoryless_phi,belief_optimal_same_info
121,on,0.0,best_memoryless_phi,belief_optimal_same_info
122,on,0.0,best_memoryless_phi,belief_optimal_same_info
123,on,0.0,best_memoryless_phi,belief_optimal_same_info
124,on,0.0,best_memoryless_phi,belief_optimal_same_info
125,on,0.0,best_memoryless_phi,belief_optimal_same_info
126,on,0.0,best_memoryless_phi,belief_optimal_same_info
127,on,0.0,best_memoryless_phi,belief_optimal_same_info
128,on,0.0,best_memoryless_phi,belief_optimal_same_info
129,on,0.0,best_memoryless_phi,belief_optimal_same_info
130,on,0.0,best_memoryless_phi,belief_optimal_same_info
131,on,0.0,best_memoryless_phi,belief_optimal_same_info
132,on,0.0,best_memoryless_phi,belief_optimal_same_info
133,on,0.0,best_memoryless_phi,belief_optimal_same_info
134,on,0.0,best_memoryless_phi,belief_optimal_same_info
135,on,0.0,best_memoryless_phi,belief_optimal_same_info
136,on,0.0,best_memoryless_phi,belief_optimal_same_info
137,on,0.0,best_memoryless_phi,belief_optimal_same_info
138,on,0.0,best_memoryless_phi,belief_optimal_same_info
139,on,0.0,best_memoryless_phi,belief_optimal_same_info
140,on,0.0,best_memoryless_phi,belief_optimal_same_info
141,on,0.0,best_memoryless_phi,belief_optimal_same_info
142,on,0.0,best_memoryless_phi,belief_optimal_same_info
143,on,0.0,best_memoryless_phi,belief_optimal_same_info
144,on,0.0,best_memoryless_phi,belief_optimal_same_info
145,on,0.0,best_memoryless_phi,belief_optimal_same_info
146,on,0.0,best_memoryless_phi,belief_optimal_same_info
147,on,0.0,best_memoryless_phi,belief_optimal_same_info
148,on,0.0,best_memoryless_phi,belief_optimal_same_info
149,on,0.0,best_memoryless_phi,belief_optimal_same_info
150,on,0.0,best_memoryless_phi,belief_optimal_same_info
151,on,0.0,best_memoryless_phi,belief_optimal_same_info
152,on,0.0,best_memoryless_phi,belief_optimal_same_info
153,on,0.0,best_memoryless_phi,belief_optimal_same_info
154,on,0.0,best_memoryless_phi,belief_optimal_same_info
155,on,0.0,best_memoryless_phi,belief_optimal_same_info
156,on,0.0,best_memoryless_phi,belief_optimal_same_info
157,on,0.0,best_memoryless_phi,belief_optimal_same_info
158,on,0.0,best_memoryless_phi,belief_optimal_same_info
159,on,0.0,best_memoryless_phi,belief_optimal_same_info
160,on,0.0,best_memoryless_phi,belief_optimal_same_info
161,on,0.0,best_memoryless_phi,belief_optimal_same_info
162,on,0.0,best_memoryless_phi,belief_optimal_same_info
163,on,0.0,best_memoryless_phi,belief_optimal_same_info
164,on,0.0,best_memoryless_phi,belief_optimal_same_info
165,on,0.0,best_memoryless_phi,belief_optimal_same_info
166,on,0.0,best_memoryless_phi,belief_optimal_same_info
167,on,0.0,best_memoryless_phi,belief_optimal_same_info
168,on,0.0,best_memoryless_phi,belief_optimal_same_info
169,on,0.0,best_memoryless_phi,belief_optimal_same_info
170,on,0.0,best_memoryless_phi,belief_optimal_same_info
171,on,0.0,best_memoryless_phi,belief_optimal_same_info
172,on,0.0,best_memoryless_phi,belief_optimal_same_info
173,on,0.0,best_memoryless_phi,belief_optimal_same_info
174,on,0.0,best_memoryless_phi,belief_optimal_same_info
175,on,0.0,best_memoryless_phi,belief_optimal_same_info
176,on,0.0,best_memoryless_phi,belief_optimal_same_info
177,on,0.0,best_memoryless_phi,belief_optimal_same_info
178,on,0.0,best_memoryless_phi,belief_optimal_same_info
179,on,0.0,best_memoryless_phi,belief_optimal_same_info
180,on,0.0,best_memoryless_phi,belief_optimal_same_info
181,on,0.0,best_memoryless_phi,belief_optimal_same_info
182,on,0.0,best_memoryless_phi,belief_optimal_same_info
183,on,0.0,best_memoryless_phi,belief_optimal_same_info
184,on,0.0,best_memoryless_phi,belief_optimal_same_info
185,on,0.0,best_memoryless_phi,belief_optimal_same_info
186,on,0.0,best_memoryless_phi,belief_optimal_same_info
187,on,0.0,best_memoryless_phi,belief_optimal_same_info
188,on,0.0,best_memoryless_phi,belief_optimal_same_info
189,on,0.0,best_memoryless_phi,belief_optimal_same_info
190,on,0.0,best_memoryless_phi,belief_optimal_same_info
191,on,0.0,best_memoryless_phi,belief_optimal_same_info
192,on,0.0,best_memoryless_phi,belief_optimal_same_info
193,on,0.0,best_memoryless_phi,belief_optimal_same_info
194,on,0.0,best_memoryless_phi,belief_optimal_same_info
195,on,0.0,best_memoryless_phi,belief_optimal_same_info
196,on,0.0,best_memoryless_phi,belief_optimal_same_info
197,on,0.0,best_memoryless_phi,belief_optimal_same_info
198,on,0.0,best_memoryless_phi,belief_optimal_same_info
199,on,0.0,best_memoryless_phi,belief_optimal_same_info
0,off,0.0,best_memoryless_phi,belief_optimal_same_info
1,off,0.0,best_memoryless_phi,belief_optimal_same_info
2,off,1.0,best_memoryless_phi,belief_optimal_same_info
3,off,1.0,best_memoryless_phi,belief_optimal_same_info
4,off,0.0,best_memoryless_phi,belief_optimal_same_info
5,off,1.0,best_memoryless_phi,belief_optimal_same_info
6,off,1.0,best_memoryless_phi,belief_optimal_same_info
7,off,0.0,best_memoryless_phi,belief_optimal_same_info
8,off,0.0,best_memoryless_phi,belief_optimal_same_info
9,off,1.0,best_memoryless_phi,belief_optimal_same_info
