trial_id,case_id,seed,regime,step,time,action_index,action_family,action_key,thrust_x,thrust_y,expected_safe_time,expected_terminal_margin,expected_score,expected_delta_v,signature_baseline_action_key,signature_baseline_score,best_pre_guard_action_key,best_pre_guard_score,signature_advantage_threshold,fallback_guard_applied,candidate_scores
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,0,0,0,signature_policy,0:0,0,0,8,0.498937,8.002495,1.445484,0:0,8.002495,0:0,8.002495,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.498937,""expected_score"":8.002495,""expected_delta_v"":1.445484},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.606719,""expected_terminal_margin"":0,""expected_score"":2.606719,""expected_delta_v"":1.042688},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.146914,""expected_terminal_margin"":0,""expected_score"":3.146914,""expected_delta_v"":1.258766},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.125937,""expected_terminal_margin"":0,""expected_score"":2.125937,""expected_delta_v"":0.850375},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.104512,""expected_terminal_margin"":0,""expected_score"":5.104512,""expected_delta_v"":2.041805},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.146055,""expected_terminal_margin"":0,""expected_score"":2.146055,""expected_delta_v"":0.858422},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":6.967969,""expected_terminal_margin"":0,""expected_score"":6.967969,""expected_delta_v"":2.787187},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.394844,""expected_terminal_margin"":0,""expected_score"":2.394844,""expected_delta_v"":0.957938},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.036172,""expected_terminal_margin"":0,""expected_score"":5.036172,""expected_delta_v"":2.014469}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,1,0.01,0,signature_policy,0:0,0,0,8,0.498807,8.002494,1.423406,0:0,8.002494,0:0,8.002494,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.498807,""expected_score"":8.002494,""expected_delta_v"":1.423406},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.500898,""expected_terminal_margin"":0,""expected_score"":2.500898,""expected_delta_v"":1.000359},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.225996,""expected_terminal_margin"":0,""expected_score"":3.225996,""expected_delta_v"":1.290398},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.109824,""expected_terminal_margin"":0,""expected_score"":2.109824,""expected_delta_v"":0.84393},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.619395,""expected_terminal_margin"":0,""expected_score"":5.619395,""expected_delta_v"":2.247758},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.108555,""expected_terminal_margin"":0,""expected_score"":2.108555,""expected_delta_v"":0.843422},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.37252,""expected_terminal_margin"":0,""expected_score"":7.37252,""expected_delta_v"":2.949008},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.399785,""expected_terminal_margin"":0,""expected_score"":2.399785,""expected_delta_v"":0.959914},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.227754,""expected_terminal_margin"":0,""expected_score"":5.227754,""expected_delta_v"":2.091102}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,2,0.02,0,signature_policy,0:0,0,0,8,0.499669,8.002498,1.54,0:0,8.002498,0:0,8.002498,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499669,""expected_score"":8.002498,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.43,""expected_terminal_margin"":0,""expected_score"":2.43,""expected_delta_v"":0.972},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.04,""expected_terminal_margin"":0,""expected_score"":3.04,""expected_delta_v"":1.216},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.05,""expected_terminal_margin"":0,""expected_score"":2.05,""expected_delta_v"":0.82},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.72,""expected_terminal_margin"":0,""expected_score"":5.72,""expected_delta_v"":2.288},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.06,""expected_terminal_margin"":0,""expected_score"":2.06,""expected_delta_v"":0.824},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.4,""expected_terminal_margin"":0,""expected_score"":7.4,""expected_delta_v"":2.96},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.31,""expected_terminal_margin"":0,""expected_score"":2.31,""expected_delta_v"":0.924},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.12,""expected_terminal_margin"":0,""expected_score"":5.12,""expected_delta_v"":2.048}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,3,0.03,0,signature_policy,0:0,0,0,8,0.499693,8.002498,1.54,0:0,8.002498,0:0,8.002498,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499693,""expected_score"":8.002498,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.43,""expected_terminal_margin"":0,""expected_score"":2.43,""expected_delta_v"":0.972},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.03,""expected_terminal_margin"":0,""expected_score"":3.03,""expected_delta_v"":1.212},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.04,""expected_terminal_margin"":0,""expected_score"":2.04,""expected_delta_v"":0.816},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.72,""expected_terminal_margin"":0,""expected_score"":5.72,""expected_delta_v"":2.288},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.05,""expected_terminal_margin"":0,""expected_score"":2.05,""expected_delta_v"":0.82},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.4,""expected_terminal_margin"":0,""expected_score"":7.4,""expected_delta_v"":2.96},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.3,""expected_terminal_margin"":0,""expected_score"":2.3,""expected_delta_v"":0.92},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.12,""expected_terminal_margin"":0,""expected_score"":5.12,""expected_delta_v"":2.048}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,4,0.04,0,signature_policy,0:0,0,0,8,0.499718,8.002499,1.54,0:0,8.002499,0:0,8.002499,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499718,""expected_score"":8.002499,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.42,""expected_terminal_margin"":0,""expected_score"":2.42,""expected_delta_v"":0.968},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.03,""expected_terminal_margin"":0,""expected_score"":3.03,""expected_delta_v"":1.212},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.04,""expected_terminal_margin"":0,""expected_score"":2.04,""expected_delta_v"":0.816},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.72,""expected_terminal_margin"":0,""expected_score"":5.72,""expected_delta_v"":2.288},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.05,""expected_terminal_margin"":0,""expected_score"":2.05,""expected_delta_v"":0.82},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.4,""expected_terminal_margin"":0,""expected_score"":7.4,""expected_delta_v"":2.96},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.29,""expected_terminal_margin"":0,""expected_score"":2.29,""expected_delta_v"":0.916},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.11,""expected_terminal_margin"":0,""expected_score"":5.11,""expected_delta_v"":2.044}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,5,0.05,0,signature_policy,0:0,0,0,8,0.499745,8.002499,1.54,0:0,8.002499,0:0,8.002499,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499745,""expected_score"":8.002499,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.42,""expected_terminal_margin"":0,""expected_score"":2.42,""expected_delta_v"":0.968},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.02,""expected_terminal_margin"":0,""expected_score"":3.02,""expected_delta_v"":1.208},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.03,""expected_terminal_margin"":0,""expected_score"":2.03,""expected_delta_v"":0.812},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.72,""expected_terminal_margin"":0,""expected_score"":5.72,""expected_delta_v"":2.288},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.04,""expected_terminal_margin"":0,""expected_score"":2.04,""expected_delta_v"":0.816},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.4,""expected_terminal_margin"":0,""expected_score"":7.4,""expected_delta_v"":2.96},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.29,""expected_terminal_margin"":0,""expected_score"":2.29,""expected_delta_v"":0.916},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.1,""expected_terminal_margin"":0,""expected_score"":5.1,""expected_delta_v"":2.04}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,6,0.06,0,signature_policy,0:0,0,0,8,0.499774,8.002499,1.54,0:0,8.002499,0:0,8.002499,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499774,""expected_score"":8.002499,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.41,""expected_terminal_margin"":0,""expected_score"":2.41,""expected_delta_v"":0.964},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3.01,""expected_terminal_margin"":0,""expected_score"":3.01,""expected_delta_v"":1.204},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.03,""expected_terminal_margin"":0,""expected_score"":2.03,""expected_delta_v"":0.812},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.71,""expected_terminal_margin"":0,""expected_score"":5.71,""expected_delta_v"":2.284},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.04,""expected_terminal_margin"":0,""expected_score"":2.04,""expected_delta_v"":0.816},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.4,""expected_terminal_margin"":0,""expected_score"":7.4,""expected_delta_v"":2.96},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.28,""expected_terminal_margin"":0,""expected_score"":2.28,""expected_delta_v"":0.912},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.1,""expected_terminal_margin"":0,""expected_score"":5.1,""expected_delta_v"":2.04}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,7,0.07,0,signature_policy,0:0,0,0,8,0.499805,8.002499,1.54,0:0,8.002499,0:0,8.002499,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499805,""expected_score"":8.002499,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.41,""expected_terminal_margin"":0,""expected_score"":2.41,""expected_delta_v"":0.964},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":3,""expected_terminal_margin"":0,""expected_score"":3,""expected_delta_v"":1.2},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.02,""expected_terminal_margin"":0,""expected_score"":2.02,""expected_delta_v"":0.808},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.71,""expected_terminal_margin"":0,""expected_score"":5.71,""expected_delta_v"":2.284},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.04,""expected_terminal_margin"":0,""expected_score"":2.04,""expected_delta_v"":0.816},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.39,""expected_terminal_margin"":0,""expected_score"":7.39,""expected_delta_v"":2.956},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.28,""expected_terminal_margin"":0,""expected_score"":2.28,""expected_delta_v"":0.912},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.09,""expected_terminal_margin"":0,""expected_score"":5.09,""expected_delta_v"":2.036}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,8,0.08,0,signature_policy,0:0,0,0,8,0.499836,8.002499,1.54,0:0,8.002499,0:0,8.002499,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499836,""expected_score"":8.002499,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.41,""expected_terminal_margin"":0,""expected_score"":2.41,""expected_delta_v"":0.964},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":2.99,""expected_terminal_margin"":0,""expected_score"":2.99,""expected_delta_v"":1.196},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.02,""expected_terminal_margin"":0,""expected_score"":2.02,""expected_delta_v"":0.808},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.71,""expected_terminal_margin"":0,""expected_score"":5.71,""expected_delta_v"":2.284},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.03,""expected_terminal_margin"":0,""expected_score"":2.03,""expected_delta_v"":0.812},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.39,""expected_terminal_margin"":0,""expected_score"":7.39,""expected_delta_v"":2.956},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.27,""expected_terminal_margin"":0,""expected_score"":2.27,""expected_delta_v"":0.908},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.08,""expected_terminal_margin"":0,""expected_score"":5.08,""expected_delta_v"":2.032}]"
mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_005,mu_1__dt_0p01__r_1p075__v_1p15__thrust_0p4__noise_0p01__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,5,near_escape,9,0.09,0,signature_policy,0:0,0,0,8,0.499869,8.002499,1.54,0:0,8.002499,0:0,8.002499,0.01,false,"[{""index"":0,""kind"":""signature_policy"",""action_key"":""0:0"",""expected_safe_time"":8,""expected_terminal_margin"":0.499869,""expected_score"":8.002499,""expected_delta_v"":1.54},{""index"":1,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.4:0"",""expected_safe_time"":2.4,""expected_terminal_margin"":0,""expected_score"":2.4,""expected_delta_v"":0.96},{""index"":2,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.4:0"",""expected_safe_time"":2.98,""expected_terminal_margin"":0,""expected_score"":2.98,""expected_delta_v"":1.192},{""index"":3,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:0.4"",""expected_safe_time"":2.01,""expected_terminal_margin"":0,""expected_score"":2.01,""expected_delta_v"":0.804},{""index"":4,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0:-0.4"",""expected_safe_time"":5.71,""expected_terminal_margin"":0,""expected_score"":5.71,""expected_delta_v"":2.284},{""index"":5,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":2.03,""expected_terminal_margin"":0,""expected_score"":2.03,""expected_delta_v"":0.812},{""index"":6,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":7.39,""expected_terminal_margin"":0,""expected_score"":7.39,""expected_delta_v"":2.956},{""index"":7,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":2.26,""expected_terminal_margin"":0,""expected_score"":2.26,""expected_delta_v"":0.904},{""index"":8,""kind"":""lattice_first_step_then_signature_policy"",""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":5.08,""expected_terminal_margin"":0,""expected_score"":5.08,""expected_delta_v"":2.032}]"
