trial_id,case_id,seed,regime,step,time,action_index,action_key,thrust_x,thrust_y,expected_safe_time,expected_terminal_margin,expected_score,expected_delta_v,candidate_scores
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,0,0,2,-0.4:0,-0.4,0,0.16,0.581273,0.162906,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.58001,""expected_score"":0.1629,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578747,""expected_score"":0.162894,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.581273,""expected_score"":0.162906,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579761,""expected_score"":0.162899,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580255,""expected_score"":0.162901,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578942,""expected_score"":0.162895,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.57929,""expected_score"":0.162896,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580727,""expected_score"":0.162904,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.581077,""expected_score"":0.162905,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,1,0.01,2,-0.4:0,-0.4,0,0.16,0.580819,0.162904,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579558,""expected_score"":0.162898,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578298,""expected_score"":0.162891,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580819,""expected_score"":0.162904,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579298,""expected_score"":0.162896,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579815,""expected_score"":0.162899,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578484,""expected_score"":0.162892,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578848,""expected_score"":0.162894,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580266,""expected_score"":0.162901,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580632,""expected_score"":0.162903,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,2,0.02,2,-0.4:0,-0.4,0,0.16,0.580526,0.162903,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579268,""expected_score"":0.162896,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.57801,""expected_score"":0.16289,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580526,""expected_score"":0.162903,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578997,""expected_score"":0.162895,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579535,""expected_score"":0.162898,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578187,""expected_score"":0.162891,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578567,""expected_score"":0.162893,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579966,""expected_score"":0.1629,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580347,""expected_score"":0.162902,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,3,0.03,2,-0.4:0,-0.4,0,0.16,0.58038,0.162902,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579124,""expected_score"":0.162896,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577869,""expected_score"":0.162889,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.58038,""expected_score"":0.162902,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578843,""expected_score"":0.162894,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579402,""expected_score"":0.162897,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578038,""expected_score"":0.16289,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578433,""expected_score"":0.162892,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579813,""expected_score"":0.162899,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.580209,""expected_score"":0.162901,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,4,0.04,2,-0.4:0,-0.4,0,0.16,0.579938,0.1629,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578685,""expected_score"":0.162893,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577432,""expected_score"":0.162887,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579938,""expected_score"":0.1629,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578393,""expected_score"":0.162892,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578974,""expected_score"":0.162895,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577593,""expected_score"":0.162888,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578003,""expected_score"":0.16289,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579365,""expected_score"":0.162897,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579776,""expected_score"":0.162899,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,5,0.05,2,-0.4:0,-0.4,0,0.16,0.579277,0.162896,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578027,""expected_score"":0.16289,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576777,""expected_score"":0.162884,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579277,""expected_score"":0.162896,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577724,""expected_score"":0.162889,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578327,""expected_score"":0.162892,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.57693,""expected_score"":0.162885,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577355,""expected_score"":0.162887,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578697,""expected_score"":0.162893,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.579124,""expected_score"":0.162896,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,6,0.06,2,-0.4:0,-0.4,0,0.16,0.578598,0.162893,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577351,""expected_score"":0.162887,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576103,""expected_score"":0.162881,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578598,""expected_score"":0.162893,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577037,""expected_score"":0.162885,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577661,""expected_score"":0.162888,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576247,""expected_score"":0.162881,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576688,""expected_score"":0.162883,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.57801,""expected_score"":0.16289,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.578453,""expected_score"":0.162892,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,7,0.07,2,-0.4:0,-0.4,0,0.16,0.577922,0.16289,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576678,""expected_score"":0.162883,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575433,""expected_score"":0.162877,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577922,""expected_score"":0.16289,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576353,""expected_score"":0.162882,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576999,""expected_score"":0.162885,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575569,""expected_score"":0.162878,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576025,""expected_score"":0.16288,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577328,""expected_score"":0.162887,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577785,""expected_score"":0.162889,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,8,0.08,2,-0.4:0,-0.4,0,0.16,0.57725,0.162886,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576008,""expected_score"":0.16288,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.574767,""expected_score"":0.162874,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.57725,""expected_score"":0.162886,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575673,""expected_score"":0.162878,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.57634,""expected_score"":0.162882,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.574894,""expected_score"":0.162874,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575365,""expected_score"":0.162877,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576649,""expected_score"":0.162883,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.577122,""expected_score"":0.162886,""expected_delta_v"":0.064}]"
mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35__near_escape__bayes_floor_particle_mpc__seed_000,mu_1__dt_0p01__r_1p075__v_1p1__thrust_0p4__noise_0__gq_0p75__gminr_1p15__gaccel_2p5__gtidal_35,0,near_escape,9,0.09,2,-0.4:0,-0.4,0,0.16,0.576581,0.162883,0.064,"[{""index"":0,""action_key"":""0:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575342,""expected_score"":0.162877,""expected_delta_v"":0},{""index"":1,""action_key"":""0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.574104,""expected_score"":0.162871,""expected_delta_v"":0.064},{""index"":2,""action_key"":""-0.4:0"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576581,""expected_score"":0.162883,""expected_delta_v"":0.064},{""index"":3,""action_key"":""0:0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.574996,""expected_score"":0.162875,""expected_delta_v"":0.064},{""index"":4,""action_key"":""0:-0.4"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575685,""expected_score"":0.162878,""expected_delta_v"":0.064},{""index"":5,""action_key"":""0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.574223,""expected_score"":0.162871,""expected_delta_v"":0.064},{""index"":6,""action_key"":""0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.574709,""expected_score"":0.162874,""expected_delta_v"":0.064},{""index"":7,""action_key"":""-0.28284271:0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.575973,""expected_score"":0.16288,""expected_delta_v"":0.064},{""index"":8,""action_key"":""-0.28284271:-0.28284271"",""expected_safe_time"":0.16,""expected_terminal_margin"":0.576461,""expected_score"":0.162882,""expected_delta_v"":0.064}]"
