phase,policyLabel,trialId,controllerFamily,sensorTier,cellId,axis,severity,seed,configHash,terminalOutcome,steps,regimeRetention,terminalAlignment,terminalDistance,pathEfficiency,timeToSuccess,saturationCount,failurePattern
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10000,json_policy,local-probe-field,nominal,nominal,nominal,10000,713916ce,timeout,200,0.09,0.90398866,0.67396076,0.89962327,200,114,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10001,json_policy,local-probe-field,nominal,nominal,nominal,10001,1f6b55c0,timeout,200,0,0.33305263,2.22430808,0.91671006,200,67,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10002,json_policy,local-probe-field,nominal,nominal,nominal,10002,0f6b4316,timeout,200,0,0.02518641,4.07020006,0.97791752,200,17,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10003,json_policy,local-probe-field,nominal,nominal,nominal,10003,0a458484,timeout,200,0.125,0.91506737,0.63198823,0.97735694,200,97,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10004,json_policy,local-probe-field,nominal,nominal,nominal,10004,4936c726,timeout,200,0,0.08650566,3.31872785,0.99811546,200,39,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10005,json_policy,local-probe-field,nominal,nominal,nominal,10005,fc3d4548,timeout,200,0.095,0.81922209,0.94725934,0.90128613,200,34,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10006,json_policy,local-probe-field,nominal,nominal,nominal,10006,297bfe0e,timeout,200,0.075,0.21681212,2.62283405,0.69053064,200,88,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10007,json_policy,local-probe-field,nominal,nominal,nominal,10007,d2d86724,timeout,200,0,0.69452114,1.28077987,0.99302263,200,3,oscillation
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10008,json_policy,local-probe-field,nominal,nominal,nominal,10008,a4f172ee,timeout,200,0,0.00257117,5.18027812,0.96034132,200,39,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10009,json_policy,local-probe-field,nominal,nominal,nominal,10009,b091b640,timeout,200,0.08,0.00446866,4.93436907,0.62130253,200,79,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10010,json_policy,local-probe-field,nominal,nominal,nominal,10010,3a52d8c4,timeout,200,0,0.15168245,2.91321943,0.7690577,200,30,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10011,json_policy,local-probe-field,nominal,nominal,nominal,10011,6cb12c36,timeout,200,0.09,0.91296909,0.64010909,0.96270838,200,127,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10012,json_policy,local-probe-field,nominal,nominal,nominal,10012,620564e4,timeout,200,0,0.0063368,4.77244324,0.88466582,200,74,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10013,json_policy,local-probe-field,nominal,nominal,nominal,10013,c9a5c01a,timeout,200,0,0.05849604,3.57415486,0.96348663,200,2,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10014,json_policy,local-probe-field,nominal,nominal,nominal,10014,761d5964,timeout,200,0,0.35039316,2.1723599,0.98735451,200,0,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10015,json_policy,local-probe-field,nominal,nominal,nominal,10015,ff761bae,timeout,200,0.01,0.74067621,1.1622662,0.95994686,200,91,oscillation
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10016,json_policy,local-probe-field,nominal,nominal,nominal,10016,87149324,timeout,200,0,0.30141148,2.3230917,0.99360219,200,37,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10017,json_policy,local-probe-field,nominal,nominal,nominal,10017,4550252a,timeout,200,0.09,0.00792786,4.66563738,0.63579163,200,77,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10018,json_policy,local-probe-field,nominal,nominal,nominal,10018,e776c904,timeout,200,0,0.041383,3.78576059,0.96591998,200,104,false-basin-capture
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10019,json_policy,local-probe-field,nominal,nominal,nominal,10019,74f50aa6,timeout,200,0.1,0.51490784,1.72828038,0.97857477,200,76,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10020,json_policy,local-probe-field,nominal,nominal,nominal,10020,213503e6,timeout,200,0,0.26090587,2.45889815,0.60811086,200,68,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10021,json_policy,local-probe-field,nominal,nominal,nominal,10021,c205ab60,timeout,200,0,0.46737646,1.85007863,0.67073774,200,30,unclassified
phase3-probe-slate,Phase6-noop_delta-lambda-0.97-scale-1.0,Phase6-noop_delta-lambda-0.97-scale-1.0_local-probe-field_nominal_seed_10022,json_policy,local-probe-field,nominal,nominal,nominal,10022,ed48c8d6,timeout,200,0,0.00157212,5.3897112,0.67586647,200,72,false-basin-capture
