policyLabel,cellId,axis,severity,kind,n,successCount,successRate,meanTerminalAlignment,meanRegimeRetention,meanPathEfficiency,meanSteps,meanSaturationCount,nominalSuccessRate,nominalMeanTerminalAlignment,relativeDegradationSuccess,relativeDegradationTerminalAlignment,lowNominalConfidence,failureSuccess,failureFalseBasinCapture,failureDecoyCapture,failureOOBSaturation,failureWandering,failureOscillation,failureUnclassified
Phase6-scale05-lambda-0.98-scale-0.5,nominal,nominal,nominal,nominal,64,36,0.5625,0.94184586,0.19697207,0.93657782,139.296875,66.703125,,,,,,36,9,0,0,0,19,0
Phase6-scale05-lambda-0.98-scale-0.5,geometric-light,geometric,light,probed,64,33,0.515625,0.93853956,0.23727865,0.9369648,145.734375,67.078125,0.5625,0.94184586,0.08333333,0.00351045,false,33,9,0,0,0,22,0
Phase6-scale05-lambda-0.98-scale-0.5,geometric-medium,geometric,medium,probed,64,35,0.546875,0.93132699,0.17755376,0.9450253,138.609375,62.015625,0.5625,0.94184586,0.02777778,0.01116835,false,35,6,0,0,0,23,0
Phase6-scale05-lambda-0.98-scale-0.5,geometric-heavy,geometric,heavy,probed,64,37,0.578125,0.94991593,0.26124904,0.95312037,135.8125,65.5,0.5625,0.94184586,-0.02777778,-0.00856836,false,37,5,0,0,0,22,0
Phase6-scale05-lambda-0.98-scale-0.5,decoy-light,decoy,light,probed,64,21,0.328125,0.90906274,0.15103082,0.91790219,166.84375,64.09375,0.5625,0.94184586,0.41666667,0.03480731,false,21,9,0,0,0,34,0
Phase6-scale05-lambda-0.98-scale-0.5,decoy-medium,decoy,medium,probed,64,15,0.234375,0.72613805,0.0833898,0.89731723,177.421875,53.1875,0.5625,0.94184586,0.58333333,0.22902666,false,15,7,0,0,3,26,13
Phase6-scale05-lambda-0.98-scale-0.5,decoy-heavy,decoy,heavy,probed,64,1,0.015625,0.49028125,0.01038484,0.88721277,198.5625,46.28125,0.5625,0.94184586,0.97222222,0.47944641,false,1,7,0,0,8,23,25
Phase6-scale05-lambda-0.98-scale-0.5,sensor-noise-light,sensor-noise,light,probed,64,36,0.5625,0.94410734,0.25009411,0.60076918,155.53125,91.234375,0.5625,0.94184586,0,-0.00240111,false,36,8,0,0,0,20,0
Phase6-scale05-lambda-0.98-scale-0.5,sensor-noise-medium,sensor-noise,medium,probed,64,3,0.046875,0.50490998,0.0425543,0.22444793,199.03125,193.984375,0.5625,0.94184586,0.91666667,0.46391442,false,3,3,0,0,4,23,31
Phase6-scale05-lambda-0.98-scale-0.5,sensor-noise-heavy,sensor-noise,heavy,probed,64,0,0,0.20874097,0.005,0.0853696,200,199.640625,0.5625,0.94184586,1,0.77837035,false,0,5,0,0,23,10,26
Phase6-scale05-lambda-0.98-scale-0.5,sensor-delay-light,sensor-delay,light,probed,64,35,0.546875,0.94171125,0.19871577,0.93361824,140.625,67.40625,0.5625,0.94184586,0.02777778,0.00014292,false,35,9,0,0,0,20,0
Phase6-scale05-lambda-0.98-scale-0.5,sensor-delay-medium,sensor-delay,medium,probed,64,35,0.546875,0.94156784,0.19234168,0.92221595,140.484375,68.453125,0.5625,0.94184586,0.02777778,0.00029518,false,35,9,0,0,0,20,0
Phase6-scale05-lambda-0.98-scale-0.5,sensor-delay-heavy,sensor-delay,heavy,probed,64,35,0.546875,0.94069853,0.19961857,0.87515645,142,69.453125,0.5625,0.94184586,0.02777778,0.00121817,false,35,9,0,0,0,20,0
