phase,policyLabel,trialId,controllerFamily,sensorTier,cellId,axis,severity,seed,configHash,terminalOutcome,steps,regimeRetention,terminalAlignment,terminalDistance,pathEfficiency,timeToSuccess,saturationCount,failurePattern
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10000,json_policy,local-probe-field,nominal,nominal,nominal,10000,6d5ece61,timeout,200,0.095,0.78852289,1.03400789,0.98684353,200,118,false-basin-capture
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10001,json_policy,local-probe-field,nominal,nominal,nominal,10001,e0f0a243,timeout,200,0.73,0.98365492,0.27232441,0.90111012,200,51,oscillation
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10002,json_policy,local-probe-field,nominal,nominal,nominal,10002,2b53f609,success,105,0.16190476,0.99976078,0.03281219,0.98679658,105,86,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10003,json_policy,local-probe-field,nominal,nominal,nominal,10003,292815f7,timeout,200,0.1,0.77995499,1.05751398,0.98688245,200,111,false-basin-capture
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10004,json_policy,local-probe-field,nominal,nominal,nominal,10004,236a8d19,timeout,200,0.38,0.98529722,0.25817378,0.84477388,200,53,oscillation
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10005,json_policy,local-probe-field,nominal,nominal,nominal,10005,b90ee64b,timeout,200,0.1,0.8013346,0.99832116,0.93369385,200,41,false-basin-capture
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10006,json_policy,local-probe-field,nominal,nominal,nominal,10006,845a2ba1,success,84,0.19047619,0.99695083,0.11722731,0.99026814,84,74,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10007,json_policy,local-probe-field,nominal,nominal,nominal,10007,adb197d7,timeout,200,0,0.87235581,0.78390725,0.96281841,200,16,oscillation
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10008,json_policy,local-probe-field,nominal,nominal,nominal,10008,b29a9d41,success,120,0.15,0.99954338,0.04533498,0.78704592,120,99,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10009,json_policy,local-probe-field,nominal,nominal,nominal,10009,9daea7c3,success,88,0.18181818,0.99995093,0.01486035,0.98726557,88,76,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10010,json_policy,local-probe-field,nominal,nominal,nominal,10010,cdcf0d37,success,56,0.42857143,0.99419844,0.16181182,0.92833632,56,20,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10011,json_policy,local-probe-field,nominal,nominal,nominal,10011,a128a769,timeout,200,0.065,0.76094025,1.10878402,0.99784008,200,139,false-basin-capture
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10012,json_policy,local-probe-field,nominal,nominal,nominal,10012,8c222997,success,92,0.19565217,0.99905164,0.0653426,0.84787975,92,76,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10013,json_policy,local-probe-field,nominal,nominal,nominal,10013,86e0d36d,success,96,0.20833333,0.99674617,0.12110369,0.91457207,96,63,success
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10014,json_policy,local-probe-field,nominal,nominal,nominal,10014,205c8b17,timeout,200,0,0.80613636,0.98476426,0.93245676,200,10,oscillation
phase3-probe-slate,Phase6-scale05-lambda-0.98-scale-0.5,Phase6-scale05-lambda-0.98-scale-0.5_local-probe-field_nominal_seed_10015,json_policy,local-probe-field,nominal,nominal,nominal,10015,3b5a0301,timeout,200,0.12,0.91167256,0.64508506,0.97949539,200,89,oscillation
