seed,terminalOutcome,steps,terminalAlignment,terminalDistance,pathEfficiency,saturationCount
10000,timeout,200,0.695912015065996,1.2772604229296047,0.9252697479634766,109
10001,timeout,200,0.953493699382091,0.4629266446383915,0.9541021334457428,48
10002,success,109,0.9960745360026078,0.13303890348732308,0.9811382347763856,81
10003,timeout,200,0.713538039449366,1.2324114099009413,0.9817019990767504,108
10004,timeout,200,0.5567585948335038,1.6233625317666116,0.6217563116406516,14
10005,timeout,200,0.7818999791229275,1.0522015146750558,0.905473097340664,31
10006,timeout,200,0.9675348175137172,0.3853795588007681,0.9486574269392244,69
10007,timeout,200,0.858871776364486,0.8274118535079124,0.9787376927808848,4
10008,success,134,0.9952530280182347,0.14632920372800767,0.7100165111012953,91
10009,success,88,0.9971661666445978,0.11300598738116896,0.9838804583558464,74
10010,timeout,200,0.9894937972586397,0.21800922306608733,0.9671210494629313,13
10011,timeout,200,0.7529887836136061,1.1298992260449165,0.974145827111412,134
10012,success,100,0.9951831774583112,0.14740445613169992,0.8174939770798698,75
10013,timeout,200,0.9545177047171547,0.4576799021999351,0.854714627969908,48
10014,timeout,200,0.8889542997009803,0.7277997873047396,0.9707628838288535,0
10015,timeout,200,0.7126355545815861,1.2347198459601325,0.9756770603043396,92
10016,timeout,200,0.9695504764126652,0.37303127985958623,0.9404525899828201,61
10017,success,74,0.9973956976427893,0.10832657814972597,0.9854951242439219,60
10018,success,141,0.9918924853924884,0.19139622917655602,0.8269581554150149,80
10019,timeout,200,0.9458873238855574,0.5003430946400818,0.9340126875258847,57
10020,timeout,200,0.759767101773228,1.111910526820335,0.8384277501091569,77
10021,timeout,200,0.90989155370324,0.6518698968916127,0.9937848940600738,30
10022,success,91,0.9956780466625228,0.1396099562727311,0.9393777437217168,47
10023,success,171,0.9944692885512472,0.15797873614421473,0.6911119964905665,73
10024,success,84,0.9969206894972253,0.11780609494531578,0.992855925317895,63
10025,success,142,0.9990955280459132,0.06381195468276998,0.9377911368376183,57
10026,timeout,200,0.9522936149475361,0.4690079179057341,0.9563800013922215,17
10027,success,88,0.9984358232930418,0.0839303633274323,0.8544421223927396,61
10028,timeout,200,0.7044083123588625,1.2557017791378937,0.9357697032373355,23
10029,timeout,200,0.8032959298074182,0.9927962842136776,0.9843384327984785,65
10030,timeout,200,0.8362922098557528,0.8969377745549784,0.9703483242504082,95
10031,timeout,200,0.7739309291320676,1.0738840333101651,0.936353711243605,87
10032,timeout,200,0.921509762984808,0.6064969766456261,0.9815658031175462,69
10033,timeout,200,0.9263034090181641,0.5869331232283583,0.942979214269551,49
10034,timeout,200,0.9755750466126183,0.33358185952468944,0.9743842617780031,43
10035,timeout,200,0.9556818648905735,0.4516479755410014,0.9808580996160757,99
10036,success,70,0.9989852172733447,0.06759320123069766,0.99829434765643,52
10037,success,112,0.9942532056431357,0.16104399469735423,0.9334416523287447,67
10038,timeout,200,0.744068043122383,1.1533874311546324,0.8756095265202228,0
10039,success,121,0.9967745083925931,0.12057433903072844,0.972158431454118,93
10040,success,120,0.995860779629671,0.13662045217125518,0.9649187751711096,86
10041,timeout,200,0.7186563367343194,1.2192924352342098,0.9166276799298652,65
10042,success,105,0.9923823326326777,0.1855013071584788,0.9011385125674093,64
10043,success,124,0.9994681934943528,0.048926126374037274,0.9185741347483917,70
10044,timeout,200,0.9353484269134456,0.5484184214818753,0.9805700113570274,11
10045,success,46,0.9957114615495627,0.13906805072619075,0.9942226946014201,33
10046,success,69,0.9973270978039598,0.10974590424253483,0.9508431774443686,35
10047,success,97,0.9995758471272926,0.04369316685037357,0.9911330949486554,80
10048,success,91,0.9976052153436132,0.1038723029850275,0.908663109051788,64
10049,timeout,200,0.5759624709325964,1.5756609685078653,0.6659884236238935,53
10050,timeout,200,0.7568440325519928,1.119683598947719,0.864538683903496,127
10051,success,103,0.9968563245595666,0.1190328620946802,0.9945237227852606,84
10052,timeout,200,0.9820954618083249,0.2851323145618356,0.6839083239138338,68
10053,timeout,200,0.9640922301791187,0.40565677018626556,0.9851119480618055,44
10054,timeout,200,0.9711198812863612,0.3631447436834165,0.7425191917812033,60
10055,timeout,200,0.7647640429827844,1.098565291529581,0.9136280311828017,75
10056,success,102,0.9946807831183276,0.15492050954910447,0.9818298325158785,44
10057,timeout,200,0.9739592649824244,0.34458104092319203,0.9936688502544657,102
10058,success,96,0.9973271983904877,0.1097438364809439,0.8811568107033889,68
10059,timeout,200,0.8263122051675695,0.9265644717589693,0.9855220085518331,27
10060,timeout,200,0.9827363038362895,0.279937548500871,0.8330480093624748,68
10061,timeout,200,0.7596687289433686,1.1121725165774572,0.6702693620688789,45
10062,success,48,0.9925226648794898,0.18377822882242836,0.9081396405748813,12
10063,timeout,200,0.7838361956422946,1.04689945346272,0.9379771123375871,68
