hDeg,l1Eligible,routeStatus,activeCza,activeTangent,activeSupralateral
0,false,abstain,true,true,false
0.25,false,abstain,true,true,false
0.5,false,abstain,true,true,false
0.75,false,abstain,true,true,false
1,false,abstain,true,true,false
1.25,false,abstain,true,true,false
1.5,false,abstain,true,true,false
1.75,false,abstain,true,true,false
2,false,abstain,true,true,false
2.25,false,abstain,true,true,false
2.5,false,abstain,true,true,false
2.75,false,abstain,true,true,false
3,false,abstain,true,true,false
3.25,false,abstain,true,true,false
3.5,false,abstain,true,true,false
3.75,false,abstain,true,true,false
4,false,abstain,true,true,false
4.25,false,abstain,true,true,false
4.5,false,abstain,true,true,false
4.75,false,abstain,true,true,false
5,false,abstain,true,true,false
5.25,false,abstain,true,true,false
5.5,false,abstain,true,true,false
5.75,false,abstain,true,true,false
6,false,abstain,true,true,false
6.25,false,abstain,true,true,false
6.5,false,abstain,true,true,false
6.75,false,abstain,true,true,false
7,false,abstain,true,true,false
7.25,false,abstain,true,true,false
7.5,false,abstain,true,true,false
7.75,false,abstain,true,true,false
8,false,abstain,true,true,false
8.25,false,abstain,true,true,false
8.5,false,abstain,true,true,false
8.75,false,abstain,true,true,false
9,false,abstain,true,true,false
9.25,false,abstain,true,true,false
9.5,false,abstain,true,true,false
9.75,false,abstain,true,true,false
10,false,abstain,true,true,false
10.25,false,abstain,true,true,false
10.5,false,abstain,true,true,false
10.75,false,abstain,true,true,false
11,false,abstain,true,true,false
11.25,false,abstain,true,true,false
11.5,true,ok,true,true,false
11.75,true,ok,true,true,false
12,true,ok,true,true,false
12.25,true,ok,true,true,false
12.5,true,ok,true,true,false
12.75,true,ok,true,true,false
13,true,ok,true,true,false
13.25,true,ok,true,true,false
13.5,true,ok,true,true,false
13.75,true,ok,true,true,false
14,true,ok,true,true,false
14.25,true,ok,true,true,false
14.5,true,ok,true,true,false
14.75,true,ok,true,true,false
15,true,ok,true,true,false
15.25,true,ok,true,true,false
15.5,true,ok,true,true,false
15.75,true,ok,true,true,false
16,true,ok,true,true,false
16.25,true,ok,true,true,false
16.5,true,ok,true,true,false
16.75,true,ok,true,true,false
17,true,ok,true,true,false
17.25,true,ok,true,true,false
17.5,true,ok,true,true,false
17.75,true,ok,true,true,false
18,true,ok,true,true,false
18.25,true,ok,true,true,false
18.5,true,ok,true,true,false
18.75,true,ok,true,true,false
19,true,ok,true,true,false
19.25,true,ok,true,true,false
19.5,true,ok,true,true,false
19.75,true,ok,true,true,false
20,true,ok,true,true,false
20.25,true,ok,true,true,false
20.5,true,ok,true,true,false
20.75,true,ok,true,true,false
21,true,ok,true,true,false
21.25,true,ok,true,true,false
21.5,true,ok,true,true,false
21.75,true,ok,true,true,false
22,true,ok,true,true,false
22.25,true,ok,true,true,false
22.5,true,ok,true,true,false
22.75,true,ok,true,true,false
23,true,ok,true,true,false
23.25,true,ok,true,true,false
23.5,true,ok,true,true,false
23.75,true,ok,true,true,false
24,true,ok,true,true,false
24.25,true,ok,true,true,false
24.5,true,ok,true,true,false
24.75,true,ok,true,true,false
25,true,ok,true,true,false
25.25,true,ok,true,true,false
25.5,true,ok,true,true,false
25.75,true,ok,true,true,false
26,true,ok,true,true,false
26.25,true,ok,true,true,false
26.5,true,ok,true,true,false
26.75,true,ok,true,true,false
27,true,ok,true,true,false
27.25,true,ok,true,true,false
27.5,true,ok,true,true,false
27.75,true,ok,true,true,false
28,true,ok,true,true,false
28.25,true,ok,true,true,false
28.5,true,ok,true,true,false
28.75,true,ok,true,true,false
29,true,ok,true,false,false
29.25,true,ok,true,false,false
29.5,true,ok,true,false,false
29.75,true,ok,true,false,false
30,true,ok,true,false,false
30.25,true,ok,true,false,false
30.5,true,ok,true,false,false
30.75,true,ok,true,false,false
31,true,ok,true,false,false
31.25,true,ok,true,false,false
31.5,true,ok,true,false,false
31.75,true,ok,true,false,false
32,true,ok,true,false,false
32.25,true,ok,false,false,false
32.5,true,ok,false,false,false
32.75,true,ok,false,false,false
33,true,ok,false,false,false
33.25,true,ok,false,false,false
33.5,true,ok,false,false,false
33.75,true,ok,false,false,false
34,true,ok,false,false,false
34.25,true,ok,false,false,false
34.5,true,ok,false,false,false
34.75,true,ok,false,false,false
35,true,ok,false,false,false
35.25,true,ok,false,false,false
35.5,true,ok,false,false,false
35.75,true,ok,false,false,false
36,true,ok,false,false,false
36.25,true,ok,false,false,false
36.5,true,ok,false,false,false
36.75,true,ok,false,false,false
37,true,ok,false,false,false
37.25,true,ok,false,false,false
37.5,true,ok,false,false,false
37.75,true,ok,false,false,false
38,true,ok,false,false,false
38.25,true,ok,false,false,false
38.5,true,ok,false,false,false
38.75,true,ok,false,false,false
39,true,ok,false,false,false
39.25,true,ok,false,false,false
39.5,true,ok,false,false,false
39.75,true,ok,false,false,false
40,true,ok,false,false,false
