hDeg,hPrimeDeg,routeBaseQHatDeg,routeHandleEditQHatDeg,routeHandleEditAbsErrorToHPrimeDeg,pass
12,32,12,32,0,true
13,33,13,33,0,true
14,34,14,34,0,true
15,35,15,35,0,true
16,36,16,36,0,true
17,37,17,37,0,true
18,38,18,38,0,true
19,39,19,39,0,true
20,40,20,40,0,true
21,41,21,41,0,true
22,42,22,42,0,true
23,43,23,43,0,true
24,44,24,44,0,true
25,45,25,45,0,true
26,46,26,46,0,true
27,47,27,47,0,true
28,48,28,48,0,true
29,49,29,49,0,true
30,50,30,50,0,true
31,51,31,51,0,true
32,52,32,52,0,true
33,53,33,53,0,true
34,54,34,54,0,true
35,55,35,55,0,true
36,56,36,56,0,true
37,57,37,57,0,true
38,58,38,58,0,true
39,59,39,59,0,true
40,60,40,60,0,true
41,61,41,61,0,true
42,62,42,62,0,true
43,63,43,63,0,true
44,64,44,64,0,true
45,65,45,65,0,true
46,66,46,66,0,true
47,67,47,67,0,true
48,68,48,68,0,true
49,69,49,69,0,true
50,70,50,70,0,true
51,31,51,31,0,true
52,32,52,32,0,true
53,33,53,33,0,true
54,34,54,34,0,true
55,35,55,35,0,true
56,36,56,36,0,true
57,37,57,37,0,true
58,38,58,38,0,true
59,39,59,39,0,true
60,40,60,40,0,true
61,41,61,41,0,true
62,42,62,42,0,true
63,43,63,43,0,true
64,44,64,44,0,true
65,45,65,45,0,true
66,46,66,46,0,true
67,47,67,47,0,true
68,48,68,48,0,true
69,49,69,49,0,true
70,50,70,50,0,true
