hDeg,decoyAltitudeDeg,routeBaseQHatDeg,routeDecoyQHatDeg,routeDeltaDeg,positiveControlBaseQHatDeg,positiveControlDecoyQHatDeg,positiveControlDeltaDeg
12,0,12,12,0,12,0,12
12,80,12,12,0,12,11.95,0.05
13,0,13,13,0,13,0,13
13,80,13,13,0,13,11.95,1.05
14,0,14,14,0,14,0,14
14,80,14,14,0,14,11.95,2.05
15,0,15,15,0,15,0,15
15,80,15,15,0,15,11.95,3.05
16,0,16,16,0,16,0,16
16,80,16,16,0,16,11.95,4.05
17,0,17,17,0,17,0,17
17,80,17,17,0,17,11.95,5.05
18,0,18,18,0,18,0,18
18,80,18,18,0,18,11.95,6.05
19,0,19,19,0,19,0,19
19,80,19,19,0,19,11.95,7.05
20,0,20,20,0,20,0,20
20,80,20,20,0,20,11.95,8.05
21,0,21,21,0,21,0,21
21,80,21,21,0,21,11.95,9.05
22,0,22,22,0,22,0,22
22,80,22,22,0,22,11.95,10.05
23,0,23,23,0,23,0,23
23,80,23,23,0,23,11.95,11.05
24,0,24,24,0,24,0,24
24,80,24,24,0,24,11.95,12.05
25,0,25,25,0,25,0.05,24.95
25,80,25,25,0,25,11.95,13.05
26,0,26,26,0,26,0.05,25.95
26,80,26,26,0,26,11.95,14.05
27,0,27,27,0,27,0.05,26.95
27,80,27,27,0,27,11.95,15.05
28,0,28,28,0,28,0.15,27.85
28,80,28,28,0,28,11.95,16.05
29,0,29,29,0,29,0,29
29,80,29,29,0,29,61.6,32.6
30,0,30,30,0,30,0,30
30,80,30,30,0,30,61.65,31.65
31,0,31,31,0,31,0,31
31,80,31,31,0,31,61.7,30.7
32,0,32,32,0,31.95,0,31.95
32,80,32,32,0,31.95,61.8,29.85
33,0,33,33,0,33,0,33
33,80,33,33,0,33,61.85,28.85
34,0,34,34,0,34,0,34
34,80,34,34,0,34,61.95,27.95
35,0,35,35,0,35,0,35
35,80,35,35,0,35,62,27
36,0,36,36,0,36,0,36
36,80,36,36,0,36,62.1,26.1
37,0,37,37,0,37,0,37
37,80,37,37,0,37,62.2,25.2
38,0,38,38,0,38,0,38
38,80,38,38,0,38,62.25,24.25
39,0,39,39,0,39,0,39
39,80,39,39,0,39,62.35,23.35
40,0,40,40,0,40,0,40
40,80,40,40,0,40,62.45,22.45
41,0,41,41,0,41,0,41
41,80,41,41,0,41,62.55,21.55
42,0,42,42,0,42,0,42
42,80,42,42,0,42,62.7,20.7
43,0,43,43,0,43,0,43
43,80,43,43,0,43,62.8,19.8
44,0,44,44,0,44,0,44
44,80,44,44,0,44,62.9,18.9
45,0,45,45,0,45,0,45
45,80,45,45,0,45,63.05,18.05
46,0,46,46,0,46,0,46
46,80,46,46,0,46,63.2,17.2
47,0,47,47,0,47,0,47
47,80,47,47,0,47,63.35,16.35
48,0,48,48,0,48,0,48
48,80,48,48,0,48,63.5,15.5
49,0,49,49,0,49,0,49
49,80,49,49,0,49,63.65,14.65
50,0,50,50,0,50,0,50
50,80,50,50,0,50,63.8,13.8
51,0,51,51,0,51,0,51
51,80,51,51,0,51,64,13
52,0,52,52,0,52,0,52
52,80,52,52,0,52,64.2,12.2
53,0,53,53,0,53,0,53
53,80,53,53,0,53,64.4,11.4
54,0,54,54,0,54,0,54
54,80,54,54,0,54,64.65,10.65
55,0,55,55,0,55,0,55
55,80,55,55,0,55,64.85,9.85
56,0,56,56,0,56,0,56
56,80,56,56,0,56,65.1,9.1
57,0,57,57,0,57,0,57
57,80,57,57,0,57,65.4,8.4
58,0,58,58,0,58,0,58
58,80,58,58,0,58,65.7,7.7
59,0,59,59,0,59,0,59
59,80,59,59,0,59,66,7
60,0,60,60,0,60,0,60
60,80,60,60,0,60,66.3,6.3
61,0,61,61,0,61,0,61
61,80,61,61,0,61,66.65,5.65
62,0,62,62,0,62,0,62
62,80,62,62,0,62,67.05,5.05
63,0,63,63,0,63,0,63
63,80,63,63,0,63,67.45,4.45
64,0,64,64,0,64,0,64
64,80,64,64,0,64,67.9,3.9
65,0,65,65,0,65,0,65
65,80,65,65,0,65,68.35,3.35
66,0,66,66,0,66,0,66
66,80,66,66,0,66,68.85,2.85
67,0,67,67,0,67,0,67
67,80,67,67,0,67,69.4,2.4
68,0,68,68,0,68,0,68
68,80,68,68,0,68,70,2
69,0,69,69,0,69,0,69
69,80,69,69,0,69,70.6,1.6
70,0,70,70,0,70,0,70
70,80,70,70,0,70,71.3,1.3
