hDeg,eligible,routeStatus,routeQHatDeg,routeAbsErrorDeg,routeSamples,analyticStatus,analyticQHatDeg,analyticAbsErrorDeg,analyticSamples,positiveControlQHatDeg,fPar,fCza,fTanPresent,dSupDeg,dUnanchRenderedOptional,dUnanchNamedOnly,dStyle,routeActiveCza,routeActiveTangent,routeActiveSupralateral
0,false,abstain,,,0,abstain,,,0,0,220,1,true,46,0,0,0,true,true,false
1,false,abstain,,,0,abstain,,,0,1,220.03351217,1,true,46.022727273,0,0,0.0125,true,true,false
2,false,abstain,,,0,abstain,,,0,2,220.134099746,1,true,46.045454545,0,0,0.025,true,true,false
3,false,abstain,,,0,abstain,,,0,3,220.30191612,1,true,46.068181818,0,0,0.0375,true,true,false
4,false,abstain,,,0,abstain,,,0,4,220.537217578,1,true,46.090909091,0,0,0.05,true,true,false
5,false,abstain,,,0,abstain,,,0,5,220.84036426,1,true,46.113636364,0,0,0.0625,true,true,false
6,false,abstain,,,0,abstain,,,0,6,221.211821504,1,true,46.136363636,0,0,0.075,true,true,false
7,false,abstain,,,0,abstain,,,0,7,221.652161601,1,true,46.159090909,0,0,0.0875,true,true,false
8,false,abstain,,,0,abstain,,,0,8,222.162065954,1,true,46.181818182,0,0,0.1,true,true,false
9,false,abstain,,,0,abstain,,,0,9,222.742327673,1,true,46.204545455,0,0,0.1125,true,true,false
10,false,abstain,,,0,abstain,,,0,10,223.393854615,1,true,46.227272727,0,0,0.125,true,true,false
11,false,abstain,,,0,abstain,,,0,11,224.11767289,1,true,46.25,0,0,0.1375,true,true,false
12,true,ok,12,0,1601,ok,12,0,1,12,224.91493087,1,true,46.272727273,1,0,0.15,true,true,false
13,true,ok,13,0,1601,ok,13,0,1,13,225.786903715,1,true,46.295454545,1,0,0.1625,true,true,false
14,true,ok,14,0,1601,ok,14,0,1,14,226.734998457,1,true,46.318181818,1,0,0.175,true,true,false
15,true,ok,15,0,1601,ok,15,0,1,15,227.76075969,1,true,46.340909091,1,0,0.1875,true,true,false
16,true,ok,16,0,1601,ok,16,0,1,16,228.86587589,1,true,46.363636364,1,0,0.2,true,true,false
17,true,ok,17,0,1601,ok,17,0,1,17,230.052186427,1,true,46.386363636,1,0,0.2125,true,true,false
18,true,ok,18,0,1601,ok,18,0,1,18,231.321689332,1,true,46.409090909,1,0,0.225,true,true,false
19,true,ok,19,0,1601,ok,19,0,1,19,232.676549861,1,true,46.431818182,1,0,0.2375,true,true,false
20,true,ok,20,0,1601,ok,20,0,1,20,234.119109945,1,true,46.454545455,1,0,0.25,true,true,false
21,true,ok,21,0,1601,ok,21,0,1,21,235.6518986,1,true,46.477272727,1,0,0.2625,true,true,false
22,true,ok,22,0,1601,ok,22,0,1,22,237.277643389,1,true,46.5,1,0,0.275,true,true,false
23,true,ok,23,0,1601,ok,23,0,1,23,238.999283029,1,true,46.5,1,0,0.2875,true,true,false
24,true,ok,24,0,1601,ok,24,0,1,24,240.819981271,1,true,46.5,1,0,0.3,true,true,false
25,true,ok,25,0,1601,ok,25,0,1,25,242.743142172,1,true,46.5,1,0,0.3125,true,true,false
26,true,ok,26,0,1601,ok,26,0,1,26,244.772426905,1,true,46.5,1,0,0.325,true,true,false
27,true,ok,27,0,1601,ok,27,0,1,27,246.91177228,1,true,46.5,1,0,0.3375,true,true,false
28,true,ok,28,0,1601,ok,28,0,1,28,249.165411152,1,true,46.5,1,0,0.35,true,true,false
29,true,ok,29,0,1601,ok,29,0,1,29,251.537894932,1,false,46.5,1,0,0.3625,true,false,false
30,true,ok,30,0,1601,ok,30,0,1,30,254.034118443,1,false,46.5,1,1,0.375,true,false,false
31,true,ok,31,0,1601,ok,31,0,1,31,256.659347387,1,false,46.5,1,1,0.3875,true,false,false
32,true,ok,32,0,1601,ok,32,0,1,31.95,259.41924874,1,false,46.5,1,1,0.4,true,false,false
