config_idx,transform_id,max_abs_signature_residual
0,identity,1.110223024625e-16
0,random_0,5.551115123126e-17
0,random_1,1.110223024625e-16
0,random_2,8.326672684689e-17
0,random_3,1.110223024625e-16
0,random_4,5.551115123126e-17
0,random_5,8.326672684689e-17
0,random_6,1.387778780781e-16
0,random_7,1.110223024625e-16
1,identity,1.110223024625e-16
1,random_0,1.387778780781e-16
1,random_1,1.110223024625e-16
1,random_2,1.387778780781e-16
1,random_3,1.110223024625e-16
1,random_4,9.714451465470e-17
1,random_5,1.110223024625e-16
1,random_6,2.220446049250e-16
1,random_7,1.110223024625e-16
2,identity,1.387778780781e-16
2,random_0,1.942890293094e-16
2,random_1,1.665334536938e-16
2,random_2,1.387778780781e-16
2,random_3,1.942890293094e-16
2,random_4,1.942890293094e-16
2,random_5,1.387778780781e-16
2,random_6,1.387778780781e-16
2,random_7,1.110223024625e-16
3,identity,5.551115123126e-17
3,random_0,5.551115123126e-17
3,random_1,1.665334536938e-16
3,random_2,1.110223024625e-16
3,random_3,1.387778780781e-16
3,random_4,1.110223024625e-16
3,random_5,1.110223024625e-16
3,random_6,8.326672684689e-17
3,random_7,5.551115123126e-17
4,identity,1.665334536938e-16
4,random_0,1.665334536938e-16
4,random_1,1.110223024625e-16
4,random_2,1.110223024625e-16
4,random_3,8.326672684689e-17
4,random_4,1.110223024625e-16
4,random_5,8.326672684689e-17
4,random_6,1.387778780781e-16
4,random_7,5.551115123126e-17
5,identity,5.551115123126e-17
5,random_0,1.110223024625e-16
5,random_1,1.110223024625e-16
5,random_2,1.110223024625e-16
5,random_3,1.110223024625e-16
5,random_4,5.551115123126e-17
5,random_5,1.110223024625e-16
5,random_6,1.110223024625e-16
5,random_7,1.110223024625e-16
6,identity,8.326672684689e-17
6,random_0,1.387778780781e-16
6,random_1,1.110223024625e-16
6,random_2,8.326672684689e-17
6,random_3,1.110223024625e-16
6,random_4,8.326672684689e-17
6,random_5,1.387778780781e-16
6,random_6,1.110223024625e-16
6,random_7,1.110223024625e-16
7,identity,1.110223024625e-16
7,random_0,1.110223024625e-16
7,random_1,1.110223024625e-16
7,random_2,1.110223024625e-16
7,random_3,5.551115123126e-17
7,random_4,1.110223024625e-16
7,random_5,5.551115123126e-17
7,random_6,5.551115123126e-17
7,random_7,1.665334536938e-16
8,identity,5.551115123126e-17
8,random_0,1.665334536938e-16
8,random_1,1.110223024625e-16
8,random_2,1.110223024625e-16
8,random_3,5.551115123126e-17
8,random_4,1.665334536938e-16
8,random_5,1.665334536938e-16
8,random_6,1.110223024625e-16
8,random_7,1.110223024625e-16
9,identity,2.220446049250e-16
9,random_0,1.387778780781e-16
9,random_1,1.942890293094e-16
9,random_2,2.498001805407e-16
9,random_3,2.220446049250e-16
9,random_4,1.942890293094e-16
9,random_5,2.220446049250e-16
9,random_6,2.220446049250e-16
9,random_7,1.387778780781e-16
10,identity,1.665334536938e-16
10,random_0,1.665334536938e-16
10,random_1,1.110223024625e-16
10,random_2,1.942890293094e-16
10,random_3,1.110223024625e-16
10,random_4,8.326672684689e-17
10,random_5,2.220446049250e-16
10,random_6,1.110223024625e-16
10,random_7,5.551115123126e-17
11,identity,8.326672684689e-17
11,random_0,1.110223024625e-16
11,random_1,1.110223024625e-16
11,random_2,1.387778780781e-16
11,random_3,1.665334536938e-16
11,random_4,5.551115123126e-17
11,random_5,5.551115123126e-17
11,random_6,1.110223024625e-16
11,random_7,1.110223024625e-16
12,identity,1.110223024625e-16
12,random_0,5.551115123126e-17
12,random_1,1.665334536938e-16
12,random_2,5.551115123126e-17
12,random_3,3.816391647149e-17
12,random_4,1.110223024625e-16
12,random_5,1.110223024625e-16
12,random_6,1.110223024625e-16
12,random_7,1.110223024625e-16
13,identity,8.326672684689e-17
13,random_0,1.110223024625e-16
13,random_1,1.110223024625e-16
13,random_2,1.110223024625e-16
13,random_3,1.110223024625e-16
13,random_4,5.551115123126e-17
13,random_5,5.551115123126e-17
13,random_6,5.551115123126e-17
13,random_7,1.110223024625e-16
14,identity,1.110223024625e-16
14,random_0,1.110223024625e-16
14,random_1,1.110223024625e-16
14,random_2,1.665334536938e-16
14,random_3,1.110223024625e-16
14,random_4,1.665334536938e-16
14,random_5,1.110223024625e-16
14,random_6,5.551115123126e-17
14,random_7,1.110223024625e-16
15,identity,5.551115123126e-17
15,random_0,5.551115123126e-17
15,random_1,1.387778780781e-16
15,random_2,5.551115123126e-17
15,random_3,1.110223024625e-16
15,random_4,1.110223024625e-16
15,random_5,8.326672684689e-17
15,random_6,5.551115123126e-17
15,random_7,5.551115123126e-17
16,identity,1.387778780781e-16
16,random_0,1.665334536938e-16
16,random_1,1.110223024625e-16
16,random_2,8.326672684689e-17
16,random_3,1.110223024625e-16
16,random_4,6.938893903907e-17
16,random_5,5.551115123126e-17
16,random_6,1.110223024625e-16
16,random_7,9.714451465470e-17
17,identity,1.110223024625e-16
17,random_0,1.110223024625e-16
17,random_1,8.326672684689e-17
17,random_2,5.551115123126e-17
17,random_3,1.110223024625e-16
17,random_4,1.665334536938e-16
17,random_5,1.110223024625e-16
17,random_6,1.110223024625e-16
17,random_7,8.326672684689e-17
18,identity,1.387778780781e-16
18,random_0,1.942890293094e-16
18,random_1,1.665334536938e-16
18,random_2,1.110223024625e-16
18,random_3,1.665334536938e-16
18,random_4,5.551115123126e-17
18,random_5,1.110223024625e-16
18,random_6,1.387778780781e-16
18,random_7,1.665334536938e-16
19,identity,1.110223024625e-16
19,random_0,1.387778780781e-16
19,random_1,1.387778780781e-16
19,random_2,8.326672684689e-17
19,random_3,1.110223024625e-16
19,random_4,5.551115123126e-17
19,random_5,1.387778780781e-16
19,random_6,5.551115123126e-17
19,random_7,1.387778780781e-16
20,identity,1.110223024625e-16
20,random_0,1.665334536938e-16
20,random_1,5.551115123126e-17
20,random_2,1.387778780781e-16
20,random_3,1.110223024625e-16
20,random_4,1.110223024625e-16
20,random_5,1.110223024625e-16
20,random_6,1.387778780781e-16
20,random_7,8.326672684689e-17
21,identity,1.387778780781e-16
21,random_0,1.942890293094e-16
21,random_1,1.110223024625e-16
21,random_2,1.942890293094e-16
21,random_3,3.053113317719e-16
21,random_4,8.326672684689e-17
21,random_5,3.053113317719e-16
21,random_6,8.326672684689e-17
21,random_7,1.110223024625e-16
22,identity,1.110223024625e-16
22,random_0,1.387778780781e-16
22,random_1,1.387778780781e-16
22,random_2,1.110223024625e-16
22,random_3,1.110223024625e-16
22,random_4,1.387778780781e-16
22,random_5,6.938893903907e-17
22,random_6,1.387778780781e-16
22,random_7,1.387778780781e-16
23,identity,1.110223024625e-16
23,random_0,1.110223024625e-16
23,random_1,2.775557561563e-16
23,random_2,1.110223024625e-16
23,random_3,1.665334536938e-16
23,random_4,1.665334536938e-16
23,random_5,1.110223024625e-16
23,random_6,1.665334536938e-16
23,random_7,1.387778780781e-16
24,identity,1.110223024625e-16
24,random_0,1.665334536938e-16
24,random_1,1.110223024625e-16
24,random_2,5.551115123126e-17
24,random_3,1.110223024625e-16
24,random_4,5.551115123126e-17
24,random_5,8.326672684689e-17
24,random_6,8.326672684689e-17
24,random_7,5.551115123126e-17
25,identity,1.387778780781e-16
25,random_0,1.665334536938e-16
25,random_1,8.326672684689e-17
25,random_2,8.326672684689e-17
25,random_3,1.665334536938e-16
25,random_4,1.110223024625e-16
