config_idx,transform_id,max_abs_signature_residual
0,identity,0
0,random_0,2.498001805407e-16
0,random_1,3.330669073875e-16
0,random_2,1.665334536938e-16
0,random_3,2.220446049250e-16
0,random_4,3.885780586188e-16
0,random_5,2.220446049250e-16
0,random_6,3.330669073875e-16
0,random_7,2.775557561563e-16
1,identity,0
1,random_0,4.440892098501e-16
1,random_1,4.440892098501e-16
1,random_2,2.220446049250e-16
1,random_3,2.775557561563e-16
1,random_4,3.330669073875e-16
1,random_5,2.220446049250e-16
1,random_6,4.440892098501e-16
1,random_7,2.775557561563e-16
2,identity,0
2,random_0,2.775557561563e-16
2,random_1,1.110223024625e-16
2,random_2,2.775557561563e-16
2,random_3,2.775557561563e-16
2,random_4,2.220446049250e-16
2,random_5,4.440892098501e-16
2,random_6,3.885780586188e-16
2,random_7,2.220446049250e-16
3,identity,0
3,random_0,1.405126015541e-16
3,random_1,3.330669073875e-16
3,random_2,4.440892098501e-16
3,random_3,2.775557561563e-16
3,random_4,2.220446049250e-16
3,random_5,3.885780586188e-16
3,random_6,3.330669073875e-16
3,random_7,2.775557561563e-16
4,identity,0
4,random_0,1.665334536938e-16
4,random_1,3.330669073875e-16
4,random_2,2.220446049250e-16
4,random_3,2.220446049250e-16
4,random_4,1.665334536938e-16
4,random_5,4.996003610813e-16
4,random_6,2.220446049250e-16
4,random_7,2.775557561563e-16
5,identity,0
5,random_0,2.220446049250e-16
5,random_1,3.330669073875e-16
5,random_2,3.330669073875e-16
5,random_3,1.110223024625e-16
5,random_4,1.665334536938e-16
5,random_5,3.330669073875e-16
5,random_6,3.330669073875e-16
5,random_7,2.359223927328e-16
6,identity,0
6,random_0,4.440892098501e-16
6,random_1,3.330669073875e-16
6,random_2,2.775557561563e-16
6,random_3,3.885780586188e-16
6,random_4,1.752070710737e-16
6,random_5,2.012279232133e-16
6,random_6,3.330669073875e-16
6,random_7,2.775557561563e-16
7,identity,0
7,random_0,1.665334536938e-16
7,random_1,3.885780586188e-16
7,random_2,2.151057110211e-16
7,random_3,2.220446049250e-16
7,random_4,2.775557561563e-16
7,random_5,1.734723475977e-16
7,random_6,2.220446049250e-16
7,random_7,1.665334536938e-16
8,identity,0
8,random_0,2.220446049250e-16
8,random_1,3.330669073875e-16
8,random_2,3.330669073875e-16
8,random_3,2.775557561563e-16
8,random_4,2.775557561563e-16
8,random_5,2.220446049250e-16
8,random_6,3.330669073875e-16
8,random_7,3.885780586188e-16
9,identity,0
9,random_0,4.440892098501e-16
9,random_1,2.775557561563e-16
9,random_2,2.220446049250e-16
9,random_3,3.885780586188e-16
9,random_4,3.330669073875e-16
9,random_5,2.498001805407e-16
9,random_6,5.551115123126e-16
9,random_7,3.330669073875e-16
10,identity,0
10,random_0,2.220446049250e-16
10,random_1,3.330669073875e-16
10,random_2,3.330669073875e-16
10,random_3,2.775557561563e-16
10,random_4,2.220446049250e-16
10,random_5,2.220446049250e-16
10,random_6,2.775557561563e-16
10,random_7,4.996003610813e-16
11,identity,0
11,random_0,2.220446049250e-16
11,random_1,3.330669073875e-16
11,random_2,3.330669073875e-16
11,random_3,5.551115123126e-16
11,random_4,1.318389841742e-16
11,random_5,2.220446049250e-16
11,random_6,3.330669073875e-16
11,random_7,5.551115123126e-16
12,identity,0
12,random_0,2.775557561563e-16
12,random_1,2.775557561563e-16
12,random_2,4.440892098501e-16
12,random_3,3.330669073875e-16
12,random_4,1.249000902703e-16
12,random_5,3.330669073875e-16
12,random_6,3.330669073875e-16
12,random_7,2.220446049250e-16
13,identity,0
13,random_0,2.775557561563e-16
13,random_1,2.220446049250e-16
