beta,config_idx,W11_mean_diff_vs_v0,W11_var_diff_vs_v0,W12_mean_diff_vs_v0,W12_var_diff_vs_v0,W13_mean_diff_vs_v0,W13_var_diff_vs_v0,W22_mean_diff_vs_v0,W22_var_diff_vs_v0,max_abs_residual
2.0,0,1.010858063921e-13,-8.704148513061e-14,-2.580713420741e-13,-3.377020885154e-13,4.990452495690e-14,4.110600748675e-13,-5.617728504603e-14,-1.463273946456e-13,4.110600748675e-13
2.0,1,-1.996180998276e-13,2.631228568362e-13,4.654054919229e-13,3.757827382600e-13,-4.582306756262e-13,-4.213296378452e-13,-4.835576383755e-13,9.153788838034e-14,4.835576383755e-13
2.0,2,-2.375877272698e-13,-4.485578575242e-13,-1.777467062425e-13,-4.111155860187e-13,3.869682352331e-13,3.216871213851e-14,-3.425315586725e-13,-1.808553307114e-13,4.485578575242e-13
2.0,3,-2.502997809017e-13,4.165556788394e-13,-8.149037000749e-14,3.277933480206e-14,-2.149391775674e-13,-3.465838727124e-13,-4.851882784429e-13,3.097522238704e-14,4.851882784429e-13
2.0,4,-2.508548924141e-13,4.564681965746e-13,2.325362125077e-13,1.499911306269e-13,1.439126595670e-13,-3.608779941544e-13,-1.645975022946e-13,2.094158180199e-13,4.564681965746e-13
2.0,5,-3.046451979571e-13,-9.936496070395e-15,-4.294065103494e-13,-4.829470157119e-15,-3.545080895506e-13,2.379207941772e-13,1.308328445582e-13,-1.228184220992e-13,4.294065103494e-13
2.0,6,7.738254481637e-14,1.093014567743e-13,7.030487303439e-14,1.715294573046e-13,8.881784197001e-15,-3.846367668814e-13,2.306210777903e-13,-1.305622276959e-13,3.846367668814e-13
2.0,7,1.378341885072e-13,1.888766920644e-13,-3.035349749325e-13,4.796718577893e-13,4.926892227530e-13,-2.541855614879e-13,-2.788533293163e-13,1.312838726619e-13,4.926892227530e-13
2.0,8,3.081979116359e-13,7.521760991835e-15,1.430799922986e-13,2.330080572932e-13,4.618527782441e-13,2.574884749862e-13,4.585568036397e-13,-4.420630528301e-13,4.618527782441e-13
2.0,9,-3.233524559221e-13,-2.108313523763e-13,3.961275751863e-13,3.215760990827e-13,1.585398479165e-13,4.333200465112e-13,1.914440828088e-13,-4.309608225839e-13,4.333200465112e-13
2.0,10,-1.815214645262e-14,-3.097244682948e-13,-4.910238882161e-13,-1.178224184883e-13,-4.963390809465e-13,-4.737321646076e-13,-2.854660952067e-14,-3.909927936974e-13,4.963390809465e-13
2.0,11,-4.808931031164e-13,2.126354647913e-13,-2.577660307423e-13,-6.247780071078e-14,3.948369409201e-13,-4.063971381640e-13,4.309816392656e-13,-4.141131881852e-13,4.808931031164e-13
2.0,12,-4.278244425393e-13,-3.351485755587e-13,-3.693989558684e-13,-3.938516179858e-13,1.246919234532e-13,-3.457234498683e-13,4.181863189068e-13,-4.542755061010e-13,4.542755061010e-13
2.0,13,3.738120923913e-13,-4.030109579389e-14,-8.554268404737e-14,-3.463618281074e-13,1.898065038475e-13,3.441691376338e-13,3.279876370499e-13,1.467992394311e-13,3.738120923913e-13
2.0,14,4.305444889496e-13,-2.547406730002e-13,-4.222455718406e-13,4.307942891302e-13,1.736943922026e-13,4.763689442910e-13,-4.676883880173e-13,3.389788449937e-13,4.763689442910e-13
2.0,15,-3.449462937510e-13,-3.510802759621e-13,-2.784439345760e-13,1.895705814547e-13,-3.545358451262e-13,-7.580047700628e-14,2.917943664471e-13,-3.101963130803e-13,3.545358451262e-13
2.0,16,-4.104494522039e-13,-4.594935543167e-13,-2.975120150239e-13,-4.727329638854e-13,-1.763172940983e-13,-5.756506382681e-14,4.042252643721e-13,4.194422587034e-13,4.727329638854e-13
2.0,17,1.310063169058e-13,-2.417510636121e-13,1.434130592060e-13,-3.191058528529e-13,1.099675905891e-13,-2.966515921798e-13,3.492761635471e-13,-1.745825706223e-14,3.492761635471e-13
2.0,18,-1.457722831333e-13,-3.108902024707e-13,1.110223024625e-15,3.677336213315e-13,4.651556917423e-13,6.972200594646e-14,-4.121633589982e-13,3.244626789467e-13,4.651556917423e-13
2.0,19,-3.534394998894e-13,-3.809452753245e-13,-1.300903829105e-13,4.519440377493e-13,4.712619183778e-13,-1.046940312222e-13,-5.369316102843e-14,4.427014310693e-13,4.712619183778e-13
2.0,20,-7.260858581049e-14,3.665956427312e-13,4.314604229450e-13,-2.753908212583e-13,4.941186348972e-13,-1.776634395156e-13,1.437183705377e-13,-4.152234112098e-13,4.941186348972e-13
2.0,21,4.578004642042e-13,2.138011989672e-13,1.570965579845e-13,-4.288513988371e-13,-2.627620343532e-13,-1.542932448473e-13,2.559966127968e-13,7.355227538142e-15,4.578004642042e-13
2.0,22,9.170442183404e-14,3.967381978498e-13,2.153555112017e-13,4.118094754091e-13,2.666200593637e-13,-1.122435477896e-13,-3.841718609898e-13,3.578526364123e-13,4.118094754091e-13
2.0,23,7.877032359715e-14,-2.940703236476e-13,-1.744993038955e-13,1.204591981718e-13,2.013389455158e-13,-4.938827125045e-13,3.345865251525e-13,-1.533217997007e-13,4.938827125045e-13
2.0,24,-4.852229729124e-13,-2.496058915114e-13,-1.638689184347e-13,-4.987676938129e-13,4.375250162170e-13,-4.804767694822e-13,-2.481140293220e-13,-3.353706201636e-13,4.987676938129e-13
2.0,25,9.597878047884e-14,-1.598166043948e-13,-3.969879980303e-13,5.057065877168e-14,1.121464032749e-13,2.954858580040e-13,-3.686634331146e-13,-4.142242104876e-13,4.142242104876e-13
2.0,26,-4.269362641196e-13,1.878219801910e-13,-2.577937863180e-13,4.932998454166e-13,-8.937295348233e-15,-3.411437798917e-13,-2.638514406961e-13,1.761646384324e-13,4.932998454166e-13
2.0,27,-9.642286968869e-14,4.693745392359e-13,-3.609057497300e-13,-1.026678742022e-13,2.189221026683e-13,1.504074642611e-13,-4.002215225896e-13,-9.345302309782e-14,4.693745392359e-13
2.0,28,3.055333763768e-13,3.591293928906e-13,-2.573219415325e-13,-1.187938636349e-13,-2.693817391375e-13,4.559130850623e-13,3.428507477921e-13,3.410327575892e-13,4.559130850623e-13
2.0,29,-4.223288385674e-13,2.058353487655e-13,7.324696404964e-14,6.197820034970e-14,-4.348604809579e-13,-2.596534098842e-13,3.540293058713e-13,4.439226763964e-13,4.439226763964e-13
2.0,30,2.595701431574e-13,-3.172739848623e-13,-4.273248421782e-13,-7.327471962526e-14,3.998329445309e-13,1.337541188917e-13,3.487904409738e-13,3.769762280115e-13,4.273248421782e-13
2.0,31,4.241607065580e-13,7.938094626070e-15,-4.633793349029e-13,2.761957329511e-13,1.394162563173e-13,3.709532681029e-13,-4.094502514818e-13,4.150013666049e-13,4.633793349029e-13
2.4,0,-7.982503547055e-14,-1.163236174051e-13,-3.997913111675e-13,-3.091416012069e-13,2.372546603624e-13,-3.830269434957e-15,2.583072644669e-13,-2.124134201864e-13,3.997913111675e-13
2.4,1,-2.065014825803e-13,4.290873212298e-13,4.991007607202e-13,-2.937372567402e-13,-2.593758541281e-13,2.307043445171e-13,-4.505840145441e-13,3.575473250805e-13,4.991007607202e-13
2.4,2,-1.380007219609e-13,-3.318456620605e-13,-3.923528169025e-13,2.289279876777e-13,1.003364058505e-13,-3.466948950148e-13,-1.482702849387e-13,-1.905420266013e-13,3.923528169025e-13
2.4,3,-3.739231146938e-13,-3.234912338002e-13,1.250111125728e-13,2.514100039264e-13,-4.693467836603e-14,2.291222767070e-13,-1.175448627322e-13,-1.730560139634e-13,3.739231146938e-13
2.4,4,-4.795053243356e-13,-4.263256414561e-14,7.471800955727e-14,-3.359257316760e-13,2.938482790427e-13,-3.447242491461e-13,3.703010120759e-13,-9.359180097590e-14,4.795053243356e-13
2.4,5,4.041211809636e-13,1.233180224602e-13,-4.957145804951e-14,2.252642516964e-13,-1.337541188917e-13,1.504629754123e-13,-4.132111319777e-13,9.262035582935e-14,4.132111319777e-13
2.4,6,3.264055692398e-13,-3.763378497723e-13,-1.636468738297e-13,-1.329769627745e-13,-1.534328220032e-13,3.704259121662e-13,-3.614747390301e-13,3.547162563677e-14,3.763378497723e-13
