beta,config_idx,iteration,max_det_drift,max_unitarity_residual
2.0,0,1,5.551115123126e-16,7.850462293419e-16
2.0,0,2,5.551115123126e-16,7.850462293419e-16
2.0,0,3,5.551115123126e-16,7.850462293419e-16
2.0,0,4,4.440892098501e-16,6.280369834735e-16
2.0,0,5,5.551115123126e-16,7.850462293419e-16
2.0,0,6,5.551115123126e-16,7.850462293419e-16
2.0,0,7,5.551115123126e-16,7.850462293419e-16
2.0,0,8,4.440892098501e-16,6.280369834735e-16
2.0,0,9,5.551115123126e-16,7.850462293419e-16
2.0,0,10,5.551115123126e-16,7.850462293419e-16
2.0,1,1,6.661338147751e-16,9.420554752103e-16
2.0,1,2,6.661338147751e-16,9.420554752103e-16
2.0,1,3,4.440892098501e-16,6.280369834735e-16
2.0,1,4,6.661338147751e-16,9.420554752103e-16
2.0,1,5,5.551115123126e-16,7.850462293419e-16
2.0,1,6,5.551115123126e-16,7.850462293419e-16
2.0,1,7,5.551115123126e-16,7.850462293419e-16
2.0,1,8,5.551115123126e-16,7.850462293419e-16
2.0,1,9,5.551115123126e-16,7.850462293419e-16
2.0,1,10,4.440892098501e-16,6.280369834735e-16
2.0,2,1,6.661338147751e-16,9.420554752103e-16
2.0,2,2,5.551115123126e-16,7.850462293419e-16
2.0,2,3,5.551115123126e-16,7.850462293419e-16
2.0,2,4,5.551115123126e-16,7.850462293419e-16
2.0,2,5,5.551115123126e-16,7.850462293419e-16
2.0,2,6,4.440892098501e-16,6.280369834735e-16
2.0,2,7,4.440892098501e-16,6.280369834735e-16
2.0,2,8,5.551115123126e-16,7.850462293419e-16
2.0,2,9,4.440892098501e-16,6.280369834735e-16
2.0,2,10,4.440892098501e-16,6.280369834735e-16
2.0,3,1,5.551115123126e-16,7.850462293419e-16
2.0,3,2,6.661338147751e-16,9.420554752103e-16
2.0,3,3,4.440892098501e-16,6.280369834735e-16
2.0,3,4,4.440892098501e-16,6.280369834735e-16
2.0,3,5,5.551115123126e-16,7.850462293419e-16
2.0,3,6,5.551115123126e-16,7.850462293419e-16
2.0,3,7,5.551115123126e-16,7.850462293419e-16
2.0,3,8,5.551115123126e-16,7.850462293419e-16
2.0,3,9,5.551115123126e-16,7.850462293419e-16
2.0,3,10,5.551115123126e-16,7.850462293419e-16
2.0,4,1,5.551115123126e-16,7.850462293419e-16
2.0,4,2,4.440892098501e-16,6.280369834735e-16
2.0,4,3,6.661338147751e-16,9.420554752103e-16
2.0,4,4,5.551115123126e-16,7.850462293419e-16
2.0,4,5,5.551115123126e-16,7.850462293419e-16
2.0,4,6,4.440892098501e-16,6.280369834735e-16
2.0,4,7,5.551115123126e-16,7.850462293419e-16
2.0,4,8,5.551115123126e-16,7.850462293419e-16
2.0,4,9,4.440892098501e-16,6.280369834735e-16
2.0,4,10,4.440892098501e-16,6.280369834735e-16
2.0,5,1,6.661338147751e-16,9.420554752103e-16
2.0,5,2,5.551115123126e-16,7.850462293419e-16
2.0,5,3,5.551115123126e-16,7.850462293419e-16
2.0,5,4,4.440892098501e-16,6.280369834735e-16
2.0,5,5,5.551115123126e-16,7.850462293419e-16
2.0,5,6,5.551115123126e-16,7.850462293419e-16
2.0,5,7,5.551115123126e-16,7.850462293419e-16
2.0,5,8,4.440892098501e-16,6.280369834735e-16
2.0,5,9,4.440892098501e-16,6.280369834735e-16
2.0,5,10,5.551115123126e-16,7.850462293419e-16
2.0,6,1,5.551115123126e-16,7.850462293419e-16
2.0,6,2,5.551115123126e-16,7.850462293419e-16
2.0,6,3,4.440892098501e-16,6.280369834735e-16
2.0,6,4,5.551115123126e-16,7.850462293419e-16
2.0,6,5,5.551115123126e-16,7.850462293419e-16
2.0,6,6,5.551115123126e-16,7.850462293419e-16
2.0,6,7,5.551115123126e-16,7.850462293419e-16
2.0,6,8,5.551115123126e-16,7.850462293419e-16
2.0,6,9,5.551115123126e-16,7.850462293419e-16
2.0,6,10,5.551115123126e-16,7.850462293419e-16
2.0,7,1,5.551115123126e-16,7.850462293419e-16
2.0,7,2,5.551115123126e-16,7.850462293419e-16
2.0,7,3,4.440892098501e-16,6.280369834735e-16
2.0,7,4,5.551115123126e-16,7.850462293419e-16
2.0,7,5,5.551115123126e-16,7.850462293419e-16
2.0,7,6,5.551115123126e-16,7.850462293419e-16
2.0,7,7,4.440892098501e-16,6.280369834735e-16
2.0,7,8,5.551115123126e-16,7.850462293419e-16
2.0,7,9,5.551115123126e-16,7.850462293419e-16
2.0,7,10,5.551115123126e-16,7.850462293419e-16
2.0,8,1,5.551115123126e-16,7.850462293419e-16
2.0,8,2,5.551115123126e-16,7.850462293419e-16
2.0,8,3,5.551115123126e-16,7.850462293419e-16
2.0,8,4,4.440892098501e-16,6.280369834735e-16
2.0,8,5,5.551115123126e-16,7.850462293419e-16
2.0,8,6,4.440892098501e-16,6.280369834735e-16
2.0,8,7,4.440892098501e-16,6.280369834735e-16
2.0,8,8,4.440892098501e-16,6.280369834735e-16
2.0,8,9,5.551115123126e-16,7.850462293419e-16
2.0,8,10,5.551115123126e-16,7.850462293419e-16
2.0,9,1,6.661338147751e-16,9.420554752103e-16
2.0,9,2,5.551115123126e-16,7.850462293419e-16
2.0,9,3,5.551115123126e-16,7.850462293419e-16
2.0,9,4,5.551115123126e-16,7.850462293419e-16
2.0,9,5,5.551115123126e-16,7.850462293419e-16
2.0,9,6,5.551115123126e-16,7.850462293419e-16
2.0,9,7,5.551115123126e-16,7.850462293419e-16
2.0,9,8,4.440892098501e-16,6.280369834735e-16
2.0,9,9,6.661338147751e-16,9.420554752103e-16
2.0,9,10,6.661338147751e-16,9.420554752103e-16
2.0,10,1,5.551115123126e-16,7.850462293419e-16
2.0,10,2,4.440892098501e-16,6.280369834735e-16
2.0,10,3,4.440892098501e-16,6.280369834735e-16
2.0,10,4,5.551115123126e-16,7.850462293419e-16
2.0,10,5,5.551115123126e-16,7.850462293419e-16
2.0,10,6,5.551115123126e-16,7.850462293419e-16
2.0,10,7,5.551115123126e-16,7.850462293419e-16
2.0,10,8,5.551115123126e-16,7.850462293419e-16
2.0,10,9,5.551115123126e-16,7.850462293419e-16
2.0,10,10,5.551115123126e-16,7.850462293419e-16
2.0,11,1,5.551115123126e-16,7.850462293419e-16
2.0,11,2,6.661338147751e-16,9.420554752103e-16
2.0,11,3,4.440892098501e-16,6.280369834735e-16
2.0,11,4,5.551115123126e-16,7.850462293419e-16
2.0,11,5,4.440892098501e-16,6.280369834735e-16
2.0,11,6,4.440892098501e-16,6.280369834735e-16
2.0,11,7,5.551115123126e-16,7.850462293419e-16
2.0,11,8,5.551115123126e-16,7.850462293419e-16
2.0,11,9,5.551115123126e-16,7.850462293419e-16
2.0,11,10,4.440892098501e-16,6.280369834735e-16
2.0,12,1,5.551115123126e-16,7.850462293419e-16
2.0,12,2,5.551115123126e-16,7.850462293419e-16
2.0,12,3,5.551115123126e-16,7.850462293419e-16
2.0,12,4,5.551115123126e-16,7.850462293419e-16
