lane,control_or_primary,k,mean_bin_purity,discrimination_ratio,bootstrap_ci_low,bootstrap_ci_high
within_beta,PRIMARY,3,0.305555555556,0.916666666667,0.256944444444,0.354166666667
within_beta,PRIMARY,5,0.308333333333,0.925,0.270833333333,0.345833333333
within_beta,PRIMARY,10,0.326041666667,0.978125,0.297916666667,0.352083333333
across_beta,PRIMARY,3,0.364583333333,1.09375,0.309027777778,0.416666666667
across_beta,PRIMARY,5,0.35625,1.06875,0.314583333333,0.4
across_beta,PRIMARY,10,0.339583333333,1.01875,0.30828125,0.371901041667
within_beta,CTRL_META,3,0.3125,0.9375,0.263888888889,0.357638888889
within_beta,CTRL_META,5,0.314583333333,0.94375,0.28125,0.347916666667
within_beta,CTRL_META,10,0.309375,0.928125,0.284375,0.33125
across_beta,CTRL_META,3,0.385416666667,1.15625,0.322916666667,0.447916666667
across_beta,CTRL_META,5,0.370833333333,1.1125,0.33125,0.410416666667
across_beta,CTRL_META,10,0.378125,1.134375,0.345833333333,0.409375
within_beta,CTRL_RAW,3,0.288194444444,0.864583333333,0.239583333333,0.336805555556
within_beta,CTRL_RAW,5,0.297916666667,0.89375,0.260416666667,0.335416666667
within_beta,CTRL_RAW,10,0.292708333333,0.878125,0.269791666667,0.314583333333
across_beta,CTRL_RAW,3,0.371527777778,1.114583333333,0.319357638889,0.430555555556
across_beta,CTRL_RAW,5,0.333333333333,1,0.29375,0.377083333333
across_beta,CTRL_RAW,10,0.361458333333,1.084375,0.337473958333,0.388541666667
within_beta,CTRL_RAND,3,0.274305555556,0.822916666667,0.225694444444,0.329861111111
within_beta,CTRL_RAND,5,0.2875,0.8625,0.252083333333,0.327083333333
within_beta,CTRL_RAND,10,0.320833333333,0.9625,0.295833333333,0.35
across_beta,CTRL_RAND,3,0.347222222222,1.041666666667,0.298611111111,0.399305555556
across_beta,CTRL_RAND,5,0.3375,1.0125,0.297864583333,0.379166666667
across_beta,CTRL_RAND,10,0.327083333333,0.98125,0.302083333333,0.353125
within_beta,CTRL_RAND_STRAT,3,0.305555555556,0.916666666667,0.256944444444,0.354253472222
within_beta,CTRL_RAND_STRAT,5,0.3,0.9,0.266614583333,0.335416666667
within_beta,CTRL_RAND_STRAT,10,0.304166666667,0.9125,0.283333333333,0.325
across_beta,CTRL_RAND_STRAT,3,0.354166666667,1.0625,0.305555555556,0.40625
across_beta,CTRL_RAND_STRAT,5,0.35,1.05,0.30625,0.391666666667
across_beta,CTRL_RAND_STRAT,10,0.375,1.125,0.34375,0.404166666667
within_beta,CTRL_GAUGE_RAND,3,0.305555555556,0.916666666667,0.260329861111,0.354166666667
within_beta,CTRL_GAUGE_RAND,5,0.308333333333,0.925,0.270833333333,0.345833333333
within_beta,CTRL_GAUGE_RAND,10,0.326041666667,0.978125,0.297916666667,0.354166666667
across_beta,CTRL_GAUGE_RAND,3,0.364583333333,1.09375,0.309027777778,0.416666666667
across_beta,CTRL_GAUGE_RAND,5,0.35625,1.06875,0.316666666667,0.397916666667
across_beta,CTRL_GAUGE_RAND,10,0.339583333333,1.01875,0.307291666667,0.369817708333
within_beta,CTRL_PERM,3,0.313215277778,0.939645833333,0.311666145833,0.314750086806
within_beta,CTRL_PERM,5,0.31311875,0.93935625,0.311907916667,0.314293802083
within_beta,CTRL_PERM,10,0.312685416667,0.93805625,0.311926796875,0.313440677083
across_beta,CTRL_PERM,3,0.328927083333,0.98678125,0.327527517361,0.330354340278
across_beta,CTRL_PERM,5,0.3287875,0.9863625,0.32765203125,0.329896770833
across_beta,CTRL_PERM,10,0.3276,0.9828,0.326773854167,0.328495963542
