lane,control_or_primary,k,mean_bin_purity,discrimination_ratio,bootstrap_ci_low,bootstrap_ci_high
within_beta,PRIMARY,3,0.322916666667,0.96875,0.270833333333,0.378472222222
within_beta,PRIMARY,5,0.304166666667,0.9125,0.26875,0.341666666667
within_beta,PRIMARY,10,0.322916666667,0.96875,0.296875,0.348958333333
across_beta,PRIMARY,3,0.34375,1.03125,0.291579861111,0.402777777778
across_beta,PRIMARY,5,0.345833333333,1.0375,0.297916666667,0.39375
across_beta,PRIMARY,10,0.346875,1.040625,0.315625,0.377109375
within_beta,CTRL_META,3,0.302083333333,0.90625,0.25,0.354166666667
within_beta,CTRL_META,5,0.30625,0.91875,0.266666666667,0.347916666667
within_beta,CTRL_META,10,0.310416666667,0.93125,0.297916666667,0.322916666667
across_beta,CTRL_META,3,0.322916666667,0.96875,0.267361111111,0.371614583333
across_beta,CTRL_META,5,0.327083333333,0.98125,0.285416666667,0.364583333333
across_beta,CTRL_META,10,0.33125,0.99375,0.298958333333,0.361484375
within_beta,CTRL_RAW,3,0.305555555556,0.916666666667,0.253472222222,0.354166666667
within_beta,CTRL_RAW,5,0.31875,0.95625,0.285416666667,0.35625
within_beta,CTRL_RAW,10,0.309375,0.928125,0.288541666667,0.33125
across_beta,CTRL_RAW,3,0.309027777778,0.927083333333,0.260416666667,0.35078125
across_beta,CTRL_RAW,5,0.3125,0.9375,0.272916666667,0.352135416667
across_beta,CTRL_RAW,10,0.3375,1.0125,0.310416666667,0.363541666667
within_beta,CTRL_RAND,3,0.333333333333,1,0.28125,0.388888888889
within_beta,CTRL_RAND,5,0.329166666667,0.9875,0.283333333333,0.375
within_beta,CTRL_RAND,10,0.334375,1.003125,0.310416666667,0.360416666667
across_beta,CTRL_RAND,3,0.315972222222,0.947916666667,0.263802083333,0.375
across_beta,CTRL_RAND,5,0.333333333333,1,0.291666666667,0.375052083333
across_beta,CTRL_RAND,10,0.330208333333,0.990625,0.303125,0.35625
within_beta,CTRL_RAND_STRAT,3,0.333333333333,1,0.28125,0.385416666667
within_beta,CTRL_RAND_STRAT,5,0.325,0.975,0.289583333333,0.36046875
within_beta,CTRL_RAND_STRAT,10,0.33125,0.99375,0.30625,0.358333333333
across_beta,CTRL_RAND_STRAT,3,0.340277777778,1.020833333333,0.28125,0.395920138889
across_beta,CTRL_RAND_STRAT,5,0.345833333333,1.0375,0.30625,0.387552083333
across_beta,CTRL_RAND_STRAT,10,0.319791666667,0.959375,0.293723958333,0.345859375
within_beta,CTRL_GAUGE_RAND,3,0.322916666667,0.96875,0.267361111111,0.371527777778
within_beta,CTRL_GAUGE_RAND,5,0.304166666667,0.9125,0.266666666667,0.34375
within_beta,CTRL_GAUGE_RAND,10,0.322916666667,0.96875,0.295833333333,0.35
across_beta,CTRL_GAUGE_RAND,3,0.34375,1.03125,0.291666666667,0.402777777778
across_beta,CTRL_GAUGE_RAND,5,0.345833333333,1.0375,0.297916666667,0.391666666667
across_beta,CTRL_GAUGE_RAND,10,0.346875,1.040625,0.315625,0.378125
within_beta,CTRL_PERM,3,0.312305555556,0.936916666667,0.310458072917,0.313968923611
within_beta,CTRL_PERM,5,0.31309375,0.93928125,0.31194578125,0.3142584375
within_beta,CTRL_PERM,10,0.3132875,0.9398625,0.312590338542,0.314018776042
across_beta,CTRL_PERM,3,0.328180555556,0.984541666667,0.326888888889,0.329545572917
across_beta,CTRL_PERM,5,0.32734375,0.98203125,0.326126979167,0.328469114583
across_beta,CTRL_PERM,10,0.326836458333,0.980509375,0.326141536458,0.327564661458
