target,admissible_pool,beta,valid_count,flagged_count,undefined_fraction,undefined_status,icc,agreement,leakage_cv_r2,powered,disjoint,admitted
abs_mean_P,1,6.3,32,0,0,0,0.966083074288,0.8125,-0.18631863036,1,1,1
abs_mean_P,1,6.55,32,0,0,0,0.95577740919,0.75,-0.601815131063,1,1,1
abs_mean_P,1,6.8,32,0,0,0,0.972738493759,0.8125,-0.208424335673,1,1,1
mean_abs_P,1,6.3,32,0,0,0,0.881750203702,0.8125,-0.179517847424,1,1,1
mean_abs_P,1,6.55,32,0,0,0,0.82015205265,0.625,-0.875036237957,1,1,1
mean_abs_P,1,6.8,32,0,0,0,0.933985007875,0.875,-0.299961546577,1,1,1
chi_P,1,6.3,32,0,0,0,0.821155536784,0.71875,-0.58226956247,1,1,1
chi_P,1,6.55,32,0,0,0,0.856154935088,0.59375,-0.361700532263,1,1,1
chi_P,1,6.8,32,0,0,0,0.826292216205,0.71875,-0.41408966999,1,1,1
gamma_held,0,6.3,0,32,1,1,0,0,Infinity,0,0,0
gamma_held,0,6.55,0,32,1,1,0,0,Infinity,0,0,0
gamma_held,0,6.8,0,32,1,1,0,0,Infinity,0,0,0
