beta,config_idx,abs_mean_P,mean_abs_P,chi_P,gamma_held,polyakov_sample_count,polyakov_half_A_sample_count,polyakov_half_B_sample_count,gamma_held_loop_sample_count
6.3,0,0.552159364904,0.583377715768,0.094190908863,NaN,144,72,72,1728
6.3,1,0.425466240929,0.520796028946,0.159111275515,NaN,144,72,72,1728
6.3,2,0.463745316265,0.503613747477,0.10515780953,NaN,144,72,72,1728
6.3,3,0.085925756923,0.381375143083,0.207036664985,NaN,144,72,72,1728
6.3,4,0.493213138669,0.520334529426,0.105761591239,NaN,144,72,72,1728
6.3,5,0.325843484005,0.450052461971,0.17024296232,NaN,144,72,72,1728
6.3,6,0.483707536661,0.545356711037,0.144282840004,NaN,144,72,72,1728
6.3,7,0.165190171664,0.418466346454,0.212384093762,NaN,144,72,72,1728
6.3,8,0.540392427157,0.56466788179,0.092534030727,NaN,144,72,72,1728
6.3,9,0.547506890748,0.560038442581,0.071890939469,NaN,144,72,72,1728
6.3,10,0.263218069713,0.426730556657,0.180550199581,NaN,144,72,72,1728
6.3,11,0.536599468909,0.553999980135,0.097536978332,NaN,144,72,72,1728
6.3,12,0.337344895478,0.451048956855,0.160845808281,NaN,144,72,72,1728
6.3,13,0.487072484192,0.556730360355,0.147261698969,NaN,144,72,72,1728
6.3,14,0.198355962261,0.368970852436,0.157087998055,NaN,144,72,72,1728
6.3,15,0.238601506952,0.373817668737,0.132640288813,NaN,144,72,72,1728
6.3,16,0.472291627638,0.536895694347,0.163502970167,NaN,144,72,72,1728
6.3,17,0.405270893347,0.498054930405,0.156800080586,NaN,144,72,72,1728
6.3,18,0.527968265855,0.543114728324,0.097120200747,NaN,144,72,72,1728
6.3,19,0.532818255555,0.564519415325,0.104436955721,NaN,144,72,72,1728
6.3,20,0.501372896578,0.539214579171,0.109735796071,NaN,144,72,72,1728
6.3,21,0.432312922535,0.503464916708,0.146352855319,NaN,144,72,72,1728
6.3,22,0.427248474483,0.507410536364,0.143914068108,NaN,144,72,72,1728
6.3,23,0.314450455072,0.453905754755,0.185248654724,NaN,144,72,72,1728
6.3,24,0.507135030032,0.522263163664,0.086403509817,NaN,144,72,72,1728
6.3,25,0.351691670093,0.4518284677,0.158741819304,NaN,144,72,72,1728
6.3,26,0.427211265731,0.485446961583,0.121138547208,NaN,144,72,72,1728
6.3,27,0.463846247663,0.5266625493,0.134978534671,NaN,144,72,72,1728
6.3,28,0.500146747992,0.520405492174,0.095584799318,NaN,144,72,72,1728
6.3,29,0.207726083945,0.413397036943,0.191880777245,NaN,144,72,72,1728
6.3,30,0.27444106331,0.447241513195,0.19084346517,NaN,144,72,72,1728
6.3,31,0.185151082053,0.395493913524,0.195977957015,NaN,144,72,72,1728
6.55,0,0.330724934658,0.530115570454,0.246452001925,NaN,144,72,72,1728
6.55,1,0.375694638115,0.463838982259,0.149022777525,NaN,144,72,72,1728
6.55,2,0.420155696233,0.474427760521,0.12297254494,NaN,144,72,72,1728
6.55,3,0.335139379644,0.448328745519,0.161310976213,NaN,144,72,72,1728
6.55,4,0.404161271372,0.486513383513,0.144346105823,NaN,144,72,72,1728
6.55,5,0.331312062825,0.435485116841,0.153570193366,NaN,144,72,72,1728
6.55,6,0.448613212826,0.506541218565,0.136652527192,NaN,144,72,72,1728
6.55,7,0.368557654222,0.468675698853,0.167286406454,NaN,144,72,72,1728
6.55,8,0.049223143042,0.375859978013,0.198859931969,NaN,144,72,72,1728
6.55,9,0.466506427441,0.490780125651,0.094089021091,NaN,144,72,72,1728
6.55,10,0.563694350283,0.585101099189,0.097378354112,NaN,144,72,72,1728
6.55,11,0.222607584808,0.433065622706,0.206861667166,NaN,144,72,72,1728
6.55,12,0.375405179232,0.496087914783,0.174566659267,NaN,144,72,72,1728
6.55,13,0.375659589872,0.475829151844,0.15337503024,NaN,144,72,72,1728
6.55,14,0.357246261172,0.438279019505,0.138121739668,NaN,144,72,72,1728
6.55,15,0.351934427301,0.46028070126,0.166233847082,NaN,144,72,72,1728
6.55,16,0.517228274819,0.550387701228,0.113397845425,NaN,144,72,72,1728
6.55,17,0.320608004773,0.455051399511,0.174909840204,NaN,144,72,72,1728
6.55,18,0.288356964926,0.429043446194,0.17574279435,NaN,144,72,72,1728
6.55,19,0.35845126926,0.446451469158,0.140960793322,NaN,144,72,72,1728
6.55,20,0.429732767084,0.502716184167,0.140883775958,NaN,144,72,72,1728
6.55,21,0.303832099435,0.447642806471,0.178242771559,NaN,144,72,72,1728
6.55,22,0.476572999963,0.525500643194,0.12369860054,NaN,144,72,72,1728
6.55,23,0.233771916801,0.42688486652,0.206243636812,NaN,144,72,72,1728
6.55,24,0.088793409719,0.428896196677,0.245169708216,NaN,144,72,72,1728
6.55,25,0.122189992762,0.377983074207,0.194878730055,NaN,144,72,72,1728
6.55,26,0.526564037287,0.592433887595,0.144163741191,NaN,144,72,72,1728
6.55,27,0.420652223062,0.491242527648,0.13314520578,NaN,144,72,72,1728
