config_idx,abs_mean_P,mean_abs_P,chi_P,mean_P,half_A_sample_count,half_B_sample_count
0,0.330724934658,0.530115570454,0.246452001925,0.330724934658,72,72
1,0.375694638115,0.463838982259,0.149022777525,0.375694638115,72,72
2,0.420155696233,0.474427760521,0.12297254494,0.420155696233,72,72
3,0.335139379644,0.448328745519,0.161310976213,0.335139379644,72,72
4,0.404161271372,0.486513383513,0.144346105823,0.404161271372,72,72
5,0.331312062825,0.435485116841,0.153570193366,0.331312062825,72,72
6,0.448613212826,0.506541218565,0.136652527192,-0.448613212826,72,72
7,0.368557654222,0.468675698853,0.167286406454,-0.368557654222,72,72
8,0.049223143042,0.375859978013,0.198859931969,0.049223143042,72,72
9,0.466506427441,0.490780125651,0.094089021091,0.466506427441,72,72
10,0.563694350283,0.585101099189,0.097378354112,0.563694350283,72,72
11,0.222607584808,0.433065622706,0.206861667166,0.222607584808,72,72
12,0.375405179232,0.496087914783,0.174566659267,0.375405179232,72,72
13,0.375659589872,0.475829151844,0.15337503024,0.375659589872,72,72
14,0.357246261172,0.438279019505,0.138121739668,0.357246261172,72,72
15,0.351934427301,0.46028070126,0.166233847082,-0.351934427301,72,72
16,0.517228274819,0.550387701228,0.113397845425,0.517228274819,72,72
17,0.320608004773,0.455051399511,0.174909840204,0.320608004773,72,72
18,0.288356964926,0.429043446194,0.17574279435,-0.288356964926,72,72
19,0.35845126926,0.446451469158,0.140960793322,0.35845126926,72,72
20,0.429732767084,0.502716184167,0.140883775958,0.429732767084,72,72
21,0.303832099435,0.447642806471,0.178242771559,0.303832099435,72,72
22,0.476572999963,0.525500643194,0.12369860054,0.476572999963,72,72
23,0.233771916801,0.42688486652,0.206243636812,-0.233771916801,72,72
24,0.088793409719,0.428896196677,0.245169708216,0.088793409719,72,72
25,0.122189992762,0.377983074207,0.194878730055,-0.122189992762,72,72
26,0.526564037287,0.592433887595,0.144163741191,-0.526564037287,72,72
27,0.420652223062,0.491242527648,0.13314520578,-0.420652223062,72,72
28,0.501744736971,0.537100399886,0.11816069638,-0.501744736971,72,72
29,0.502128776655,0.541217614849,0.115836927429,0.502128776655,72,72
30,0.48243957689,0.52864056649,0.117360097601,0.48243957689,72,72
31,0.565422230299,0.57476158071,0.075647961043,-0.565422230299,72,72
