target,admissible_pool,beta,valid_count,flagged_count,undefined_fraction,undefined_status,icc,agreement,leakage_cv_r2,powered,disjoint,admitted
abs_mean_P,1,2.0,32,0,0,0,0.468596413202,0.5,-0.447281019711,0,1,0
abs_mean_P,1,2.4,32,0,0,0,0.07384761975,0.3125,0.18041967842,0,1,0
abs_mean_P,1,2.8,32,0,0,0,-0.171214452016,0.21875,-1.401144607867,0,1,0
mean_abs_P,1,2.0,32,0,0,0,-0.165379384995,0.3125,-0.766143194711,0,1,0
mean_abs_P,1,2.4,32,0,0,0,-0.166122890995,0.21875,-0.589300082597,0,1,0
mean_abs_P,1,2.8,32,0,0,0,0.056170255782,0.375,-0.417139016096,0,1,0
chi_P,1,2.0,32,0,0,0,-0.107521537987,0.375,-0.542571507433,0,1,0
chi_P,1,2.4,32,0,0,0,-0.153139654337,0.25,-0.613224175034,0,1,0
chi_P,1,2.8,32,0,0,0,-0.058599628777,0.34375,-0.279553057934,0,1,0
gamma_held,0,2.0,32,0,0,0,-0.227627567266,0.21875,-0.89322861598,0,1,0
gamma_held,0,2.4,32,0,0,0,-0.227458834205,0.28125,-0.433214597869,0,1,0
gamma_held,0,2.8,32,0,0,0,0.129928290911,0.40625,-0.851564043905,0,1,0
