beta,config_idx,abs_mean_P,mean_abs_P,chi_P,gamma_held,polyakov_sample_count,polyakov_half_A_sample_count,polyakov_half_B_sample_count,gamma_held_loop_sample_count
2.0,0,0.025207000227,0.439104127338,0.2646246954,4.238407130503,432,216,216,5184
2.0,1,0.019836657772,0.411384955962,0.235446788097,3.701298084727,432,216,216,5184
2.0,2,0.023976353126,0.42645070351,0.244151272655,0.720528192372,432,216,216,5184
2.0,3,0.030439035819,0.418447011874,0.246117708262,4.103335935205,432,216,216,5184
2.0,4,0.036892168183,0.431446878526,0.2540038584,0.24774386477,432,216,216,5184
2.0,5,0.019680276348,0.417246205957,0.243480869124,0.045649053293,432,216,216,5184
2.0,6,0.024938311927,0.415069745024,0.24279163215,0.299079701569,432,216,216,5184
2.0,7,0.017450968415,0.445989646543,0.274771722177,4.104949425095,432,216,216,5184
2.0,8,0.017391571827,0.40083078592,0.22684474711,-0.108368719479,432,216,216,5184
2.0,9,0.024337216059,0.44049382767,0.268667172485,0.137369643801,432,216,216,5184
2.0,10,0.067234538321,0.440651506606,0.260385815479,0.250791627637,432,216,216,5184
2.0,11,0.023577118116,0.422949034813,0.245550768485,4.163688767805,432,216,216,5184
2.0,12,0.030898708834,0.427966666916,0.258724467025,0.335528037555,432,216,216,5184
2.0,13,0.037573772113,0.417335972065,0.241909287745,0.244388911198,432,216,216,5184
2.0,14,0.050382100276,0.408481221298,0.234748758664,0.132272557037,432,216,216,5184
2.0,15,0.032807398998,0.428194364864,0.249480567344,0.626245243485,432,216,216,5184
2.0,16,0.030040619303,0.440741937339,0.261964795974,4.134106088617,432,216,216,5184
2.0,17,0.032588273055,0.426375854129,0.249346650504,4.209362370577,432,216,216,5184
2.0,18,0.016892402581,0.429778868053,0.251285407446,4.153564117869,432,216,216,5184
2.0,19,0.022785141897,0.425902627278,0.248284424263,0.463539078896,432,216,216,5184
2.0,20,0.044122154156,0.406007944688,0.234075974997,0.287947681556,432,216,216,5184
2.0,21,0.044325985245,0.429437644202,0.254155052398,0.322932753808,432,216,216,5184
2.0,22,0.019960058948,0.43666045622,0.259138668859,0.162265435623,432,216,216,5184
2.0,23,0.031018694944,0.405042957513,0.228256574052,0.463844060517,432,216,216,5184
2.0,24,0.031222074799,0.417680051609,0.242527306763,4.111689055769,432,216,216,5184
2.0,25,0.05099115335,0.435227008389,0.25608821938,0.344505959128,432,216,216,5184
2.0,26,0.011672941794,0.417585230417,0.242369276066,4.118712175964,432,216,216,5184
2.0,27,0.022022792365,0.41873924176,0.243072399133,0.687891511173,432,216,216,5184
2.0,28,0.033478356425,0.430822587496,0.24925277258,0.285279366775,432,216,216,5184
2.0,29,0.028755757027,0.417138332651,0.237526882722,0.794512316792,432,216,216,5184
2.0,30,0.039051911539,0.42917070159,0.246813455635,0.249690115719,432,216,216,5184
2.0,31,0.025755507606,0.419010853225,0.242516123437,3.682756491553,432,216,216,5184
2.4,0,0.031293822574,0.444389498328,0.270341459024,4.294822754603,432,216,216,5184
2.4,1,0.024107296991,0.416982324918,0.24453091426,0.608043536867,432,216,216,5184
2.4,2,0.015079963436,0.412261037487,0.241451069067,4.29473645098,432,216,216,5184
2.4,3,0.040889850519,0.440816557908,0.259149494901,0.503211876091,432,216,216,5184
2.4,4,0.028157013671,0.426680489638,0.259389655824,0.344552075524,432,216,216,5184
2.4,5,0.038597945113,0.425218258942,0.246980447322,4.262634059023,432,216,216,5184
2.4,6,0.031656672564,0.418068007762,0.239049783232,0.664463217328,432,216,216,5184
2.4,7,0.042141441292,0.42697351101,0.252399632689,0.385038922835,432,216,216,5184
2.4,8,0.01812297063,0.427979172063,0.253777948738,1.356679258594,432,216,216,5184
2.4,9,0.045286651237,0.377331675259,0.203192188379,1.014614113768,432,216,216,5184
2.4,10,0.026887922264,0.427480950886,0.248045661241,0.379781860757,432,216,216,5184
2.4,11,0.062431843427,0.423201329468,0.24726367442,0.39824362415,432,216,216,5184
2.4,12,0.064346533104,0.414702775031,0.241677108921,0.34504241925,432,216,216,5184
2.4,13,0.030443741499,0.418734778104,0.243733516242,0.715688821316,432,216,216,5184
2.4,14,0.073947166135,0.431414462767,0.247083628709,0.513957041163,432,216,216,5184
2.4,15,0.011027645917,0.406753612682,0.236943823636,4.305479373739,432,216,216,5184
2.4,16,0.03213786804,0.421079931447,0.242161448323,0.376504905885,432,216,216,5184
2.4,17,0.044771698743,0.407899570615,0.23064523846,0.651152343926,432,216,216,5184
2.4,18,0.041499442208,0.439887864238,0.262241109025,4.306969679568,432,216,216,5184
2.4,19,0.035917737973,0.412082314774,0.230053042966,0.501407316969,432,216,216,5184
2.4,20,0.058018555488,0.436282254692,0.25597106931,4.298566113911,432,216,216,5184
2.4,21,0.023137859304,0.422428336834,0.245579871793,0.304971793248,432,216,216,5184
2.4,22,0.038808914433,0.389253166379,0.222503722183,0.525497539583,432,216,216,5184
2.4,23,0.033737857033,0.427132758027,0.254659911113,4.301869200263,432,216,216,5184
2.4,24,0.043004949027,0.421156955818,0.23921629886,0.816284134829,432,216,216,5184
2.4,25,0.019900287025,0.434795157123,0.26142970385,0.490452245264,432,216,216,5184
2.4,26,0.047506749971,0.406796646744,0.232587553224,0.303510820338,432,216,216,5184
2.4,27,0.039728988749,0.433923005646,0.259040597365,0.468953085415,432,216,216,5184
2.4,28,0.03276971466,0.411908541973,0.243572400068,0.534552134132,432,216,216,5184
2.4,29,0.031962236884,0.434116799694,0.254509680553,0.643437420998,432,216,216,5184
2.4,30,0.037341218551,0.419987597685,0.241266160173,0.529964905468,432,216,216,5184
2.4,31,0.018813429145,0.428393654687,0.253838130907,0.566704692974,432,216,216,5184
2.8,0,0.029685322447,0.430412664057,0.253902687697,4.366077169428,432,216,216,5184
2.8,1,0.039666807555,0.417626474212,0.241258914071,0.383660325956,432,216,216,5184
2.8,2,0.067949042429,0.4370564126,0.252661122656,0.45397359571,432,216,216,5184
2.8,3,0.058887625338,0.43020030327,0.252639064689,0.402003519045,432,216,216,5184
2.8,4,0.020163142414,0.428697123435,0.253694454424,0.381327943322,432,216,216,5184
2.8,5,0.022445851717,0.441178477602,0.263443763418,0.396388432539,432,216,216,5184
2.8,6,0.011914517971,0.436565409123,0.263722471433,0.356343618029,432,216,216,5184
2.8,7,0.0522253794,0.430364242863,0.253810561693,0.390305435527,432,216,216,5184
2.8,8,0.036144428903,0.429981996599,0.260307003914,0.331257994466,432,216,216,5184
2.8,9,0.013971110891,0.414744245749,0.243198390803,0.333572266285,432,216,216,5184
2.8,10,0.031943467827,0.415858603567,0.245715255133,0.645819596657,432,216,216,5184
2.8,11,0.033917860252,0.431532216593,0.257649935451,0.564759513325,432,216,216,5184
2.8,12,0.031583422901,0.411737928724,0.232791812394,0.586618585358,432,216,216,5184
2.8,13,0.038121509485,0.409613725572,0.235522980572,0.559306447632,432,216,216,5184
2.8,14,0.03730090203,0.391682700166,0.220681850901,0.392575905681,432,216,216,5184
2.8,15,0.038954793766,0.423256587173,0.246186809438,0.486760501865,432,216,216,5184
2.8,16,0.043157186783,0.423472050207,0.246918939381,0.577838413939,432,216,216,5184
2.8,17,0.035174903748,0.442433839827,0.264246602841,0.532599267123,432,216,216,5184
2.8,18,0.041775852708,0.432410599507,0.255314993633,0.4752736712,432,216,216,5184
2.8,19,0.06776788903,0.412497323471,0.233535398949,0.384116697068,432,216,216,5184
2.8,20,0.019432033865,0.434634592221,0.25846275032,0.319086569346,432,216,216,5184
2.8,21,0.025228223793,0.423005338113,0.241988270385,0.517792714105,432,216,216,5184
2.8,22,0.040039620196,0.428769255481,0.248993951211,0.349914297997,432,216,216,5184
2.8,23,0.041889638272,0.45326319853,0.268958809113,4.419004919865,432,216,216,5184
2.8,24,0.03840007305,0.410803424821,0.239341339143,0.596334622571,432,216,216,5184
2.8,25,0.04675594207,0.427172906989,0.24970589076,0.461589185329,432,216,216,5184
2.8,26,0.028928789888,0.40646070143,0.236549866171,0.315297045547,432,216,216,5184
2.8,27,0.026177001955,0.436014634673,0.258818005451,0.463047531081,432,216,216,5184
2.8,28,0.00790392724,0.423596992553,0.24588769296,0.37131838075,432,216,216,5184
2.8,29,0.035364195145,0.445736438243,0.265645920685,0.338897860527,432,216,216,5184
2.8,30,0.032098049158,0.41181942252,0.242080708938,0.385417145895,432,216,216,5184
2.8,31,0.026765827754,0.410662777261,0.234598214927,0.412777728478,432,216,216,5184
